"New password","Ny adgangskode"
"Sorry, you cannot stick a private post.","Beklager, du kan ikke fastgøre et privat indlæg."
"Sorry, you are not allowed to stick this post.","Beklager, du har ikke tilladelse til at fastgøre dette indlæg."
"Invalid attachment ID.","Ugyldigt ID på vedhæftet fil."
"Sorry, one of the given taxonomies is not supported by the post type.","Beklager, en af de givne taksonomier er ikke understøttet af indholdstypen."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Beklager, du har ikke tilladelse til at tildele en term til en af de givne taksonomier."
"Invalid term ID","Ugyldigt term-id."
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Et flertydigt navn på en term er brugt i en hierarkisk taksonomi. Brug venligst term ID i stedet."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Beklager, du har ikke tilladelse til at tilføje en term til en af de givne taksonomier."
"Sorry, your entry could not be posted. Something wrong happened.","Dit indl&#230;g kunne desv&#230;rre ikke sendes. Noget gik galt."
"There is a revision of this post that is more recent.","Der er en ændring af dette indlæg, som er nyere."
"Sorry, you are not allowed to delete this post.","Beklager, du har ikke tilladelse til at slette dette indlæg. "
"The post cannot be deleted.","Indlægget kan ikke slettes."
"Sorry, you cannot edit this post.","Du kan desv&#230;rre ikke redigere indl&#230;gget."
"The post type specified is not valid","Den angivne indholdstype er ikke gyldig"
"Sorry, you are not allowed to edit posts in this post type","Beklager, du har ikke tilladelse til at redigere indlæg af denne indholdstype"
"Invalid taxonomy","Ugyldig taxonomi"
"You are not allowed to create terms in this taxonomy.","Du har ikke tilladelse til at oprette termer i denne taksonomi."
"The term name cannot be empty.","Termens navn kan ikke være blankt."
"This taxonomy is not hierarchical.","Denne taksonomi er ikke hierarkisk."
"Parent term does not exist.","Forældretermen eksisterer ikke."
"Sorry, your term could not be created. Something wrong happened.","Beklager, men termen kunne ikke oprettes. En fejl opstod."
"You are not allowed to edit terms in this taxonomy.","Du har ikke tilladelse til at redigere termer i denne taksonomi."
"This taxonomy is not hierarchical so you can't set a parent.","Denne taksonomi er ikke hierarkisk, så du kan ikke vælge en forælder."
"Sorry, editing the term failed.","Beklager, redigering af termen mislykkedes."
"You are not allowed to delete terms in this taxonomy.","Du har ikke tilladelse til at slette termer i denne taksonomi."
"Sorry, deleting the term failed.","Beklager, sletning af termen mislykkedes."
"You are not allowed to assign terms in this taxonomy.","Du har ikke tilladelse til at tildele termer i denne taksonomi."
"Sorry, you cannot edit users.","Beklager, du kan ikke redigere brugere."
"Invalid user ID","Ugyldig bruger-ID"
"Sorry, you cannot list users.","Beklager, du kan desværre ikke liste brugere."
"The role specified is not valid","Den angivne rolle er ikke gyldig"
"Sorry, you cannot edit your profile.","Beklager, du kan ikke redigere din profil."
"Sorry, the user cannot be updated.","Beklager, brugeren kan ikke opdateres."
"Sorry, you cannot edit this page.","Du kan desv&#230;rre ikke redigere denne side."
"Sorry, no such page.","Den side findes desv&#230;rre ikke"
"Sorry, you cannot edit pages.","Du kan desv&#230;rre ikke redigere sider."
"Sorry, you do not have the right to delete this page.","Du har desv&#230;rre ikke rettigheder til at slette siden."
"Failed to delete the page.","Kunne ikke slette siden."
"Sorry, you do not have the right to edit this page.","Du har desv&#230;rre ikke rettigheder til at redigere siden."
"Sorry, you cannot edit posts on this site.","Beklager, du kan ikke redigere indlæg på denne side."
"Sorry, you must be able to edit posts on this site in order to view tags.","Beklager, du skal kunne redigere indlæg på dette websted for at kunne se tags."
"Sorry, you do not have the right to add a category.","Du har desv&#230;rre ikke rettigheder til at tilf&#248;je en kategori."
"Sorry, the new category failed.","Nye kategori blev desv&#230;rre ikke oprettet."
"Sorry, you do not have the right to delete a category.","Du har desv&#230;rre ikke rettigheder til at slette en kategori."
"Sorry, you must be able to edit posts to this site in order to view categories.","Beklager, du skal kunne redigere indlæg på dette websted for at se kategorier."
"You are not allowed to moderate comments on this site.","Du har ikke tilladelse til at moderere kommentarer på denne side."
"Invalid comment ID.","Ugyldigt kommentar-ID."
"Sorry, you cannot edit comments.","Du kan desv&#230;rre ikke redigere kommentarer."
"Invalid comment status.","Ugyldig kommentarstatus."
"Sorry, the comment could not be edited. Something wrong happened.","Din kommentar kunne desv&#230;rre ikke redigeres. Noget gik galt."
"You must be registered to comment","Du skal v&#230;re registreret for at kommentere"
"Comment author name and email are required","Kommentarskriveren skal udfylde navn og e-mail"
"A valid email address is required","En gyldig e-mail-adresse er p&#229;kr&#230;vet"
"You are not allowed access to details about this site.","Du har ikke rettigheder til at få adgang til oplysninger om dette websted."
"You are not allowed access to details about comments.","Du har ikke adgang til detaljer omkring kommentarer."
"You are not allowed to update options.","Du har ikke tilladelse til at opdatere indstillinger."
"You do not have permission to upload files.","Du har ikke rettigheder til at uploade filer."
"Sorry, you are not allowed to edit this post type.","Beklager, du har ikke tilladelse til at redigere denne indholdstype."
"Invalid post ID","Ugyldigt indlægs-ID"
"Sorry, you are not allowed to edit posts.","Beklager, du har ikke tilladelse til at redigere indlæg."
"Sorry, revisions are disabled.","Beklager, ændringer er deaktiveret."
"Sorry, you do not have access to user data on this site.","Beklager, men du har ikke adgang til brugerens data på dette websted."
"Either there are no posts, or something went wrong.","Enten er der ingen indl&#230;g, eller ogs&#229; gik noget galt."
"Sorry, that file cannot be edited.","Filen kan desværre ikke redigeres."
"Sorry, no such post.","Det indl&#230;g findes desv&#230;rre ikke"
"Sorry, you do not have the right to edit this post.","Du har ikke rettigheder til at redigere dette indl&#230;g."
"Sorry, you do not have the right to publish this post.","Du har desv&#230;rre ikke rettigheder til at udgive dette indl&#230;g."
"For some strange yet very annoying reason, this post could not be edited.","Af en eller anden m&#230;rkelig, men meget irriterende grund kunne indl&#230;gget ikke redigeres."
"Sorry, you do not have the right to delete this post.","Du har ikke tilladelse til at slette dette indl&#230;g."
"For some strange yet very annoying reason, this post could not be deleted.","Af en eller anden m&#230;rkelig, men meget irriterende grund kunne indl&#230;gget ikke slettes."
"Sorry, you are not allowed to publish pages on this site.","Beklager, du har ikke tilladelse til at udgive sider på denne side."
"Sorry, you are not allowed to publish posts on this site.","Beklager, du har ikke tilladelse til at udgive indlæg på denne side."
"Invalid post format","Ugyldigt indlægsformat"
"You are not allowed to create pages as this user.","Du har ikke tilladelse til at oprette sider som denne bruger."
"You are not allowed to change the post author as this user.","Du har ikke tilladelse til at &#230;ndre indl&#230;gsforfatter som denne bruger."
"You are not allowed to change the page author as this user.","Du har ikke tilladelse til at &#230;ndre sideforfatter som denne bruger."
"Sorry, you do not have the right to publish this page.","Du har desv&#230;rre ikke rettigheder til at udgive denne side."
"Sorry, your entry could not be edited. Something wrong happened.","Dit indl&#230;g kunne desv&#230;rre ikke redigeres. Noget gik galt."
"Sorry, you must be able to edit posts on this site in order to view categories.","Beklager, du skal kunne redigere indlæg på denne side for at se kategorier."
"Could not write file %s (%s)","Kunne ikke skrive filen %s (%s)"
"Sorry, you can not edit this post.","Du har desv&#230;rre ikke rettigheder til at redigere indl&#230;gget."
"Sorry, you cannot publish this post.","Beklager, du kan ikke udgive dette indlæg."
"Is there no link to us?","Er der ikke et link til os?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","Den angivne URL kan ikke bruges som mål. Enten eksisterer den ikke, eller også er den ikke pingback klar."
"The source URL and the target URL cannot both point to the same resource.","Kilde-URL og destinations-URL kan ikke pege p&#229; samme ressource."
"The pingback has already been registered.","Det pingback er allerede blevet registreret."
"The source URL does not exist.","Kilde-URL'en findes ikke."
"We cannot find a title on that page.","Vi kan ikke finde en titel p&#229; den side."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","Kilde-URL'en indeholder ikke et link til destinations-URL'en og kan derfor ikke bruges som kilde."
"Pingback from %s to %s registered. Keep the web talking! :-)","Pingback fra %s til %s registreret. Lad webbet snakke! :-)"
"The specified target URL does not exist.","Den angivne URL findes ikke."
"%s Comments","%s kommentarer"
"No Comments","Ingen kommentarer"
"1 Comment","1 kommentar"
"Comment","Kommentar"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","Brug <code>get_trackback_url()</code> i stedet hvis du ikke ønsker at værdien skrives til skærmen."
"Comments Off","Kommentarer sl&#229;et fra"
"Enter your password to view comments.","Skriv dit kodeord for at se kommentarer."
"Comment on %s","Kommentar til %s"
"Reply","Svar"
"Log in to Reply","Log ind for at svare"
"Leave a Comment","Skriv en kommentar"
"Log in to leave a Comment","Log ind for at skrive en kommentar"
"Click here to cancel reply.","Klik her for at annullere svar."
"Leave a Reply","Skriv et svar"
"Leave a Reply to %s","Skriv et svar til %s"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">siger:</span>"
"Your comment is awaiting moderation.","Din kommentar afventer godkendelse."
"%s at %s","%s kl. %s"
"(Edit)","(Rediger)"
"Email","E-mail"
"Website","Webside"
"Required fields are marked %s","Krævede felter er markeret med %s"
"You must be <a href=\"%s\">logged in</a> to post a comment.","Du skal v&#230;re <a href=\"%s\">logget ind</a> for at skrive en kommentar."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","Logget ind som <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log ud\">Log ud?</a>"
"Your email address will not be published.","Din e-mail-adresse vil ikke blive offentliggjort."
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","Disse <abbr title=\"HyperText Markup Language\">HTML</abbr> koder og attributter er tilladte: %s"
"Cancel reply","Annuller svar"
"Post Comment","Skriv kommentar"
"Unapproved","Ikke godkendt"
"Approved","Godkendt"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","Gentaget kommentar fundet; det ser ud som om, at du allerede har sagt det!"
"You are posting comments too quickly. Slow down.","Du udgiver kommentarer for hurtigt. Sæt farten ned."
"Could not update comment status","Kunne ikke opdatere kommentarstatus"
"This argument has changed to an array to match the behavior of the other cron functions.","Dette argument er ændret til et array for at matche opførslen på den anden cron-funktion."
"Once Hourly","En gang i timen"
"Twice Daily","To gange dagligt"
"Once Daily","En gang om dagen"
"Your site&#8217;s WordPress Pages","Dit websteds WordPress-sider"
"Sort by:","Sorter efter:"
"Page title","Sidens titel"
"Page order","Sider&#230;kkef&#248;lge"
"Page ID","Side-ID"
"Exclude:","Udeluk:"
"Page IDs, separated by commas.","Side-ID'er, adskilt af kommaer."
"Your blogroll","Din blogroll"
"Select Link Category:","Vælg linkkategori."
"All Links","Alle links"
"Link title","Link-titel"
"Link rating","Link-bedømmelse"
"Random","Tilfældig"
"Show Link Image","Vis linkbillede"
"Show Link Name","Vis linknavn"
"Show Link Description","Vis linkbeskrivelse"
"Show Link Rating","Vis link-rating"
"Number of links to show:","Antallet af links der vises:"
"A search form for your site","En søgeformular til dit websted"
"A monthly archive of your site&#8217;s posts","Et månedligt arkiv over dit websteds indlæg"
"Archives","Arkiver"
"Select Month","V&#230;lg m&#229;ned"
"Display as dropdown","Vis som dropdown"
"Show post counts","Vis antal indl&#230;g"
"Log in/out, admin, feed and WordPress links","Log ind/ud, admin, feed og WordPress-links"
"Syndicate this site using RSS 2.0","Syndiker denne side med RSS 2.0"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","<abbr title=\"Really Simple Syndication\">RSS</abbr> af indl&#230;g"
"The latest comments to all posts in RSS","De sidste kommentarer til alle indl&#230;g i RSS"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","Kommentar-<abbr title=\"Really Simple Syndication\">RSS</abbr>"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","Denne webside k&#248;rer WordPress; et moderne, semantisk publiceringsverkt&#248;j"
"A calendar of your site&#8217;s posts","En kalender over dit websteds indlæg."
"Calendar","Kalender"
"Arbitrary text or HTML","Arbitr&#230;r tekst eller HTML"
"Automatically add paragraphs","Tilføj afsnit automatisk"
"A list or dropdown of categories","En liste eller dropdown med kategorier"
"Select Category","V&#230;lg kategori"
"Show hierarchy","Vis hierarki"
"The most recent posts on your site","De nyeste indlæg på dit side"
"Recent Posts","Nye indl&#230;g"
"Number of posts to show:","Antal indl&#230;g der skal vises:"
"Display post date?","Vis indlægsdato?"
"The most recent comments","De seneste kommentarer"
"Recent Comments","Nye kommentarer"
"%s on %s","%s til %s"
"Number of comments to show:","Antal kommentarer der skal vises:"
"Entries from any RSS or Atom feed","Indl&#230;g fra et RSS- eller Atom-feed"
"Unknown Feed","Ukendt feed"
"Syndicate this content","Syndiker dette indhold"
"<strong>RSS Error</strong>: %s","<strong>RSS-fejl</strong>: %s"
"An error has occurred, which probably means the feed is down. Try again later.","Der er opst&#229;et en fejl - feedet er sikkert nede. Pr&#248;v igen senere."
"Untitled","Ingen titel"
"RSS Error: %s","RSS-fejl: %s"
"Enter the RSS feed URL here:","Skriv URL til RSS- eller ATOM-feed her:"
"Give the feed a title (optional):","Giv feedet en titel (valgfri):"
"How many items would you like to display?","Hvor mange enheder vil du vise?"
"Display item content?","Vis indhold?"
"Display item author if available?","Vis forfatter hvis tilg&#230;ngelig?"
"Display item date?","Vis dato?"
"Your most used tags in cloud format","De mest bruge tags i sky-format"
"Tag Cloud","Tag-cloud"
"Taxonomy:","Taksonomi:"
"Use this widget to add one of your custom menus as a widget.","Brug denne widget til at tilføje en af dine brugerdefinerede menuer som en widget."
"Custom Menu","Brugerdefineret menu"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","Der er endnu ikke oprettet nogen menuer. <a href=\"%s\">Opret nogle</a>."
"Select Menu:","Vælg menu:"
"new WordPress Loop","Nyt WordPress-loop"
"None","Ingen"
"Last updated","Sidst opdateret"
"Missing Attachment","Manglende vedh&#230;ftet fil"
"First Post","F&#248;rste indl&#230;g"
"Last Post","Sidste indl&#230;g"
"Are you sure you want to do this?","Er du sikker p&#229;, at du vil g&#248;re dette?"
"File &#8220;%s&#8221; doesn&#8217;t exist?","Filen &#8220;%s&#8221; findes ikke?"
"The GD image library is not installed.","GD Image Library er ikke installeret"
"File &#8220;%s&#8221; is not an image.","Filen &#8220;%s&#8221; er ikke et billede."
"Comments on %s","Kommentarer til %s"
"Comments for %s searching on %s","Kommentarer til %s ved s&#248;gning p&#229; %s"
"Comments for %s","Kommentarer til %s"
"Comment on %s by %s","Kommentar til %s af %s"
"By: %s","Af: %s"
"Comments on: %s","Kommentarer til: %s"
"Protected Comments: Please enter your password to view comments.","Beskyttede kommentarer: Skriv dit kodeord for at se kommentarer."
"%s min","%s minut"
"%s mins","%s minutter"
"%s hour","%s time"
"%s hours","%s timer"
"%s day","%s dag"
"%s days","%s dage"
"words","ord"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","E-mail-adressen du har indtastet ser ikke ud til at være gyldig.\nIndtast venligst en gyldig e-mail-adresse."
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","Den WordPress-adresse du anførte, er ikke en gyldig URL. Anfør venligst en gyldig URL."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","Den webadresse du anførte, er ikke en gyldign URL. Anfør venligst en gyldig URL."
"The timezone you have entered is not valid. Please select a valid timezone.","Den tidszone, du har indtastet, er ikke gyldig. Vælg venligst en gyldig tidszone."
", and","og "
"and"," og "
"ERROR: %s is not a valid feed template.","FEJL: %s er ikke en gyldig feed skabelon."
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","En eller flere databasetabeller er ikke tilgængelige. Databasen kan have brug for at blive <a href=\"%s\">repareret</a>."
"Unable to create directory %s. Is its parent directory writable by the server?","Kunne ikke oprette mappen %s. Er modermappen skrivbar for serveren?"
"Empty filename","Intet filnavn"
"Invalid file type","Ugyldig filtype"
"Could not write file %s","Kunne ikke gemme filen %s"
"WordPress Failure Notice","WordPress fejlbesked"
"You are attempting to log out of %s","Du pr&#248;ver at logge ud af %s"
"Do you really want to <a href='%s'>log out</a>?","Vil du virkelig <a href='%s'>logge ud</a>?"
"Please try again.","Pr&#248;v venligst igen."
"&laquo; Back","&laquo; Tilbage"
"WordPress &rsaquo; Error","WordPress &rsaquo; Fejl"
"Database Error","Databasefejl"
"Error establishing a database connection","Fejl ved etablering af databaseforbindelse"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","%s har v&#230;ret <strong>for&#230;ldet</strong> siden version %s! Brug %s i stedet."
"%s is <strong>deprecated</strong> since version %s with no alternative available.","%s har v&#230;ret <strong>for&#230;ldet</strong> siden version %s, og der er ingen alternativer."
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","%s blev kaldt med et argument der har været <strong>udfaset</strong> siden version %s! %s"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","%s blev kaldt med en parameter der er blevet <strong>udfaset</strong> siden version %s uden noget alternativ."
"(This message was added in version %s.)","(Denne besked blev tilføjet i version %s.)"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","Se <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Fejlsøgning i WordPress</a> for at finde flere oplysninger."
"%s was called <strong>incorrectly</strong>. %s %s","%s blev kaldt <strong>forkert</strong>. %s %s"
"Select a city","V&#230;lg en by"
"Manual Offsets","Manuelle offsets"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","Scripts og styles bør ikke registreres eller sættes i kø før %s, %s, eller %s krogene."
"Search for:","S&#248;g efter:"
"Log in","Log ind"
"Log out","Log ud"
"Username","Brugernavn"
"Password","Kodeord"
"Remember Me","Husk mig"
"Log In","Log Ind"
"Register","Registrer"
"Site Admin","Sideadmin"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","<code>%s</code> muligheden er er udfaset for familien af <code>bloginfo()</code> funktioner."
"Use the <code>%s</code> option instead.","Brug <code>%s</code> muligheden i stedet."
"Search Results %s %s","S&#248;geresultater %s %s"
"Page not found","Side ikke fundet"
"View posts for %s %s","Vis alle indl&#230;g for %s %s"
"%s %s Comments Feed","%s %s Kommentarfeed"
"%s %s %s Comments Feed","%s %s %s Kommentarfeed"
"%s %s %s Category Feed","%s %s %s-kategorifeed"
"%s %s %s Tag Feed","%s %s %s-tagfeed"
"%s %s Posts by %s Feed","%s %s feed for indl&#230;g af %s"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s S&#248;geresultater for &#8220;%s&#8221;-feed"
"&laquo; Previous","&laquo; Tidligere"
"Next &raquo;","N&#230;ste &raquo;"
"Blue","Bl&#229;"
"Gray","Gr&#229;"
"Do you want to use the WYSIWYG mode for this textarea?","Vil du bruge WYSIWYG p&#229; dette tekstfelt?"
"Apply","Anvend"
"Insert","Indsæt"
"Close","Luk"
"Browse","Gennemse"
"Class","Klasse"
"-- Not set --","-- Ikke defineret --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","Kopier/Klip/Sæt ind er ikke tilgængelig i Mozilla og Firefox."
"Currently not supported by your browser, use keyboard shortcuts instead.","Pt. ikker understøttet af din browser, brug genvejstaster i stedet."
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","Beklager, men vi har opdaget, at din popup-blokering har blokeret et funktionsvindue. Du skal deaktivere popup-blokeringen på dette websted for at bruge dette værktøj fuldt ud."
"ERROR: Invalid values entered, these are marked in red.","FEJL: Forkerte værdier indtastet, disse er markeret med rødt."
"{#field} must be a number","{#field} skal være et tal"
"{#field} must be a number greater than {#min}","{#field} skal være et tal større end {#min}"
"{#field} must be a number or percentage","{#field} skal være et tal eller en procentdel"
"More colors","Flere farver"
"Black","Sort"
"Burnt orange","Brændt orange"
"Dark olive","Mørk oliven"
"Dark green","Mørkegrøn"
"Dark azure","Mørk azurblå"
"Navy Blue","Marineblå"
"Indigo","Indigoblå"
"Very dark gray","Meget mørk grå"
"Maroon","Rødbrun"
"Olive","Oliven"
"Green","Gr&#248;n"
"Teal","Grønblå"
"Grayish blue","Grålig blå"
"Red","R&#248;d"
"Amber","Rav"
"Yellow green","Gulgrøn"
"Sea green","Søgrøn"
"Turquoise","Turkis"
"Royal blue","Kongeblå"
"Purple","Lilla"
"Medium gray","Medium grå"
"Gold","Guld"
"Yellow","Gul"
"Sky blue","Himmelblå"
"Brown","Brun"
"Silver","S&#248;lv"
"Peach","Fersken"
"Light yellow","Lysegul"
"Pale green","Bleggrøn"
"Pale cyan","Blegtyrkis"
"Light sky blue","Lys himmelblå"
"White","Hvid"
"Alignment","Justering"
"Full","Fuld"
"%sY-%sm-%d","%d-%sm-%sY"
"Insert date","Inds&#230;t dato"
"Insert time","Inds&#230;t tid"
"January","januar"
"February","februar"
"March","marts"
"April","april"
"May","maj"
"June","juni"
"July","juli"
"August","august"
"September","september"
"October","oktober"
"November","november"
"December","december"
"Jan_January_abbreviation","jan"
"Feb_February_abbreviation","feb"
"Mar_March_abbreviation","mar"
"Apr_April_abbreviation","apr"
"May_May_abbreviation","maj"
"Jun_June_abbreviation","jun"
"Jul_July_abbreviation","jul"
"Aug_August_abbreviation","aug"
"Sep_September_abbreviation","sep"
"Oct_October_abbreviation","okt"
"Nov_November_abbreviation","nov"
"Dec_December_abbreviation","dec"
"Sunday","søndag"
"Monday","mandag"
"Tuesday","tirsdag"
"Wednesday","onsdag"
"Thursday","torsdag"
"Friday","fredag"
"Saturday","lørdag"
"Sun","søn"
"Mon","man"
"Tue","tirs"
"Wed","ons"
"Thu","tors"
"Fri","fre"
"Sat","lør"
"Direction left to right","Venstre mod højre"
"Direction right to left","Højre mod venstre"
"Insert new layer","Indsæt nyt lag"
"Move forward","Gå videre"
"Move backward","Gå tilbage"
"Toggle absolute positioning","Toggle absolut positionering"
"New layer...","Nyt lag..."
"Cancel all changes","Fortryd alle ændringer"
"Insert non-breaking space character","Indsæt mellemrum uden linjeskift"
"Run spell checking","Kør stavekontrol"
"ieSpell not detected. Do you want to install it now?","ieSpell ikke fundet. Vil du installere det nu?"
"Horizontal rule","Horisontal linje"
"Emotions","Følelser"
"Find/Replace","Søg/Erstat"
"Insert/edit image","Indsæt/rediger billede"
"Insert/edit link","Indsæt/rediger link"
"Citation","Citat"
"Abbreviation","Forkortelse"
"Acronym","Akronym"
"Deletion","Sletning"
"Insertion","Indsættelse"
"Insert/Edit Attributes","Indsæt/rediger egenskaber"
"Edit CSS Style","Rediger CSS-style"
"Paste as Plain Text","Indsæt som ren tekst"
"Paste from Word","Indsæt fra Word"
"Select All","Vælg alle"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Indsæt foregår nu i ren tekst. Klik igen for at indsætte på normal vis. Efter du indsætter vil du vende tilbage til at indsætte på normal vis."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","Indsæt foregår nu i ren tekst. Klik igen for at indsætte på normal vis."
"Use CTRL+V on your keyboard to paste the text into the window.","Brug CTRL+V på dit tastatur for at indsætte teksten i vinduet."
"Keep linebreaks","Behold linjeskift"
"Inserts a new table","Indsætter en ny tabel"
"Insert row before","Indsæt række før"
"Insert row after","Indsæt række efter"
"Delete row","Slet række"
"Insert column before","Indsæt kolonne før"
"Insert column after","Indsæt kolonne efter"
"Remove column","Fjern kolonne"
"Split merged table cells","Del flettede celler"
"Merge table cells","Flet tabelceller"
"Table row properties","Egenskaber for tabelrække"
"Table cell properties","Egenskaber for tabelcelle"
"Table properties","Tabelegenskaber"
"Paste table row before","Indsæt tabelrække før"
"Paste table row after","Indsæt tabelrække efter"
"Cut table row","Klip tabelrække"
"Copy table row","Kopier tabelrække"
"Delete table","Slet tabel"
"Row","Række"
"Column","Kolonne"
"Cell","Celle"
"The changes you made will be lost if you navigate away from this page.","Dine ændringer vil gå tabt, hvis du går væk fra denne side."
"Toggle fullscreen mode (Alt + Shift + G)","Fuldskærm til/fra (Alt + Shift + G)"
"Insert / edit embedded media","Indsæt/Rediger indlejret medie"
"Edit embedded media","Rediger indlejret medie"
"Document properties","Dokumentegenskaber"
"Insert predefined template content","Indsæt foruddefineret skabelonindhold"
"Visual control characters on/off.","Visuelle kontrolkarakterer til/fra."
"Toggle spellchecker (Alt + Shift + N)","Stavekontrol til/fra (Alt + Shift + N)"
"Spellchecker settings","Indstillinger for stavekontrol"
"Ignore word","Ignorer ord"
"Ignore all","Ignorer alt"
"Languages","Sprog"
"Please wait...","Vent venligst..."
"Suggestions","Forslag"
"No suggestions","ingen forslag"
"This is somewhat embarrassing, isn&rsquo;t it?","Dette er lidt pinligt, er det ikke?"
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","Det ser ud til, at vi ikke kan finde det, du leder efter. Måske vil en søgning hjælpe."
"Daily Archives: %s","Dagsarkiv: %s"
"Monthly Archives: %s","Månedsarkiv: %s"
"Yearly Archives: %s","Årsarkiv: %s"
"Author Archives: %s","Forfatterarkiv: %s"
"About %s","Om %s"
"Category Archives: %s","Kategoriarkiv: %s"
"One thought on &ldquo;%s&rdquo;","En tanke om \"%s\""
"%s thoughts on &ldquo;%s&rdquo;","%s tanker om \"%s\""
"Comment navigation","Kommentar navigation"
"&larr; Older Comments","&larr; Ældre kommentarer"
"Newer Comments &rarr;","Nyere kommentarer &rarr;"
"Permalink to %s","Permalink til %s"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Læs resten <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","Skriv et svar"
"1 Reply","1 svar"
"%s Replies","%s svar"
"Nothing Found","Intet fundet"
"Apologies, but no results were found. Perhaps searching will help find a related post.","Beklager, men ingen resultater blev fundet. Måske vil en søgning hjælpe dig til at finde et relevant indlæg."
"Featured post","Fremhævet indlæg"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","Vis alle indlæg af %s <span class=\"meta-nav\">&rarr;</span>"
"Semantic Personal Publishing Platform","Personlig semantisk publiceringsplatform"
"Proudly powered by %s","Drevet af %s"
"Primary Menu","Primær menu"
"Page %s","Side %s"
"Main Sidebar","Primær sidebar"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","Vises på indlæg og sider undtagen den valgfrie Forside skabelon, som har sine egne widgets"
"First Front Page Widget Area","Første widget-område på forsiden"
"Appears when using the optional Front Page template with a page set as Static Front Page","Vises når den valgfrie Forside skabelon benyttes på en side sat som Statisk Forside"
"Second Front Page Widget Area","Andet widget-område på forsiden"
"Post navigation","Indlægsnavigation"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> Ældre indlæg"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","Nyere indlæg <span class=\"meta-nav\">&rarr;</span>"
"Post author","Forfatter"
"View all posts by %s","Vis alle indlæg af %s"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","Dette indlæg blev udgivet i %s og tagget %s den %s<span class=\"by-author\"> af %s</span>."
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","Dette indlæg blev udgivet i %s den %s<span class=\"by-author\"> af %s</span>."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","Dette indlæg blev udgivet den %s<span class=\"by-author\"> af %s</span>."
"Skip to content","Videre til indhold"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">Udgivet den </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time> i </span>, <a href=\"%s\" title=\"Link til billede i fuld opløsning\">%s &times; %s</a> i <a href=\"%s\" title=\"Tilbage til %s\" rel=\"gallery\">%s</a>"
"&larr; Previous","&larr; Forrige"
"Next &rarr;","Næste &rarr;"
