"New password","Kata sandi baru"
"Your theme supports %s menus. Select which menu appears in each location.","Tema Anda mendukung %s menu. Pilihlah menu yang akan ditampilkan di tiap lokasi."
"You can edit your menu content on the Menus screen in the Appearance section.","Anda dapat menyunting konten menu pada layar Menu pada bagian Tampilan."
"Static Front Page","Halaman Depan Statis"
"Your theme supports a static front page.","Tema Anda mendukung halaman depan statik"
"Front page displays","Halaman depan menampilkan"
"Your latest posts","Tulisan terbaru Anda"
"A static page","Sebuah halaman statis"
"Front page","Halaman depan"
"Posts page","Halaman tulisan"
"Text","Teks"
"Update","Perbarui"
"Save","Simpan"
"Exit fullscreen","Keluar dari layar-penuh"
"Bold (Ctrl + B)","Cetak Tebal (Ctrl + B)"
"Italic (Ctrl + I)","Cetak Miring (Ctrl + I)"
"Unordered list (Alt + Shift + U)","Daftar tidak-berurut (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","Daftar Berurut (Alt + Shift + O)"
"Blockquote (Alt + Shift + Q)","Blok-kutipan (Alt + Shift + Q)"
"Insert/edit image (Alt + Shift + M)","Sisipkan/sunting gambar (Alt + Shift + M)"
"Insert/edit link (Alt + Shift + A)","Sisipkan/sunting taut (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","Cabut taut (Alt + Shift + S)"
"Help (Alt + Shift + H)","Bantuan (Alt + Shift + H)"
"Updated.","Telah diperbarui."
"Saved.","Disimpan."
"Enter title here","Masukkan judul di sini"
"Word count: %s","Jumlah kata: %s"
"Just write.","Tulis saja."
"Enter the destination URL","Masukkan URL tujuan"
"Title","Judul"
"Open link in a new window/tab","Buka tautan di jendela/tab baru"
"Or link to existing content","Atau pasang tautan ke konten yang ada"
"No search term specified. Showing recent items.","Tidak ada pencarian yang ditentukan. Menampilkan item baru."
"Add Link","Tambahkan Tautan"
"Cancel","Batal"
"File doesn&#8217;t exist?","Berkas tidak ada?"
"File is not an image.","Berkas bukan berupa gambar."
"Could not read image size.","Tidak dapat membaca ukuran gambar."
"Image resize failed.","Perubahan ukuran gambar gagal."
"Could not calculate resized image dimensions","Tidak dapat menghitung pengubahan ukuran dimensi gambar "
"Image crop failed.","Pemotongan gambar gagal."
"Image rotate failed.","Rotasi gambar gagal."
"Image flip failed.","Pembalikan gambar gagal."
"Image Editor Save Failed","Penyimpanan Penyunting Gambar Gagal"
"Could not read image size","Tidak dapat membaca ukuran gambar"
"The theme directory does not exist.","Direktori tema tidak ada."
"Stylesheet is missing.","Stylesheet hilang."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","GALAT: direktori tema kosong atau tidak ada. Silahkan periksa instalasi Anda."
"Stylesheet is not readable.","Lembar-gaya tidak dapat dibaca."
"Template is missing.","Template hilang."
"The parent theme is missing. Please install the \"%s\" parent theme.","Induk Tema hilang. Silahkan instal induk tema \"%s\" "
"The \"%s\" theme is not a valid parent theme.","Tema \"%s\" bukan tema induk yang sah."
"Visit author homepage","Kunjungi laman penulis"
",",", "
"XML-RPC services are disabled on this site.","Layanan XML-RPC tidak tersedia di situs ini."
"Incorrect username or password.","Nama pengguna atau kata sandi salah."
"Software Name","Nama Perangkat Lunak"
"Software Version","Versi Perangkat Lunak"
"Site URL","URL Situs"
"Home URL","URL Beranda"
"Image default link type","Tipe taut gambar bawaan"
"Image default size","Ukuran gambar bawaan"
"Image default align","Perataan gambar bawaan"
"Template","Templat"
"Stylesheet","Lembar-gaya"
"Post Thumbnail","Kirim Gambar Miniatur"
"Time Zone","Zona Waktu"
"Site Tagline","Slogan Situs"
"Date Format","Format Tanggal"
"Time Format","Format Waktu"
"Allow new users to sign up","Izinkan pengguna baru mendaftar"
"Thumbnail Width","Lebar Miniatur"
"Thumbnail Height","Tinggi miniatur"
"Crop thumbnail to exact dimensions","Potong miniatur ke dimensi yang tepat"
"Medium size image width","Lebar gambar ukuran sedang"
"Medium size image height","Tinggi gambar ukuran sedang"
"Large size image width","Lebar gambar ukuran besar"
"Large size image height","Tinggi gambar ukuran besar"
"Allow people to post comments on new articles","Izinkan orang untuk memberikan komentar di tulisan-tulisan baru"
"Allow link notifications from other blogs (pingbacks and trackbacks)","Izinkan pemberitahuan taut dari blog lain (ping-balik dan lacak-balik)"
"Insufficient arguments passed to this XML-RPC method.","Argument kurang lengkap untuk metode XML-RPC ini."
"Invalid post type","Jenis tulisan tidak sah"
"Invalid post ID.","ID tulisan tidak sah."
"Sorry, you are not allowed to edit this post.","Maaf, Anda tidak diperkenankan untuk menyunting tulisan ini."
"The post type may not be changed.","Tipe tulisan tidak boleh berubah."
"Sorry, you are not allowed to post on this site.","Maaf, Anda tidak diizinkan untuk mengirim tulisan pada situs ini."
"Sorry, you are not allowed to create private posts in this post type","Maaf, Anda tidak diperkenankan untuk menciptakan tulisan pribadi pada tipe tulisan ini"
"Sorry, you are not allowed to publish posts in this post type","Maaf, Anda tidak diperkenankan untuk mempublikasikan tulisan di tipe tulisan ini"
"Sorry, you are not allowed to create password protected posts in this post type","Maaf, Anda tidak diperkenankan untuk menciptakan tulisan yang dilindungi oleh kata sandi dalam tipe tulisan ini"
"You are not allowed to create posts as this user.","Anda tidak diperkenankan untuk menciptakan tulisan sebagai pengguna ini."
"Invalid author ID.","ID penulis tidak sah."
"Sorry, you cannot stick a private post.","Maaf, Anda tidak dapat menempelkan sebuah tulisan privat."
"Sorry, you are not allowed to stick this post.","Maaf, Anda tidak diperkenankan untuk menempelkan tulisan ini."
"Invalid attachment ID.","ID lampiran tidak sah."
"Sorry, one of the given taxonomies is not supported by the post type.","Maaf, salah satu taksonomi yang dimasukkan tidak didukung oleh tipe tulisan."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Maaf, Anda tidak diperkenankan untuk menunjuk sebuah istilah pada taksonomi berikut ini."
"Invalid term ID","ID istilah yang tidak sah"
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Nama istilah yang ambigu digunakan pada hirarki taksonomi. Mohon gunakan ID istilah saja."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Maaf, Anda tidak diperkenankan untuk menambahkan sebuah istilah pada taksonomi yang telah disebutkan."
"Sorry, your entry could not be posted. Something wrong happened.","Maaf, entri Anda tidak dapat dikirim. Terjadi suatu kesalahan."
"There is a revision of this post that is more recent.","Ada sebuah revisi untuk tulisan ini yang lebih baru."
"Sorry, you are not allowed to delete this post.","Maaf, Anda tidak diperkenankan untuk menghapus tulisan ini."
"The post cannot be deleted.","Tulisan tidak dapat dihapus."
"Sorry, you cannot edit this post.","Maaf, Anda tidak dapat menyunting tulisan ini."
"The post type specified is not valid","Jenis tulisan yang dimasukkan tidak sah."
"Sorry, you are not allowed to edit posts in this post type","Maaf, Anda tidak diperkenankan untuk menyunting tulisan dalam tipe tulisan ini"
"Invalid taxonomy","Taksonomi tidak sah"
"You are not allowed to create terms in this taxonomy.","Anda tidak diizinkan untuk menciptakan istilah di dalam taksonomi ini."
"The term name cannot be empty.","Nama istilah tidak boleh kosong."
"This taxonomy is not hierarchical.","Taksonomi ini tidak bersifat hirarkis."
"Parent term does not exist.","Istilah induk tidak ditemukan."
"Sorry, your term could not be created. Something wrong happened.","Maaf, istilah Anda tidak dapat diciptakan. Ada yang salah."
"You are not allowed to edit terms in this taxonomy.","Anda tidak diijinkan untuk menyunting istilah di dalam taksonomi ini."
"This taxonomy is not hierarchical so you can't set a parent.","Taksonomi ini tidak bersifat hirarkis, jadi Anda tidak dapet menetapkannya sebagai induk."
"Sorry, editing the term failed.","Maaf, penyuntingan istilah gagal."
"You are not allowed to delete terms in this taxonomy.","Anda tidak diizinkan untuk menghapus istilah di dalam taksonomi ini."
"Sorry, deleting the term failed.","Maaf, penghapusan istilah gagal."
"You are not allowed to assign terms in this taxonomy.","Anda tidak diijinkan untuk menetapkan istilah di dalam taksonomi ini."
"Sorry, you cannot edit users.","Maaf, Anda tidak dapat menyunting pengguna."
"Invalid user ID","ID pengguna salah"
"Sorry, you cannot list users.","Maaf, Anda tidak dapat melihat daftar pengguna."
"The role specified is not valid","Spesifikasi peran tidak sah."
"Sorry, you cannot edit your profile.","Maaf, Anda tidak dapat menyunting profil Anda."
"Sorry, the user cannot be updated.","Maad, pengguna tidak dapat diperbaharui."
"Sorry, you cannot edit this page.","Maaf, Anda tidak dapat menyunting halaman ini."
"Sorry, no such page.","Maaf, tidak ada halaman seperti itu."
"Sorry, you cannot edit pages.","Maaf, Anda tidak dapat menyunting halaman ini."
"Sorry, you do not have the right to delete this page.","Maaf, Anda tidak memiliki hak untuk menghapus halaman ini."
"Failed to delete the page.","Gagal untuk menghapus halaman ini."
"Sorry, you do not have the right to edit this page.","Maaf, Anda tidak memiliki hak untuk menyunting halaman ini."
"Sorry, you cannot edit posts on this site.","Maaf, Anda tidak dapat menyunting tulisan di situs ini."
"Sorry, you must be able to edit posts on this site in order to view tags.","Maaf, Anda harus dapat menyunting tulisan di situs ini untuk melihat label-label."
"Sorry, you do not have the right to add a category.","Maaf, Anda tidak memiliki hak untuk menambahkan kategori."
"Sorry, the new category failed.","Maaf, kategori baru gagal."
"Sorry, you do not have the right to delete a category.","Maaf, Anda tidak memiliki hak untuk menghapus sebuah kategori."
"Sorry, you must be able to edit posts to this site in order to view categories.","Maaf, Anda harus memiliki wewenang penyuntingan tulisan di situs ini untuk melihat kategori."
"You are not allowed to moderate comments on this site.","Anda tidak diizinkan untuk memoderasi komentar di situs ini."
"Invalid comment ID.","ID komentar tidak sah."
"Sorry, you cannot edit comments.","Maaf, Anda tidak dapat menyunting komentar."
"Invalid comment status.","Status komentar tidak sah."
"Sorry, the comment could not be edited. Something wrong happened.","Maaf, komentar tidak dapat disunting. Terjadi suatu kesalahan."
"You must be registered to comment","Anda harus terdaftar untuk berkomentar"
"Comment author name and email are required","Nama dan surel penulis komentar wajib diisi."
"A valid email address is required","Dibutuhkan alamat surel yang sah"
"You are not allowed access to details about this site.","Anda tidak diizinkan untuk mengakses detail tentang situs ini."
"You are not allowed access to details about comments.","Anda tidak diperbolehkan untuk mengakses hal-hal detail mengenai komentar."
"You are not allowed to update options.","Anda tidak diperkenankan untuk memperbarui opsi."
"You do not have permission to upload files.","Anda tidak punya izin untuk mengunggah berkas."
"Sorry, you are not allowed to edit this post type.","Maaf, Anda tidak diperbolehkan untuk menyunting jenis tulisan ini."
"Invalid post ID","ID tulisan tidak sah"
"Sorry, you are not allowed to edit posts.","Maaf, Anda tidak diperbolehkan untuk menyunting tulisan."
"Sorry, revisions are disabled.","Maaf, revisi tidak bisa digunakan."
"Sorry, you do not have access to user data on this site.","Maaf, Anda tidak memiliki akses ke data pengguna pada situs ini."
"Either there are no posts, or something went wrong.","Entah tidak ada tulisan, atau sesuatu yang salah telah terjadi."
"Sorry, that file cannot be edited.","Maaf, berkas ini tidak dapat disunting."
"Sorry, no such post.","Maaf, tidak ada tulisan seperti itu."
"Sorry, you do not have the right to edit this post.","Anda tidak punya hak untuk menyunting tulisan ini."
"Sorry, you do not have the right to publish this post.","Maaf, Anda tidak memiliki hak untuk mempublikasikan tulisan ini."
"For some strange yet very annoying reason, this post could not be edited.","Untuk beberapa alasan yang aneh lagi amat mengganggu, tulisan ini tidak dapat disunting."
"Sorry, you do not have the right to delete this post.","Maaf, Anda tidak memiliki hak untuk menghapus tulisan ini."
"For some strange yet very annoying reason, this post could not be deleted.","Untuk beberapa alasan yang aneh lagi amat mengganggu, tulisan ini tidak dapat dihapus."
"Sorry, you are not allowed to publish pages on this site.","Maaf, Anda tidak diizinkan untuk menerbitkan halaman pada situs ini."
"Sorry, you are not allowed to publish posts on this site.","Maaf, Anda tidak diizinkan untuk menerbitkan tulisan pada situs ini."
"Invalid post format","Format pos tidak sah"
"You are not allowed to create pages as this user.","Anda tidak diperbolehkan untuk membuat halaman dengan menggunakan pengguna ini."
"You are not allowed to change the post author as this user.","Anda tidak diperbolehkan untuk mengganti penulis tulisan sebagai pengguna ini."
"You are not allowed to change the page author as this user.","Anda tidak diperbolehkan untuk mengganti penulis halaman sebagai pengguna ini."
"Sorry, you do not have the right to publish this page.","Maaf, Anda tidak memiliki hak untuk mempublikasikan halaman ini."
"Sorry, your entry could not be edited. Something wrong happened.","Maaf, entri Anda tidak dapat disunting. Terjadi suatu kesalahan."
"Sorry, you must be able to edit posts on this site in order to view categories.","Maaf, Anda harus memiliki wewenang penyuntingan tulisan di situs ini untuk melihat kategori."
"Could not write file %s (%s)","Tidak dapat menulis berkas %s (%s)"
"Sorry, you can not edit this post.","Maaf, Anda tidak dapat menyunting tulisan ini."
"Sorry, you cannot publish this post.","Maaf, Anda tidak dapat menerbitkan tulisan ini."
"Is there no link to us?","Tidak adakah taut untuk kami?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","URL target yang diberikan tidak dapat digunakan sebagai target. Hal ini dikarenakan karena target tersebut tidak ada, atau bukan sumberdaya yang bisa menerima pingback."
"The source URL and the target URL cannot both point to the same resource.","URL sumber dan URL target tersebut tidak dapat menunjuk ke sumber yang sama."
"The pingback has already been registered.","Ping balik tersebut telah terdaftar."
"The source URL does not exist.","URL sumber tidak ada."
"We cannot find a title on that page.","Kami tidak dapat menemukan judul pada halaman tersebut."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","URL sumber tersebut tidak mengandung sebuah taut ke URL target, sehingga tidak dapat digunakan sebagai sumber."
"Pingback from %s to %s registered. Keep the web talking! :-)","Pingbalik dari %s ke %s telah terdaftar. Buat web terus berbicara! :-)"
"The specified target URL does not exist.","URL target yang diberikan tidak ada."
"%s Comments","& Komentar"
"No Comments","Tidak ada Komentar"
"1 Comment","1 Komentar"
"Comment","Komentar"
"Trackback","Lacak balik"
"Pingback","Ping balik"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","Sebaliknya gunakan <code>get_trackback_urll()</code> jika Anda tidak ingin nilainya ditampilkan."
"Comments Off","Komentar Dimatikan"
"Enter your password to view comments.","Masukkan kata sandi Anda untuk melihat komentar."
"Comment on %s","Komentar pada %s"
"Reply","Balas"
"Log in to Reply","Masuk log untuk membalas"
"Leave a Comment","Tinggalkan sebuah Komentar"
"Log in to leave a Comment","Masuk log untuk meninggalkan sebuah Komentar"
"Click here to cancel reply.","Klik di sini untuk membatalkan balasan."
"Leave a Reply","Tinggalkan Balasan"
"Leave a Reply to %s","Tinggalkan Balasan ke %s"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">mengatakan:</span>"
"Your comment is awaiting moderation.","Komentar Anda menunggu moderasi."
"%s at %s","%s pada %s"
"(Edit)","(Sunting)"
"Email","Surel"
"Website","Situs web"
"Required fields are marked %s","Ruas yang wajib ditandai %s"
"You must be <a href=\"%s\">logged in</a> to post a comment.","Anda harus <a href=\"%s\">masuk log</a> untuk mengirim sebuah komentar."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","Masuk log sebagai <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\"> Keluar log?</a>"
"Your email address will not be published.","Alamat surel Anda tidak akan dipublikasikan."
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","Anda dapat menggunakan tag dan atribut <abbr title=\"HyperText Markup Language\">HTML</abbr>: %s"
"Cancel reply","Batalkan balasan"
"Post Comment","Kirim Komentar"
"Unapproved","Tolak"
"Approved","Disetujui"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","Dijumpai duplikasi komentar. Sepertinya Anda sudah mengatakan hal itu!"
"You are posting comments too quickly. Slow down.","Anda memposting komentar terlalu cepat. Pelankan."
"Could not update comment status","Tidak dapat memperbarui status komentar"
"This argument has changed to an array to match the behavior of the other cron functions.","Argumen ini telah berubah ke array agar cocok dengan perilaku fungsi cron lainnya."
"Once Hourly","Sejam Sekali"
"Twice Daily","Dua Kali Sehari"
"Once Daily","Sehari Sekali"
"Your site&#8217;s WordPress Pages","Halaman WordPress situs Anda"
"Sort by:","Sortir berdasarkan:"
"Page title","Judul halaman"
"Page order","Urutan halaman"
"Page ID","ID Halaman"
"Exclude:","Eksklusikan:"
"Page IDs, separated by commas.","ID Halaman, dipisahkan dengan koma."
"Your blogroll","Senarai Blog Anda"
"Links","Tautan"
"Select Link Category:","Pilih Kategori Tautan:"
"All Links","Semua Tautan"
"Link title","Judul taut"
"Link rating","Penilaian taut"
"Link ID","ID taut"
"Random","Acak"
"Show Link Image","Tampilkan Gambar Tautan"
"Show Link Name","Tampilkan Nama Tautan"
"Show Link Description","Tampilkan Keterangan Tautan"
"Show Link Rating","Tampilkan Peringkat Tautan"
"Number of links to show:","Jumlah taut yang ditampilkan:"
"A search form for your site","Sebuah formulir pencarian untuk situs Anda"
"A monthly archive of your site&#8217;s posts","Arsip bulanan tulisan-tulisan situs Anda"
"Archives","Arsip"
"Select Month","Pilih Bulan"
"Display as dropdown","Tampilkan sebagai tarikturun"
"Show post counts","Tunjukkan jumlah tulisan"
"Log in/out, admin, feed and WordPress links","Log masuk/keluar, admin, umpan dan taut WordPress"
"Syndicate this site using RSS 2.0","Sindikasikan situs ini menggunakan RSS 2.0"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","<abbr title=\"Really Simple Syndication\">RSS</abbr> Entri"
"The latest comments to all posts in RSS","Komentar-komentar terakhir pada seluruh tulisan dalam RSS"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","<abbr title=\"Really Simple Syndication\">RSS</abbr> Komentar"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","Didukung oleh WordPress, state-of-the-art semantic personal publishing platform."
"A calendar of your site&#8217;s posts","Kalender berisi tulisan-tulisan situs Anda"
"Calendar","Kalender"
"Arbitrary text or HTML","Teks biasa atau HTML"
"Automatically add paragraphs","Secara otomatis menambahkan paragraf"
"A list or dropdown of categories","Senarai atau tarik turun kategori"
"Select Category","Pilih Kategori"
"Show hierarchy","Tunjukkan hierarki"
"The most recent posts on your site","Tulisan terkini di situs Anda"
"Recent Posts","Tulisan Terakhir"
"Number of posts to show:","Jumlah tulisan untuk ditampilkan:"
"Display post date?","Perlihatkan tanggal tulisan?"
"The most recent comments","Komentar terkini"
"Recent Comments","Komentar Terakhir"
"%s on %s","%s pada %s"
"Number of comments to show:","Jumlah komentar yang ditunjukkan:"
"Entries from any RSS or Atom feed","Entri dari umpan RSS atau Atom"
"Unknown Feed","Umpan yang Tidak Diketahui"
"Syndicate this content","Sindikasikan konten ini"
"<strong>RSS Error</strong>: %s","<strong>Galat di RSS</strong>: %s"
"An error has occurred, which probably means the feed is down. Try again later.","Sebuah galat telah terjadi, yang kemungkinan berarti umpan tersebut sedang anjlok. Coba lagi nanti."
"Untitled","Tidak Berjudul"
"RSS Error: %s","Galat RSS: %s"
"Enter the RSS feed URL here:","Masukkan URL umpan RSS tersebut di sini:"
"Give the feed a title (optional):","Berikan umpan ini sebuah judul (opsional):"
"How many items would you like to display?","Berapa banyak butir yang ingin Anda tampilkan?"
"Display item content?","Tampilkan konten objek?"
"Display item author if available?","Tampilkan penulis jika tersedia?"
"Display item date?","Tampilkan tanggal objek?"
"Your most used tags in cloud format","Tag yang paling sering Anda gunakan dalam bentuk awan"
"Tag Cloud","Awan Tag"
"Taxonomy:","Taksonomi:"
"Use this widget to add one of your custom menus as a widget.","Gunakan widget ini untuk menambahkan salah satu menu tersuai Anda sebagai widget."
"Custom Menu","Menu Tersuai"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","Tidak ada menu yang telah dibuat. <a href=\"%s\">Buat beberapa</a>."
"Select Menu:","Pilih Menu:"
"new WordPress Loop","gunakan Loop WordPress"
"None","Tidak ada"
"Last updated","Terakhir diperbarui"
"Missing Attachment","Lampiran Hilang"
"First Post","Tulisan Pertama"
"Last Post","Tulisan Terakhir"
"Are you sure you want to do this?","Yakinkah Anda ingin melakukan ini?"
"File &#8220;%s&#8221; doesn&#8217;t exist?","Berkas &#8220;%s&#8221; tidak ada?"
"The GD image library is not installed.","Pustaka gambar GD tidak terinstal."
"File &#8220;%s&#8221; is not an image.","Berkas &#8220;%s&#8221; bukanlah sebuah gambar."
"Comments on %s","Komentar untuk %s"
"Comments for %s searching on %s","Komentar untuk %s mencari di %s"
"Comments for %s","Komentar untuk %s"
"Comment on %s by %s","Komentar di %s oleh %s"
"By: %s","Oleh: %s"
"Comments on: %s","Komentar di: %s"
"Protected Comments: Please enter your password to view comments.","Komentar Terlindung: Silakan masukkan kata sandi Anda untuk melihat komentar."
"%s min","%s menit"
"%s mins","%s menit"
"%s hour","%s jam"
"%s hours","%s jam"
"%s day","%s hari"
"%s days","%s hari"
"words","kata"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","Alamat surel yang dimasukkan kelihatannya bukan alamat surel yang sah. Silahkan masukkan alamat surel yang sah."
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","Alamat WordPress yang Anda masukkan kelihatannya bukan URL yang sah. Silahkan masukkan URL yang sah."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","Alamat Situs yang Anda masukkan kelihatannya bukan URL yang sah. Silahkan masukkan URL yang sah."
"The timezone you have entered is not valid. Please select a valid timezone.","Zona waktu yang Anda masukkan tidak sah. Silahkan pilih zona waktu yang sah."
", and",", dan "
"and"," dan "
"ERROR: %s is not a valid feed template.","GALAT: %s bukanlah templat umpan yang sah."
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","Satu atau lebih tabel basis data tidak tersedia. Basis data mungkin perlu diperbaiki <a href=\"%s\"> </a>."
"Unable to create directory %s. Is its parent directory writable by the server?","Tidak dapat membuat direktori %s. Apakah direktori induknya dapat ditulis oleh server?"
"Empty filename","Nama berkas kosong"
"Invalid file type","Jenis berkas tidak sah"
"Could not write file %s","Tidak dapat menulis berkas %s"
"WordPress Failure Notice","Pemberitahuan Kegagalan WordPress"
"You are attempting to log out of %s","Anda sedang mencoba untuk keluar log dari %s"
"Do you really want to <a href='%s'>log out</a>?","Apakah Anda benar-benar ingin <a href='%s'>keluar log</a>?"
"Please try again.","Silakan coba lagi."
"&laquo; Back","&laquo; Kembali"
"WordPress &rsaquo; Error","WordPress &rsaquo; Galat"
"Database Error","Galat Basis data"
"Error establishing a database connection","Galat mengadakan koneksi basis data"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","%s mulai <strong>ditinggalkan</strong> sejak versi %s! Gunakan %s."
"%s is <strong>deprecated</strong> since version %s with no alternative available.","%s sudah <strong>ditinggalkan</strong> sejak versi %s tanpa tersedia alternatifnya."
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","%s disebut dengan argumen yang <strong>ditinggalkan</strong> sejak versi %s! %s"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","%s disebut dengan argumen yang <strong>ditinggalkan</strong> sejak versi %s dengan tidak ada alternatif yang tersedia."
"(This message was added in version %s.)","(Pesan ini ditambahkan pada versi %s.)"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","Silahkan lihat <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging pada WordPress</a> untuk informasi lebih lanjut."
"%s was called <strong>incorrectly</strong>. %s %s","%s dipanggil secara <strong>tidak benar</strong>. %s %s"
"Select a city","Pilih sebuah kota"
"Manual Offsets","Offset Manual"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","Skrip dan gaya tidak harus terdaftar atau diantrikan sampai terkait %s,%s, atau %s."
"Search for:","Pencarian untuk:"
"Log in","Masuk log"
"Log out","Keluar log"
"Username","Nama Pengguna"
"Password","Kata Sandi"
"Remember Me","Ingat Saya"
"Log In","Masuk Log"
"Register","Daftar"
"Site Admin","Admin Situs"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","Opsi <code>%s</code> sudah ditinggalkan untuk keluarga fungsi <code>bloginfo()</code>."
"Use the <code>%s</code> option instead.","Gunakan opsi  <code>%s</code>sebagai gantinya."
"Search Results %s %s","Hasil Pencarian %s %s"
"Page not found","Halaman tidak ditemukan"
"View posts for %s %s","Lihat tulisan untuk %s %s"
"%s %s Comments Feed","%s %s Umpan Komentar"
"%s %s %s Comments Feed","%s %s %s Umpan Komentar"
"%s %s %s Category Feed","%s %s %s Umpan Kategori"
"%s %s %s Tag Feed","%s %s %s Umpan Tag"
"%s %s Posts by %s Feed","%s %s Umpan Tulisan oleh %s"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s Hasil Pencarian untuk Umpan &#8220;%s&#8221;"
"%s %s %s Feed","%s %s %s Umpan"
"&laquo; Previous","&laquo; Sebelumnya"
"Next &raquo;","Berikutnya &raquo;"
"Blue","Biru"
"Gray","Abu-Abu"
"Do you want to use the WYSIWYG mode for this textarea?","Apakah Anda ingin menggunakan moda WYSIWYG untuk area-teks ini?"
"Apply","Terapkan"
"Insert","Sisipkan"
"Close","Tutup"
"Browse","Rambah"
"Class","Kelas"
"-- Not set --","-- Tak Ditentukan --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","Salin/Potong/Tempel tidak tersedia di Mozilla dan Firefox."
"Currently not supported by your browser, use keyboard shortcuts instead.","Saat ini tidak didukung oleh peramban Anda. Silakan gunakan jalan pintas papan ketik."
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","Maaf, tapi kami mendapatkan pemblokir popup telah mematikan sebuah jendela yang berperan dalam fungsionalitas aplikasi. Anda perlu mematikan pemblokiran popup di situs ini agar dapat memanfaatkan peralatan ini."
"ERROR: Invalid values entered, these are marked in red.","GALAT: Nilai yang ditandai dengan warna merah tidak sah."
"{#field} must be a number","{#field} harus berupa angka"
"{#field} must be a number greater than {#min}","{#field} harus berupa angka yang lebih besar dari {#min}"
"{#field} must be a number or percentage","{#field} harus berupa angka atau persentase"
"More colors","Warna lainnya"
"Black","Hitam"
"Burnt orange","Oranye gelap"
"Dark olive","Zaitun gelap"
"Dark green","Hijau Tua"
"Dark azure","Biru gelap"
"Navy Blue","Biru Laut"
"Indigo","Nila"
"Very dark gray","Abu sangat gelap"
"Maroon","Merah Tua"
"Orange","Oranye"
"Olive","Zaitun"
"Green","Hijau"
"Grayish blue","Biru keabu-abuan"
"Red","Merah"
"Yellow green","Kuning hijau"
"Sea green","Hijau laut"
"Turquoise","Pirus"
"Royal blue","Biru indah"
"Purple","Ungu"
"Medium gray","Abu sedang"
"Gold","Emas"
"Yellow","Kuning"
"Lime","Kapur"
"Sky blue","Biru langit"
"Brown","Kulit"
"Silver","Perak"
"Pink","Merah Muda"
"Peach","Persik"
"Light yellow","Kuning terang"
"Pale green","Hijau pucat"
"Pale cyan","Cyan pucat"
"Light sky blue","Biru langit terang"
"Plum","Prem"
"White","Putih"
"Alignment","Perataan"
"Full","Penuh"
"Insert date","Sisipkan tanggal"
"Insert time","Sisipkan waktu"
"January","Januari"
"February","Februari"
"March","Maret"
"May","Mei"
"June","Juni"
"July","Juli"
"August","Agustus"
"October","Oktober"
"December","Desember"
"May_May_abbreviation","Mei_May_abbreviation"
"Aug_August_abbreviation","Agu_August_abbreviation"
"Oct_October_abbreviation","Okt_October_abbreviation"
"Dec_December_abbreviation","Des_December_abbreviation"
"Sunday","Minggu"
"Monday","Senin"
"Tuesday","Selasa"
"Wednesday","Rabu"
"Thursday","Kamis"
"Friday","Jumat"
"Saturday","Sabtu"
"Sun","Ming"
"Mon","Sen"
"Tue","Sel"
"Wed","Rab"
"Thu","Kam"
"Fri","Jum"
"Sat","Sab"
"Print","Cetak"
"Preview","Pratampil"
"Direction left to right","Arah kiri ke kanan"
"Direction right to left","Arah kanan ke kiri"
