"Activation Key Required","Требуется ключ активации"
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","Эта функция требует поддержки плавающих фреймов. У вас отключены теги iframe, либо ваш браузер их не поддерживает."
"not configured","не настроен"
"You have attempted to queue too many files.","Вы поставили в очередь слишком много файлов."
"%s exceeds the maximum upload size for this site.","Размер файла «%s» превышает максимальный для этого сайта."
"This file is empty. Please try another.","Файл пуст. Пожалуйста, выберите другой."
"This file type is not allowed. Please try another.","Файл не принадлежит к разрешённым типам. Пожалуйста, выберите другой."
"This file is not an image. Please try another.","Файл не является изображением. Пожалуйста, выберите другой."
"Memory exceeded. Please try another smaller file.","Превышен лимит памяти. Пожалуйста, выберите файл поменьше."
"This is larger than the maximum size. Please try another.","Размеры изображения превышают максимальные. Пожалуйста, выберите другое."
"An error occurred in the upload. Please try again later.","Во время загрузки произошла ошибка. Пожалуйста, повторите попытку позже."
"There was a configuration error. Please contact the server administrator.","Ошибка конфигурации. Пожалуйста, свяжитесь с администратором сервера."
"You may only upload 1 file.","Вы можете загрузить только 1 файл."
"HTTP error.","Ошибка HTTP."
"Upload failed.","Загрузка не удалась."
"Please try uploading this file with the %sbrowser uploader%s.","Попробуйте загрузить этот файл через %sзагрузчик браузера%s."
"%s exceeds the maximum upload size for the multi-file uploader when used in your browser.","Размер файла «%s» превышает максимальный для многофайлового загрузчика в сочетании с вашим браузером."
"IO error.","Ошибка ввода/вывода."
"Security error.","Ошибка безопасности."
"File canceled.","Загрузка отменена."
"Upload stopped.","Загрузка остановлена."
"Crunching&hellip;","Обработка&hellip;"
"moved to the trash.","перемещён в корзину."
"&#8220;%s&#8221; has failed to upload.","Файл &laquo;%s&raquo; загрузить не удалось."
"Strength indicator","Индикатор надёжности"
"Very weak","Очень слабый"
"Weak","Слабый"
"Strong","Надёжный"
"Mismatch","Несовпадение"
"(no title)","(без названия)"
"No matches found.","Совпадений не найдено."
"Save &amp; Activate","Сохранить и активировать"
"Save &amp; Publish","Сохранить и опубликовать"
"Saved","Сохранено"
"Add","Добавить"
"Separate multiple categories with commas.","Рубрики разделяются запятыми."
"Approve and Reply","Одобрить и ответить"
"Publish on:","Опубликовать:"
"Schedule for:","Запланировать:"
"Published on:","Дата:"
"Show more comments","Показать ещё комментарии"
"No more comments found.","Больше комментариев не найдено."
"Publish","Опубликовать"
"Schedule","Запланировать"
"Save as Pending","Сохранить для утверждения"
"Save Draft","Сохранить"
"Public","Открыто"
"Public, Sticky","Открыто, прилеплено"
"Password Protected","Защищено паролем"
"Privately Published","Опубликовано как личное"
"Submitted on:","Отправлено:"
"Error while saving the changes.","Ошибка при сохранении изменений."
"Remove From Bulk Edit","Удалить из массового редактирования"
"Plugin Information:","Информация о плагине:"
"Are you sure you want to install this plugin?","Вы уверены, что хотите установить этот плагин?"
"Select Color","Выбрать цвет"
"Current Color","Текущий цвет"
"Could not load the preview image. Please reload the page and try again.","Не удалось загрузить изображение для просмотра. Пожалуйста, обновите страницу и повторите попытку."
"Use as featured image","Использовать как миниатюру"
"Saving...","Сохранение..."
"Could not set that as the thumbnail image. Try a different attachment.","Не удалось задать это изображение в качестве миниатюры. Попробуйте другое вложение."
"Done","Готово"
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Вы собираетесь навсегда удалить это меню. \n «Отмена» — оставить, «ОК» — удалить."
"Saving Draft&#8230;","Сохранение черновика&#8230;"
"Navigation Menus","Меню навигации"
"Navigation Menu","Меню навигации"
"Link Categories","Рубрики ссылок"
"Link Category","Рубрика ссылок"
"Search Link Categories","Поиск рубрик ссылок"
"All Link Categories","Все рубрики ссылок"
"Edit Link Category","Изменить рубрику ссылок"
"Update Link Category","Обновить рубрику ссылок"
"Add New Link Category","Добавить новую рубрику ссылок"
"New Link Category Name","Название новой рубрики ссылок"
"Taxonomies cannot exceed 32 characters in length","Таксономии не могут быть длиннее 20 символов"
"Tag","Метка"
"Category","Рубрика"
"Search Tags","Поиск меток"
"Search Categories","Поиск рубрик"
"Popular Tags","Популярные метки"
"All Tags","Все метки"
"All Categories","Все рубрики"
"Parent Category","Родительская рубрика"
"Parent Category:","Родительская рубрика:"
"Edit Tag","Изменить метку"
"Edit Category","Изменить рубрику"
"View Tag","Просмотреть метку"
"View Category","Просмотреть рубрику"
"Update Tag","Обновить метку"
"Update Category","Обновить рубрику"
"Add New Tag","Добавить новую метку"
"Add New Category","Добавить новую рубрику"
"New Tag Name","Название новой метки"
"New Category Name","Название новой рубрики"
"Separate tags with commas","Метки разделяются запятыми"
"Add or remove tags","Добавить или удалить метки"
"Choose from the most used tags","Выбрать из часто используемых меток"
"Empty Term","Пустой элемент"
"A name is required for this term","Требуется название этого элемента"
"A term with the name provided already exists with this parent.","Элемент с указанным именем уже существует у родительского элемента."
"Could not insert term into the database","Не удалось вставить элемент в базу данных"
"A term with the name provided already exists.","Извините, элемент с таким названием уже существует!"
"Could not insert term relationship into the database","Не удалось вставить связь элемента в базу данных"
"The slug &#8220;%s&#8221; is already in use by another term","Ярлык &laquo;%s&raquo; уже используется другим элементом"
"Invalid object ID","Неверный ID объекта"
"Theme without %s","Тема без %s"
"Please include a %s template in your theme.","Пожалуйста, включите шаблон %s в вашу тему."
"%s - Comments on %s","%s &#8212; Комментарии на %s"
"<abbr title=\"Really Simple Syndication\">RSS</abbr> feed for comments on this post.","<abbr title=\"Really Simple Syndication\">RSS</abbr>-лента комментариев к этой записи."
"The <abbr title=\"Universal Resource Locator\">URL</abbr> to TrackBack this entry is: <em>%s</em>","<abbr title=\"Universal Resource Locator\">URL</abbr> для обратной ссылки к этой записи: <em>%s</em>"
"by %s &#8212; %s @ <a href=\"#comment-%s\">%s</a>","от %s &#8212; %s в <a href=\"#comment-%s\">%s</a>"
"No comments yet.","Комментариев нет."
"Leave a comment","Оставить комментарий"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Перевод строки автоматический, адрес e-mail никогда не показывается, допустимые теги <acronym title=\"Hypertext Markup Language\">HTML</acronym>: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Вы вошли как <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Выйти из этой учётной записи\">Выйти &raquo;</a>"
"Your Comment","Ваш комментарий"
"Say It!","Добавить комментарий"
"Sorry, the comment form is closed at this time.","Извините, обсуждение на данный момент закрыто."
"Close this window.","Закрыть окно."
"Sorry, no posts matched your criteria.","Извините, нет записей, удовлетворяющих вашим условиям."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Сайт работает на <a href=\"%s\" title=\"Сайт работает на WordPress &#8212; современной персональной платформе для публикаций\"><strong>WordPress</strong></a>"
"This post is password protected. Enter the password to view comments.","Эта запись защищена паролем. Введите пароль, чтобы посмотреть комментарии."
"One Response to %s","Один комментарий на &laquo;%s&raquo;"
"%s Responses to %s","%s комментария на &laquo;%s&raquo;"
"Comments are closed.","Комментарии запрещены."
"Logged in as <a href=\"%s\">%s</a>.","Вы вошли как <a href=\"%s\">%s</a>."
"Log out of this account","Выйти из этой учётной записи"
"Log out &raquo;","Выйти &raquo;"
"(required)","(обязательно)"
"Mail (will not be published)","E-mail (не публикуется)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Можно использовать эти теги: <code>%s</code>"
"Submit Comment","Отправить"
"%s is proudly powered by %s","Сайт &laquo;%s&raquo; работает на %s"
"%s and %s.","%s и %s."
"Entries (RSS)","Записи (RSS)"
"Comments (RSS)","комментарии (RSS)"
"%d queries. %s seconds.","%d запросов. %s секунд."
"You are currently browsing the archives for the %s category.","Вы просматриваете архив рубрики &laquo;%s&raquo;."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Вы просматриваете архив блога <a href=\"%s/\">&laquo;%s&raquo;</a> за день %s."
"l, F jS, Y","d.m.Y "
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Вы просматриваете архив блога <a href=\"%s/\">&laquo;%s&raquo;</a> за %s."
"F, Y","F Y "
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Вы просматриваете архив блога <a href=\"%s/\">&laquo;%s&raquo;</a> за %s год."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Вы искали <strong>&laquo;%s&raquo;</strong> в архиве блога <a href=\"%s/\">&laquo;%s&raquo;</a>. Если вам не удалось ничего найти в результатах поиска, можно попробовать одну из следующих ссылок."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Вы просматриваете архив блога <a href=\"%s/\">&laquo;%s&raquo;</a>."
"This page validates as XHTML 1.0 Transitional","Эта страница соответствует стандарту XHTML 1.0 Transitional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Правильный <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"XHTML Friends Network","Сеть друзей в XHTML"
"%d WordPress Update","%d обновление WordPress"
"%d Plugin Update","%d обновление плагина"
"%d Plugin Updates","%d обновления плагинов"
"%d Theme Update","%d обновление темы"
"%d Theme Updates","%d обновления тем"
"<strong>ERROR</strong>: The username field is empty.","<strong>ОШИБКА</strong>: Вы не ввели имя пользователя."
"<strong>ERROR</strong>: The password field is empty.","<strong>ОШИБКА</strong>: Вы не ввели пароль."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>ОШИБКА</strong>: Неверное имя пользователя. <a href=\"%s\" title=\"Восстановление пароля\">Потеряли пароль</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>ОШИБКА</strong>: Ваша учётная запись помечена как спамерская."
"Site Suspended.","Сайт заморожен."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>ОШИБКА</strong>: Введённый вами пароль пользователя <strong>%s</strong> неверен. <a href=\"%s\" title=\"Восстановление пароля\">Потеряли пароль</a>?"
"Please log in again.","Пожалуйста, войдите заново."
"Cannot create a user with an empty login name.","Нельзя создать пользователя с пустым логином."
"There are no options for this widget.","Этот виджет не имеет настроек."
"Sidebar %d","Боковая колонка %d"
"Sidebar","Боковая колонка"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Не удалось выбрать базу данных</h1>\n<p>Мы успешно подключились к серверу (это значит, что имя пользователя и пароль верны), но не смогли выбрать базу данных <code>%s</code>.</p>\n<ul>\n<li>Вы уверены, что она существует?</li>\n<li>Имеет ли пользователь <code>%s</code> права на использование базы данных <code>%s</code>?</li>\n<li>В некоторых системах имя базы данных дополняется именем пользователя в виде префикса, получается что-то вроде username_wordpress. Возможно, причина в этом?</li>\n</ul>\n<p>Если вы не знаете, как настроить доступ к базе данных, следует <strong>обратиться к хостинг-провайдеру</strong>. Если проблему так и не удалось решить &#8212; возможно, вам помогут на <a href=\"http://ru.forums.wordpress.org/\">форуме поддержки WordPress</a>.</p>"
"WordPress database error %s for query %s made by %s","База данных WordPress возвратила ошибку %s в ответ на запрос %s, выполненный %s"
"WordPress database error %s for query %s","База данных WordPress возвратила ошибку %s в ответ на запрос %s"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Ошибка установки соединения с базой данных</h1>\n<p>Это значит, что либо имя пользователя и пароль в файле <code>wp-config.php</code> неверны, либо нам не удалось связаться с сервером базы данных по адресу <code>%s</code>. Возможно, сервер недоступен.</p>\n<ul>\n\t<li>Вы уверены, что указали правильное имя пользователя и пароль?</li>\n\t<li>Вы уверены, что ввели правильное имя сервера?</li>\n\t<li>Вы уверены, что сервер базы данных запущен?</li>\n</ul>\n<p>Если вы не знаете, что означают эти термины &#8212; возможно, стоит обратиться к хостинг-провайдеру. Если и после этого вам понадобится помощь &#8212; всегда можно посетить <a href='http://ru.forums.wordpress.org/'>форум поддержки WordPress</a>.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>ОШИБКА</strong>: WordPress %s требует MySQL %s или выше"
"Links for %s","Ссылки сайта &laquo;%s&raquo;"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Кажется, файл <code>wp-config.php</code> отсутствует. Перед началом потребуется создать его."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Нужна помощь? <a href='http://codex.wordpress.org/Редактирование_wp-config.php'>Пожалуйста</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Можно создать файл <code>wp-config.php</code> через веб-интерфейс, но это работает не на всех серверах. Наиболее надёжный способ &#8212; создать файл вручную."
"Create a Configuration File","Создать файл настроек"
"Powered by WordPress","Сайт работает на WordPress"
"Are you lost?","Потерялись?"
"&larr; Back to %s","&larr; Назад к сайту &laquo;%s&raquo;"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>ОШИБКА</strong>: Введите имя пользователя или e-mail."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>ОШИБКА</strong>: Пользователей с таким адресом e-mail не зарегистрировано."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>ОШИБКА</strong>: Неверное имя пользователя или e-mail."
"Password reset is not allowed for this user","Сброс пароля для этого пользователя не разрешён"
"Someone requested that the password be reset for the following account:","Кто-то запросил сброс пароля для следующей учётной записи:"
"If this was a mistake, just ignore this email and nothing will happen.","Если произошла ошибка, просто проигнорируйте это письмо, и ничего не произойдёт."
"To reset your password, visit the following address:","Чтобы сбросить пароль, перейдите по следующей ссылке:"
"[%s] Password Reset","[%s] Новый пароль"
"The e-mail could not be sent.","Сообщение не удалось отправить."
"Possible reason: your host may have disabled the mail() function...","Возможная причина: сервер не поддерживает функцию mail()..."
"Invalid key","Неверный ключ"
"<strong>ERROR</strong>: Please enter a username.","<strong>ОШИБКА</strong>: Пожалуйста, введите имя пользователя."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>ОШИБКА</strong>: Это имя пользователя некорректно, поскольку оно содержит недопустимые символы. Пожалуйста, введите корректное имя пользователя."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>ОШИБКА</strong>: Это имя пользователя уже зарегистрировано. Пожалуйста, выберите другое."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>ОШИБКА</strong>: Пожалуйста, введите ваш адрес e-mail."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>ОШИБКА</strong>: Некорректный адрес e-mail."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>ОШИБКА</strong>: Этот e-mail уже зарегистрирован. Пожалуйста, введите другой."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>ОШИБКА</strong>: Регистрация не удалась. Пожалуйста, свяжитесь с <a href=\"mailto:%s\">администратором</a>!"
"Sorry, that key does not appear to be valid.","Извините, этот ключ неверен."
"Lost Password","Забыли пароль?"
"Please enter your username or email address. You will receive a link to create a new password via email.","Пожалуйста, введите ваше имя пользователя или e-mail. Вы получите письмо со ссылкой для создания нового пароля."
"Username or E-mail:","Имя пользователя или e-mail:"
"Get New Password","Получить новый пароль"
"The passwords do not match.","Пароли не совпадают."
"Password Reset","Сброс пароля"
"Your password has been reset.","Ваш новый пароль вступил в силу."
"Reset Password","Задать пароль"
"Enter your new password below.","Введите свой новый пароль."
"New password","Новый пароль"
"Confirm new password","Подтвердите новый пароль"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","Подсказка: Пароль должен состоять как минимум из семи символов. Чтобы сделать его надёжнее, используйте буквы верхнего и нижнего регистра, числа и символы наподобие ! \" ? $ %s ^ &amp; )."
"Registration Form","Регистрационная форма"
"Register For This Site","Зарегистрироваться на этом сайте"
"A password will be e-mailed to you.","Пароль будет отправлен вам на e-mail."
"Password Lost and Found","Восстановление пароля"
"Lost your password?","Забыли пароль?"
"You have logged in successfully.","Вы успешно вошли в систему."
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>ОШИБКА</strong>: Cookies либо заблокированы, либо не поддерживаются вашим браузером. Чтобы использовать WordPress, нужно <a href='http://www.google.com/cookies.html'>разрешить cookies</a>."
"You are now logged out.","Вы вышли из системы."
"User registration is currently not allowed.","В данный момент регистрация запрещена."
"Check your e-mail for the confirmation link.","Вам отправлено письмо со ссылкой для подтверждения."
"Check your e-mail for your new password.","Вам отправлено письмо с новым паролем."
"Registration complete. Please check your e-mail.","Регистрация завершена. Проверьте вашу почту."
"Your session has expired. Please log-in again.","Ваша сессия истекла. Пожалуйста, войдите заново."
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>Вы успешно обновили WordPress!</strong> Пожалуйста, войдите снова, чтобы ощутить все прелести."
"This action has been disabled by the administrator.","Это действие запрещено администратором."
"Slow down cowboy, no need to check for new mails so often!","Притормози, ковбой! Не нужно проверять почту так часто."
"There doesn&#8217;t seem to be any new mail.","Похоже, новых писем нет."
"Author is %s","Автор: %s"
"<strong>Author:</strong> %s","<strong>Автор:</strong> %s"
"<strong>Posted title:</strong> %s","<strong>Заголовок:</strong> %s"
"Oops: %s","Ой: %s"
"Mission complete. Message <strong>%s</strong> deleted.","Миссия выполнена. Сообщение <strong>%s</strong> удалено."
"Site Name:","Имя сайта:"
"Site Domain:","Домен сайта:"
"sitename","имя-сайта"
"domain","домен"
"Your address will be %s.","Вашим адресом будет %s."
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Не менее 4 символов, только буквы и цифры. Значение нельзя изменить позже, будьте внимательны!"
"Site Title:","Заголовок сайта:"
"Privacy:","Приватность:"
"Allow search engines to index this site.","Разрешить поисковым системам индексировать сайт."
"Yes","Да"
"No","Нет"
"(Must be at least 4 characters, letters and numbers only.)","(Не менее 4 символов, только буквы и цифры.)"
"Email&nbsp;Address:","Адрес&nbsp;e-mail:"
"We send your registration email to this address. (Double-check your email address before continuing.)","На этот адрес будет отправлено письмо для подтверждения. (Внимательно проверьте адрес e-mail, перед тем как продолжить.)"
"Get <em>another</em> %s site in seconds","Получите <em>ещё один</em> сайт в сети &laquo;%s&raquo; за считанные секунды"
"There was a problem, please correct the form below and try again.","Что-то не получилось. Пожалуйста, исправьте данные в этой форме и попробуйте ещё раз."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Добро пожаловать обратно, %s. Заполнив форму ниже, вы сможете <strong>добавить ещё один сайт к вашей учётной записи</strong>. Нет никаких ограничений на количество сайтов, которые у вас могут быть, так что создавайте по велению сердца, но к написанию подходите ответственно."
"Sites you are already a member of:","Сайты, участником которых вы являетесь:"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Если вы не собираетесь использовать отличный домен, оставьте его для новых пользователей. А теперь приступайте!"
"Create Site","Создать сайт"
"The site %s is yours.","Сайт &laquo;%s&raquo; &#8212; ваш."
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> &#8212; ваш новый сайт. <a href=\"%s\">Войдите</a> как &laquo;%s&raquo;, используя ваш пароль."
"Get your own %s account in seconds","Создайте учётную запись в сети &laquo;%s&raquo; за считанные секунды"
"Gimme a site!","Дайте мне сайт!"
"Just a username, please.","Только имя пользователя, пожалуйста."
"Next","Далее"
"%s is your new username","%s &#8212 ваше новое имя пользователя"
"But, before you can start using your new username, <strong>you must activate it</strong>.","Но прежде чем вы начнёте использовать своё новое имя пользователя, <strong>нужно его активировать</strong>."
"Check your inbox at <strong>%s</strong> and click the link given.","Проверьте почтовый ящик <strong>%s</strong> и перейдите по полученной ссылке."
"If you do not activate your username within two days, you will have to sign up again.","Если вы не активируете своё имя пользователя в течение двух дней, вам придётся регистрироваться заново."
"Signup","Зарегистрироваться"
"Congratulations! Your new site, %s, is almost ready.","Поздравляем! Ваш новый сайт, %s, почти готов."
"But, before you can start using your site, <strong>you must activate it</strong>.","Но прежде чем вы сможете пользоваться своим сайтом, <strong>нужно его активировать</strong>."
"If you do not activate your site within two days, you will have to sign up again.","Если вы не активируете ваш сайт в течение двух дней, вам придётся регистрироваться заново."
"Still waiting for your email?","Всё ещё ждёте письмо?"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Если вы ещё не получили письмо со ссылкой для активации, можно сделать несколько вещей:"
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","Подождите ещё немного. Иногда доставка электронного письма может задержаться по независящим от нас причинам."
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","Проверьте корзину или папку для спама в вашем почтовом клиенте. Иногда письма по ошибке оказываются там."
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Вы правильно указали свой e-mail? У нас он записан как %s, но если это неправильный адрес, письмо не придёт."
"all","все"
"none","нет"
"blog","блоги"
"user","пользователи"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","Приветствуем администратора сайта! Текущий режим регистрации: &laquo;%s&raquo;. Чтобы изменить его или запретить регистрацию, перейдите на <a href=\"%s\">страницу настроек</a>."
"Registration has been disabled.","Регистрация отключена."
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Вы должны <a href=\"%s\">авторизоваться</a>, чтобы создать новый сайт."
"User registration has been disabled.","Регистрация пользователей отключена."
"Site registration has been disabled.","Регистрация сайтов отключена."
"Sorry, new registrations are not allowed at this time.","Извините, в настоящий момент регистрация закрыта."
"You are logged in already. No need to register again!","Вы уже вошли на сайт. Нет нужды регистрироваться снова!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>Сайта, который вы ищете, <strong>%s</strong>, не существует. Но его можно создать прямо сейчас!</em></p>"
"This is somewhat embarrassing, isn&rsquo;t it?","Неприятная новость"
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","Запрошенную информацию найти не удалось. Возможно, будет полезен поиск по сайту."
"Daily Archives: %s","Архив за день: %s"
"Monthly Archives: %s","Архив за месяц: %s"
"Yearly Archives: %s","Архив за год: %s"
"Author Archives: %s","Архив автора: %s"
"About %s","Об авторе %s"
"Category Archives: %s","Архив рубрики: %s"
"One thought on &ldquo;%s&rdquo;","%s: Один комментарий"
"%s thoughts on &ldquo;%s&rdquo;","%s: %s комментария"
"Comment navigation","Навигация по комментариям"
"&larr; Older Comments","&larr; Предыдущие комментарии"
"Newer Comments &rarr;","Следующие комментарии &rarr;"
"Permalink to %s","Постоянная ссылка: %s"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Читать далее <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","Добавить комментарий"
"1 Reply","1 комментарий"
"%s Replies","Комментарии (%s)"
"Nothing Found","Ничего не найдено"
"Apologies, but no results were found. Perhaps searching will help find a related post.","Извините, результатов не найдено. Попробуйте найти нужную запись с помощью поиска."
"Featured post","Избранная запись"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","Посмотреть все записи автора %s <span class=\"meta-nav\">&rarr;</span>"
"Semantic Personal Publishing Platform","Современная персональная платформа для публикаций"
"Proudly powered by %s","Сайт работает на %s"
"Primary Menu","Основное меню"
"no-subset","cyrillic"
"Page %s","Страница %s"
"Main Sidebar","Главная боковая колонка"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","Отображается в записях и на страницах, за исключением главной страницы, имеющей свои собственные виджеты."
"First Front Page Widget Area","Первая область главной страницы"
"Appears when using the optional Front Page template with a page set as Static Front Page","Отображается, если в качестве главной выбрана статическая страница с соответствующим шаблоном."
"Second Front Page Widget Area","Вторая область главной страницы"
"Post navigation","Навигация по записям"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> Предыдущие записи"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","Следующие записи <span class=\"meta-nav\">&rarr;</span>"
"Pingback:","Уведомление:"
"Post author","Автор записи"
"View all posts by %s","Посмотреть все записи автора %s"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","Запись опубликована %s<span class=\"by-author\"> автором %s</span> в рубрике %s с метками %s."
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","Запись опубликована %s<span class=\"by-author\"> автором %s</span> в рубрике %s."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","Запись опубликована %s<span class=\"by-author\"> автором %s</span>."
"Menu","Меню"
"Skip to content","Перейти к содержимому"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">Опубликовано </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> с разрешением <a href=\"%s\" title=\"Ссылка на полноразмерное изображение\">%s &times; %s</a> в галерее <a href=\"%s\" title=\"Вернуться: %s\" rel=\"gallery\">%s</a>."
"&larr; Previous","&larr; Предыдущее"
"Next &rarr;","Следующее &rarr;"
"No posts to display","Нет записей для отображения"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","Готовы опубликовать свою первую запись? <a href=\"%s\">Начните отсюда</a>."
"Search Results for: %s","Результаты поиска: %s"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","Извините, по вашему запросу ничего не найдено. Попробуйте другие ключевые слова."
"Tag Archives: %s","Архив метки: %s"
"The 2012 theme for WordPress is a fully responsive theme that looks great on any device. Features include a front page template with its own widgets, an optional display font, styling for post formats on both index and single views, and an optional no-sidebar page template. Make it yours with a custom menu, header image, and background.","Тема 2012 для WordPress создана по принципам адаптивного дизайна и превосходно выглядит на любом устройстве. Она содержит шаблон главной страницы со своими собственными виджетами, дополнительный шрифт, стили для форматов записей, а также одноколоночный шаблон для страниц. Сделайте её своей, добавив произвольное меню, изображение заголовка и фон."
"the WordPress team","Команда WordPress"
"Front Page Template","Шаблон главной страницы"
