"New password","Yeni parola"
"Feed for all posts filed under %s","%s kategorisi altındaki tüm yazılar için besleme"
"Tags:","Etiketler:"
"A valid URL was not provided.","Geçerli bir adres sağlanmadı."
"User has blocked requests through HTTP.","Kullanıcı HTTP üzerinden gelen istekleri engellenmiş."
"Destination directory for file streaming does not exist or is not writable.","Dosya akışı için belirtilen hedef dizin yok ya da yazılabilir değil."
"There are no HTTP transports available which can complete the requested request.","İstenen isteği karşılayabilecek HTTP taşıyıcı olmadığı için istek tamamlanamıyor."
"Could not open handle for fopen() to %s","%s için fopen() tutucusu açılamadı"
"Too many redirects.","Çok fazla yönlendirme."
"Malformed URL: %s","Geçersiz URL: %s"
"No server specified","Sunucu belirtilmemiş"
"no login ID submitted","giriş numarası gönderilmedi"
"connection not established","bağlantı kurulamadı"
"No password submitted","Parola gönderilmedi"
"Authentication failed","Doğrulama başarısız"
"No connection to server","Sunucuya bağlantı yok"
"No login ID submitted","Giriş numarası gönderilmedi"
"No server banner","Sunucu bannerı yok"
"abort","iptal"
"apop authentication failed","apop doğrulaması başarısız"
"Premature end of list","Erken liste sonu"
"Empty command string","Boş komut dizisi"
"connection does not exist","bağlantı mevcut değil"
"No msg number submitted","Mesaj numarası gönderilmedi"
"Command failed","Komut başarısız"
"The menu ID should not be empty.","Menu NO boş olmamalıdır."
"Skip to toolbar","Araç çubuğuna atla"
"Top navigation toolbar.","Üst dolaşım araç çubuğu."
"&mdash; Select &mdash;","&mdash; Seç &mdash;"
"Default","Varsayılan"
"Hex Value","Hex değeri"
"Upload","Yükle"
"Remove","Kaldır"
"No Image","Görsel yok"
"Upload New","Yeni yükle"
"Uploaded","Yüklendi"
"Remove Image","Görseli kaldır"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Kullanmakta olduğunuz cihaz ile dosya yüklemek mümkün değil. Cihazınız için özel olarak hazırlanmış <a href=\"http://wordpress.org/extend/mobile/\">uygulama</a>ları kullanabilirsiniz."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Buraya bir dosya sürükleyip bırakın veya <a href=\"#\" class=\"upload\">bir dosya seçin</a>."
"Select File","Dosya seç"
"Background Image","Arka plan görseli"
"Header Image","Üst kısım görseli"
"Random Default Image","Rastgele varsayılan görsel"
"Random Uploaded Image","Rastgele yüklenmiş görsel"
"Site Title & Tagline","Site başlığı ve sloganı"
"Site Title","Site başlığı"
"Tagline","Slogan"
"Colors","Renkler"
"Display Header Text","Üst kısım metnini göster"
"Header Text Color","Başlık metin rengi"
"Background Color","Arka plan rengi"
"Background Repeat","Arka plan tekrar durumu"
"No Repeat","Tekrar yok"
"Tile","Döşe"
"Tile Horizontally","Yatay döşe"
"Tile Vertically","Dikey döşe"
"Background Position","Arka plan pozisyonu"
"Left","Sol"
"Center","Merkez"
"Right","Sağ"
"Background Attachment","Arka plan eki"
"Fixed","Sabit"
"Scroll","Kaydır"
"Navigation","Dolaşım"
"Your theme supports %s menu. Select which menu you would like to use.","Temanız %s menü destekliyor. Kullanmak istediğiniz menüyü seçin"
"Your theme supports %s menus. Select which menu appears in each location.","Temanız %s menü destekliyor. Her bir konum için kullanmak istediğiniz menüyü seçin"
"You can edit your menu content on the Menus screen in the Appearance section.","Görünüm başlığı altındaki Menü ekranından menü içeriğinizi düzenleyebilirsiniz."
"Static Front Page","Sabit ön sayfa"
"Your theme supports a static front page.","Temanız sabit ön sayfayı destekliyor."
"Front page displays","Ön sayfa görünümleri"
"Your latest posts","En son yazılarınız"
"A static page","Sabit bir sayfa"
"Front page","Ön sayfa"
"Posts page","Yazı sayfası"
"Text","Metin"
"Visual","Görsel"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","İngilizce=en,Danca=da,Flemenkçe=nl,Fince=fi,Fransızca=fr,Almaca=de,İtalyanca=it,Polonyaca=pl,Portekizce=pt,İspanyolca=es,İsveççe=sv"
"Update","Güncelle"
"Save","Kaydet"
"Exit fullscreen","Tam ekran modundan çık"
"Bold (Ctrl + B)","Kalın (Ctrl + B)"
"Italic (Ctrl + I)","Eğik (Ctrl + I)"
"Unordered list (Alt + Shift + U)","Sırasız liste (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","Sıralı liste (Alt + Shift + O)"
"Blockquote (Alt + Shift + Q)","Alıntı (Alt + Shift + Q)"
"Insert/edit image (Alt + Shift + M)","Görsel ekle/düzenle (Alt + Shift + M)"
"Insert/edit link (Alt + Shift + A)","Bağlantı ekle/düzenle (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","Bağlantıyı kaldır (Alt + Shift + S)"
"Help (Alt + Shift + H)","Yardım (Alt + Shift + H)"
"Updated.","Güncellendi."
"Saved.","Kaydedildi."
"Enter title here","Başlığı girin"
"Word count: %s","Kelime sayısı: %s"
"Just write.","Sadece yaz."
"Y/m/d","d.m.Y"
"Enter the destination URL","Varış adresini girin"
"Title","Başlık"
"Open link in a new window/tab","Bağlantıyı yeni pencerede/sekmede aç"
"Or link to existing content","ya da var olan içeriğe bağlantı verin"
"No search term specified. Showing recent items.","Arama kriteri belirtilmemiş. En güncel öğeler gösteriliyor."
"Add Link","Bağlantı Ekle"
"Cancel","Vazgeç"
"File doesn&#8217;t exist?","Dosya yok mu?"
"File is not an image.","Dosya bir görsel değil."
"Could not read image size.","Görsel boyutları okunamadı."
"Image resize failed.","Görsel boyutlandırma başarısız."
"Could not calculate resized image dimensions","Yeniden boyutlandırılan görselin boyutları hesaplanamadı"
"Image crop failed.","Görsel kırpma başarısız."
"Image rotate failed.","Görsel döndürme başarısız."
"Image flip failed.","Görsel çevirme başarısız."
"Image Editor Save Failed","Görsel düzenleyici kaydetme başarısız"
"Could not read image size","Görsel boyutları okunamadı"
"The theme directory does not exist.","Tema dizini mevcut değil"
"Stylesheet is missing.","Stil sayfası kayıp."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","HATA: tema klasörü boş ya da mevcut değil. Lütfen kurulumunuzu kontrol edin."
"Stylesheet is not readable.","Stil dosyası okunabilir değil."
"Template is missing.","Şablon kayıp."
"The parent theme is missing. Please install the \"%s\" parent theme.","Kök tema eksik. Lütfen \"%s\" kök temasını yükleyin."
"The \"%s\" theme is not a valid parent theme.","\"%s\" teması geçerli bir ebeveyn tema değil."
"Visit author homepage","Yazarın internet sitesini ziyaret et"
"Anonymous","Anonim"
",",", "
"XML-RPC services are disabled on this site.","XML-RPC servisleri bu site için kapalı."
"Incorrect username or password.","Geçersiz kullanıcı adı ya da parola."
"Software Name","Yazılım İsmi"
"Software Version","Yazılım Sürümü"
"Site URL","Site adresi"
"Home URL","Ana sayfa adresi"
"Image default link type","Varsayılan görsel bağlantı tipi"
"Image default size","Varsayılan görsel boyutu"
"Image default align","Varsayılan görsel hizalaması"
"Template","Şablon"
"Stylesheet","Stil dosyası"
"Post Thumbnail","Yazı öne çıkan görseli"
"Time Zone","Zaman Dilimi"
"Site Tagline","Site sloganı"
"Date Format","Tarih Biçimi"
"Time Format","Zaman Biçimi"
"Allow new users to sign up","Yeni kullanıcıların üye olabilmelerine izin ver"
"Thumbnail Width","Küçük görsel genişliği"
"Thumbnail Height","Küçük görsel yüksekliği"
"Crop thumbnail to exact dimensions","Küçük görseli belirlenen boyutlara göre kes"
"Medium size image width","Orta boyut görsel genişliği"
"Medium size image height","Orta büyüklükte görsel yüksekliği"
"Large size image width","Büyük boyutta görsel genişliği"
"Large size image height","Büyük boyut görsel yüksekliği"
"Allow people to post comments on new articles","Yeni yazılar üzerine yorum yapılmasına izin ver"
"Allow link notifications from other blogs (pingbacks and trackbacks)","Diğer bloglardan bağlantı bildirimi almaya izin ver (geri bildirim ve geri izlemeler)"
"Insufficient arguments passed to this XML-RPC method.","Bu XML-RPC metoduna yetersiz parametre geçildi."
"Invalid post type","Geçersiz yazı tipi"
"Invalid post ID.","Geçersiz yazı numarası."
"Sorry, you are not allowed to edit this post.","Üzgünüz, bu yazıyı düzenleme yetkiniz yok."
"The post type may not be changed.","Yazı tipi değiştiremeyebilir."
"Sorry, you are not allowed to post on this site.","Üzgünüz, bu sitede yazı yazmak için yetkiniz yok."
"Sorry, you are not allowed to create private posts in this post type","Üzgünüz, bu yazı tipinde özel yazı oluşturma yetkiniz yok"
"Sorry, you are not allowed to publish posts in this post type","Üzgünüz, bu yazı tipinde yazı yayınlama hakkınız yok"
"Sorry, you are not allowed to create password protected posts in this post type","Üzgünüz, bu yazı tipinde parola korumalı yazı oluşturma yetkiniz yok"
"You are not allowed to create posts as this user.","Bu kullanıcının adına yazı oluşturma yetkiniz yok."
"Invalid author ID.","Geçersiz yazar NO."
"Sorry, you cannot stick a private post.","Üzgünüz, özel bir yazıyı yapışkan yapamazsınız."
"Sorry, you are not allowed to stick this post.","Üzgünüz, bu yazıyı sabitleme yetkiniz yok."
"Invalid attachment ID.","Geçersiz ekli dosya numarası."
"Sorry, one of the given taxonomies is not supported by the post type.","Üzgünüz, belirtilen kategorilerden biri bu yazı tipi tarafından desteklenmiyor."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Üzgünüz, belirtilen kategorilerden biri için terim atama yetkiniz yok."
"Invalid term ID","Geçersiz terim NO'su"
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Hiyerarşik kategorilerde tekrarlayan isim kullanıldı. Lütfen terim no kullanın."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Üzgünüz, belirtilen kategorilerden birine terim ekleme yetkiniz yok."
"Sorry, your entry could not be posted. Something wrong happened.","Üzgünüz, yazınız gönderilemedi. Bir şeyler ters gitti."
"There is a revision of this post that is more recent.","Bu yazı için daha güncel bir sürüm mevcut."
"Sorry, you are not allowed to delete this post.","Üzgünüz, bu yazıyı silme yetkiniz yok."
"The post cannot be deleted.","Yazı silinemez."
"Sorry, you cannot edit this post.","Üzgünüz, bu yazıyı düzenleyemezsiniz."
"The post type specified is not valid","Belirtilen yazı tipi geçerli değil"
"Sorry, you are not allowed to edit posts in this post type","Üzgünüz, bu yazı tipindeki yazıları düzenleme yetkiniz yok."
"Invalid taxonomy","Geçersiz sınıflandırma"
"You are not allowed to create terms in this taxonomy.","Bu kategori içinde yeni terim oluşturma yetkiniz yok."
"The term name cannot be empty.","Terim ismi boş olamaz."
"This taxonomy is not hierarchical.","Kategori hiyerarşik değil."
"Parent term does not exist.","Ebeveyn terim bulunmuyor."
"Sorry, your term could not be created. Something wrong happened.","Üzgünüz, teriminiz oluşturulamadı. Yanlış bir şeyler oldu."
"You are not allowed to edit terms in this taxonomy.","Bu kategoride terim düzenleme yetkiniz yok."
"This taxonomy is not hierarchical so you can't set a parent.","Kategori hiyerarşik değil, dolayısıyla bir ebeveyn belirleyemezsiniz."
"Sorry, editing the term failed.","Üzgünüz, terim düzenleme başarısız oldu."
"You are not allowed to delete terms in this taxonomy.","Bu kategoride terim silme yetkiniz yok."
"Sorry, deleting the term failed.","Üzgünüz, terim silme başarısız oldu."
"You are not allowed to assign terms in this taxonomy.","Bu kategoride terim atama yetkiniz yok."
"Sorry, you cannot edit users.","Üzgünüm, kullanıcıları düzenleyemezsiniz."
"Invalid user ID","Geçersiz kullanıcı no"
"Sorry, you cannot list users.","Üzgünüm, kullanıcıları listeleyemezsiniz."
"The role specified is not valid","Belirtilen rol geçerli değil"
"Sorry, you cannot edit your profile.","Üzgünüm, profilinizi düzenleyemezsiniz."
"Sorry, the user cannot be updated.","Üzgünüm, kullanıcı güncellenemez."
"Sorry, you cannot edit this page.","Üzgünüz, bu sayfayı düzenleyemezsiniz."
"Sorry, no such page.","Üzgünüz, böyle bir sayfa yok."
"Sorry, you cannot edit pages.","Üzgünüz, sayfaları düzenleyemezsiniz."
"Sorry, you do not have the right to delete this page.","Üzgünüz, bu sayfayı silmek için yetkiniz yok."
"Failed to delete the page.","Sayfa silme başarısız oldu."
"Sorry, you do not have the right to edit this page.","Üzgünüz, bu sayfayı düzenlemek için yetkiniz yok."
"Sorry, you cannot edit posts on this site.","Üzgünüz, bu sitede yazıları düzenleyemezsiniz."
"Sorry, you must be able to edit posts on this site in order to view tags.","Üzgünüz, etiketleri görüntülemek için bu sitede yazıları düzenleme yetkinizin olması gerekiyor."
"Sorry, you do not have the right to add a category.","Üzgünüz, kategori eklemek için yetkiniz yok."
"Sorry, the new category failed.","Üzgünüz, yeni kategori oluşturma başarısız."
"Sorry, you do not have the right to delete a category.","Üzgünüz, kategori silmek için yetkiniz yok."
"Sorry, you must be able to edit posts to this site in order to view categories.","Üzgünüz, kategorileri görüntülemek için bu sitede yazıları düzenleme yetkinizin olması gerekiyor."
"You are not allowed to moderate comments on this site.","Bu sitedeki yorumları kontrol etme yetkiniz yok."
"Invalid comment ID.","Geçersiz yorum numarası."
"Sorry, you cannot edit comments.","Üzgünüz, yorumları düzenleyemezsiniz."
"Invalid comment status.","Geçersiz yorum durumu."
"Sorry, the comment could not be edited. Something wrong happened.","Üzgünüz, yazınız düzenlenemedi. Bir şeyler ters gitti."
"You must be registered to comment","Yorum yapmak için kayıtlı olmalısınız"
"Comment author name and email are required","Yorum yazarının ismi ve e-posta adresi gerekli"
"A valid email address is required","Geçerli bir e-posta adresi gerekli"
"You are not allowed access to details about this site.","Bu site hakkındaki detaylara erişme yetkiniz yok."
"You are not allowed access to details about comments.","Yorumlar hakkında ayrıntılara erişme izniniz yok."
"You are not allowed to update options.","Tercihleri güncellemek için izniniz yok."
"You do not have permission to upload files.","Dosya yüklemek için izniniz yok."
"Sorry, you are not allowed to edit this post type.","Üzgünüz, bu yazı tipini düzenleme yetkiniz yok."
"Invalid post ID","Geçersiz post no"
"Sorry, you are not allowed to edit posts.","Üzgünüm, yazı düzenlemenize izin verilmiyor."
"Sorry, revisions are disabled.","Üzgünüm, sürüm tutma etkin değil."
"Sorry, you do not have access to user data on this site.","Üzgünüz, bu sitede kullanıcı bilgisine erişmek için yetkiniz yok."
"Either there are no posts, or something went wrong.","Hiç yazı yok veya bir şeyler ters gitti."
"Sorry, that file cannot be edited.","Üzgünüz, bu dosya düzenlenemez."
"Sorry, no such post.","Üzgünüz, böyle bir yazı yok."
"Sorry, you do not have the right to edit this post.","Üzgünüz, bu yazıyı düzenlemek için yetkiniz yok."
"Sorry, you do not have the right to publish this post.","Üzgünüz, bu yazıyı yayınlamak için yetkiniz yok."
"For some strange yet very annoying reason, this post could not be edited.","Bilinmeyen bir sebepten dolayı bu yazı düzenlenemedi."
"Sorry, you do not have the right to delete this post.","Üzgünüz, bu yazıyı silmek için yetkiniz yok."
"For some strange yet very annoying reason, this post could not be deleted.","Bilinmeyen bir sebepten dolayı bu yazı silinemedi."
"Sorry, you are not allowed to publish pages on this site.","Üzgünüz, bu sitede sayfa yayınlamak için yetkiniz yok."
"Sorry, you are not allowed to publish posts on this site.","Üzgünüz, bu sitede yazı yayınlamak için yetkiniz yok."
"Invalid post format","Geçersiz yazı biçimi"
"You are not allowed to create pages as this user.","Bu kullanıcı ile sayfa oluşturmanıza izin verilmiyor."
"You are not allowed to change the post author as this user.","Bu kullanıcı olarak yazıların yazarlarını değiştirme izniniz yok."
"You are not allowed to change the page author as this user.","Bu kullanıcı olarak sayfaların yazarlarını değiştirme izniniz yok."
"Sorry, you do not have the right to publish this page.","Üzgünüz, bu sayfayı yayınlamak için yetkiniz yok."
"Sorry, your entry could not be edited. Something wrong happened.","Üzgünüz, yazınız düzenlenemedi. Bir şeyler ters gitti."
"Sorry, you must be able to edit posts on this site in order to view categories.","Üzgünüz, kategorileri görüntülemek için bu sitede yazıları düzenleme yetkinizin olması gerekiyor."
"Could not write file %s (%s)","Dosya yazılamıyor %s (%s)"
"Sorry, you can not edit this post.","Üzgünüz, bu yazıyı düzenleyemezsiniz."
"Sorry, you cannot publish this post.","Üzgünüm, bu yazıyı yayınlayamazsınız."
"Is there no link to us?","Bize hiç bağlantı veren yok mu?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","Belirlenen hedef URL, hedef olarak kullanılamaz. Ya öyle bir adres mevcut değildir, ya da ilgili adres pingback&#8217;lerin etkin olduğu bir kaynak değildir."
"The source URL and the target URL cannot both point to the same resource.","Kaynak URL ve hedef URL aynı kaynağı gösteremiyor."
"The pingback has already been registered.","Pingback zaten kayıtlı."
"The source URL does not exist.","Kaynak URL mevcut değil."
"We cannot find a title on that page.","Bu sayfada bir başlık bulunamadı."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","Kaynak URL, hedef URL'ye bir bağlantı içermiyor; bu yüzden kaynak olarak kullanılamıyor."
"Pingback from %s to %s registered. Keep the web talking! :-)","%s adresinden %s adresine gönderilen pingback kaydedildi."
"The specified target URL does not exist.","Belirlenmiş hedef URL mevcut değil."
"%s Comments","%s Yorum"
"No Comments","Yorum Yapılmamış"
"1 Comment","1 Yorum"
"Comment","Yorum"
"Trackback","Geri İzleme"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","Değerin basılmasını istemiyorsanız <code>get_trackback_url()</code> kullanın."
"Comments Off","Yorumlar Kapalı"
"Enter your password to view comments.","Yorumları görmek için parolanızı girin."
"Comment on %s","%s için yapılan yorumlar"
"Reply","Yanıtla"
"Log in to Reply","Cevaplamak için giriş yapın"
"Leave a Comment","Yorum Yapın"
"Log in to leave a Comment","Yorum yapmak için giriş yapın"
"Click here to cancel reply.","Cevabı iptal etmek için tıklayın."
"Leave a Reply","Bir Cevap Yazın"
"Leave a Reply to %s","%s için bir cevap yazın"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">diyor ki:</span>"
"Your comment is awaiting moderation.","Yorumunuz denetim için bekliyor."
"%s at %s","%s, %s"
"(Edit)","(Düzenle)"
"Email","E-posta"
"Website","İnternet sitesi"
"Required fields are marked %s","Gerekli alanlar %s ile işaretlenmişlerdir"
"You must be <a href=\"%s\">logged in</a> to post a comment.","Yorum yapabilmek için <a href=\"%s\">giriş yapmalısınız</a>."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","<a href=\"%s\">%s</a> olarak giriş yapılmış. <a href=\"%s\" title=\"Bu hesaptan çıkış yap?\">Çıkış?</a></p>"
"Your email address will not be published.","E-posta hesabınız yayınlanmayacak."
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","Şu <abbr title=\"HyperText Markup Language\">HTML</abbr> etiketlerini ve özelliklerini kullanabilirsiniz: %s"
"Cancel reply","Cevabı iptal et"
"Post Comment","Yorum gönder"
"Unapproved","Onaylanmamış"
"Approved","Onaylanmış"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","Tekrar edilen yorum bulundu; görünen o ki bu yorumu daha önceden zaten yapmışsınız!"
"You are posting comments too quickly. Slow down.","Çok hızlı yorum gönderiyorsunuz. Biraz yavaşlayın."
"Could not update comment status","Yorum durumu güncellenemiyor"
"This argument has changed to an array to match the behavior of the other cron functions.","Diğer zamanlı fonksiyonların davranışları ile örtüşmesi için argüman bir diziye çevrildi."
"Once Hourly","Saatte Bir"
"Twice Daily","Günde İki Kere"
"Once Daily","Günde Bir"
"Your site&#8217;s WordPress Pages","Blogunuzun WordPress sayfaları"
"Sort by:","Sırala:"
"Page title","Sayfa başlığı"
"Page order","Sayfa sıralaması"
"Page ID","Sayfa NO"
"Exclude:","Ayrı tut:"
"Page IDs, separated by commas.","Sayfa numaraları, virgüllerle ayrılmış."
"Your blogroll","Bağlantılarınız"
"Links","Bağlantılar"
"Select Link Category:","Bağlantı kategorisi seçin:"
"All Links","Tüm bağlantılar"
"Link title","Bağlantı başlığı"
"Link rating","Bağlantı puanı"
"Link ID","Bağlantı no"
"Random","Rastgele"
"Show Link Image","Bağlantı Resmini Göster"
"Show Link Name","Bağlantı İsmini Göster"
"Show Link Description","Bağlantı Açıklamasını Göster"
"Show Link Rating","Bağlantı Puanını Göster"
"Number of links to show:","Gösterilecek bağlantı sayısı:"
"A search form for your site","Blogunuz için bir arama formu"
"A monthly archive of your site&#8217;s posts","Sitenizin yazılarınının aylık arşivi"
"Archives","Arşiv"
"Select Month","Ay Seçin"
"Display as dropdown","Açılır menü olarak göster"
"Show post counts","Yazı sayılarını göster"
"Log in/out, admin, feed and WordPress links","Giriş, çıkış, yönetim, beslemeler ve WordPress bağlantıları"
"Syndicate this site using RSS 2.0","RSS 2.0 ile bu siteye abone olun"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","Yazılar <abbr title=\"Really Simple Syndication\">RSS</abbr>"
"The latest comments to all posts in RSS","Tüm yazılara yapılan son yorumlar (RSS biçiminde)"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","Yorumlar <abbr title=\"Really Simple Syndication\">RSS</abbr>"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","WordPress&#8217;in desteğiyle, kişisel yayın ortamı."
"A calendar of your site&#8217;s posts","Sitenizdeki yazılara ait takvim"
"Calendar","Takvim"
"Arbitrary text or HTML","İsteğe bağlı metin ya da HTML"
"Automatically add paragraphs","Otomatik paragraf ekle"
"A list or dropdown of categories","Liste ya da açılır menü şeklinde kategoriler"
"Select Category","Kategori Seçin"
"Show hierarchy","Hiyerarşiyi göster"
"The most recent posts on your site","Sitenizde yazılan en güncel yazılar"
"Recent Posts","Son Yazılar"
"Number of posts to show:","Gösterilecek yazı sayısı:"
"Display post date?","Yazı tarihi görüntülensin mi?"
"The most recent comments","En güncel yorumlar"
"Recent Comments","Son Yorumlar"
"%s on %s","%s için %s"
"Number of comments to show:","Gösterilecek yorum sayısı:"
"Entries from any RSS or Atom feed","Herhangi bir RSS ya da Atom beslemesindeki girdiler"
"Unknown Feed","Bilinmeyen Besleme"
"Syndicate this content","RSS ile içerikten haberdar ol"
"<strong>RSS Error</strong>: %s","<strong>RSS Hatası</strong>: %s"
"An error has occurred, which probably means the feed is down. Try again later.","Bir hata oluştu, beslemenin kapalı olduğu anlaşılıyor. Lütfen daha sonra tekrar deneyin."
"Untitled","Başlıksız"
"RSS Error: %s","RSS Hatası: %s"
"Enter the RSS feed URL here:","RSS beslemesinin URL adresini buraya girin:"
"Give the feed a title (optional):","Besleme başlığı girin (tercihe bağlı):"
"How many items would you like to display?","Kaç öğe görünmesini istiyorsunuz?"
"Display item content?","Nesne içeriğini göstersin mi?"
"Display item author if available?","Nesne yazarını mümkünse göstersin mi?"
"Display item date?","Nesne tarihini göstersin mi?"
"Your most used tags in cloud format","En güncel etiketlerinizden bir bulut"
"Tag Cloud","Etiket Bulutu"
"Taxonomy:","Etiketleme:"
"Use this widget to add one of your custom menus as a widget.","Bu bileşeni kullanarak özelleştirilmiş menülerinizden birini bileşen olarak ekleyin."
"Custom Menu","Özel menü"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","Henüz hiç menü oluşturulmamış. <a href=\"%s\">Bir tane oluşturun</a>."
"Select Menu:","Menü seçin:"
"new WordPress Loop","yeni WordPress Döngüsü"
"None","Hiçbiri"
"Last updated","Son güncellenme"
"Missing Attachment","Kayıp Dosya Eki"
"First Post","İlk yazı"
"Last Post","Son Yazı"
"Are you sure you want to do this?","Bunu yapmak istediğinizden emin misiniz?"
"File &#8220;%s&#8221; doesn&#8217;t exist?","Dosya &#8220;%s&#8221; mevcut değil mi?"
"The GD image library is not installed.","GD resim kütüphanesi kurulu değil."
"File &#8220;%s&#8221; is not an image.","Dosya &#8220;%s&#8221; bir resim değil."
"Comments on %s","%s üzerine yapılmış yorumlar"
"Comments for %s searching on %s","%s için yorumlar, %s üzerinde aranıyor"
"Comments for %s","%s için yorumlar"
"Comment on %s by %s","%s yazısına %s tarafından yapılan yorumlar"
"By: %s","Yazar: %s"
"Comments on: %s","%s yazısına yapılan yorumlar"
"Protected Comments: Please enter your password to view comments.","Parola korumalı yorumlar: Lütfen yorumları görmek için parolayı giriniz."
"%s min","%s dakika"
"%s mins","%s dakika"
"%s hour","%s saat"
"%s hours","%s saat"
"%s day","%s gün"
"%s days","%s gün"
"words","kelime"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","Girilen e-posta adresi geçerli bir e-posta adresi değil. Lütfen geçerli bir e-posta adresi girin"
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","Girmiş olduğunuz WordPress adresi geçerli bir web adresi değil. Lütfen geçerli bir web adresi girin."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","Girmiş olduğunuz site adresi geçerli bir web adresi değil. Lütfen geçerli bir web adresi girin."
"The timezone you have entered is not valid. Please select a valid timezone.","Girmiş olduğunuz zaman dilimi geçerli değil. Lütfen geçerli bir zaman dilimi seçin."
", and"," ve "
"and","ve"
"ERROR: %s is not a valid feed template.","HATA: %s geçerli bir besleme şablonu değil."
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","Bir ya da daha fazla veritabanı tablosu kötü durumda. Veritabanın <a href=\"%s\">tamir</a> edilmesi gerekiyor olabilir."
"Unable to create directory %s. Is its parent directory writable by the server?","%s dizini oluşturulamıyor. Bir üst dizin sunucu tarafından yazılabilir mi?"
"Empty filename","Boş dosya ismi"
"Invalid file type","Geçersiz dosya türü"
"Could not write file %s","Dosya yazılamıyor %s"
"WordPress Failure Notice","WordPress Hata Bildirimi"
"You are attempting to log out of %s","%s sisteminden çıkış yapıyorsunuz"
"Do you really want to <a href='%s'>log out</a>?","Gerçekten <a href='%s'>çıkış</a> yapmak istiyor musunuz?"
"Please try again.","Lütfen tekrar deneyin."
"&laquo; Back","&laquo; Geri"
"WordPress &rsaquo; Error","WordPress &rsaquo; Hata"
"Database Error","Veritabanı hatası"
"Error establishing a database connection","Veritabanı bağlantısı kurulurken hata oluştu"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","%s %s sürümünden beri<strong>kullanılmayacak</strong>! Yerine %s kullanın."
"%s is <strong>deprecated</strong> since version %s with no alternative available.","%s %s sürümünden beri<strong>kullanılmayacak</strong> ve şu an için alternatifi yok."
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","%s versionundan beri %s çağrıldığı parametre ile <strong>geçerliliğini yitirmiş</strong>! %s"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","%s versionundan beri %s çağrıldığı parametre ile <strong>geçerliliğini yitirmiş</strong> ve alternatifi yok!"
"(This message was added in version %s.)","(Bu mesaj %s sürümünde eklendi.)"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","Daha fazla bilgi için lütfen <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Hata ayıklama</a> belgesine bakınız."
"%s was called <strong>incorrectly</strong>. %s %s","%s <strong>hatalı</strong> çağırıldı. %s %s"
"Select a city","Şehir seçin"
"Manual Offsets","Manuel Ofsetler"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","Betikler ve stiller %s, %s, ya da %s kancalarından önce kayıt edilmemeli ya da sıraya alınmamalıdır."
"Search for:","Arama yap:"
"Log in","Giriş"
"Log out","Çıkış"
"Username","Kullanıcı adı"
"Password","Parola"
"Remember Me","Beni Hatırla"
"Log In","Giriş"
"Register","Kayıt Ol"
"Site Admin","Site Yönetimi"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","<code>%s</code> seçeneği <code>bloginfo()</code> fonksiyon ailesi için geçerliliğini yitirmiş."
"Use the <code>%s</code> option instead.","<code>%s</code> seçeneğini kullanın."
"Search Results %s %s","Arama Sonuçları %s %s"
"Page not found","Sayfa bulunamadı"
"View posts for %s %s","%s %s için yazıları göster"
"%s %s Feed","%s %s Beslemesi"
