"New password","Nuova password"
"Allow people to post comments on new articles","Consenti la scrittura di commenti per i nuovi articoli"
"Allow link notifications from other blogs (pingbacks and trackbacks)","Consenti notifica link da altri blog (pingback e trackback)."
"Insufficient arguments passed to this XML-RPC method.","Gli argomenti passati a questo metodo XML-RPC sono insufficienti"
"Invalid post type","Tipo di articolo non valido"
"Invalid post ID.","ID articolo non valido"
"Sorry, you are not allowed to edit this post.","Non disponi dei permessi sufficienti per modificare questo articolo."
"The post type may not be changed.","Il tipo di articolo non può essere modificato."
"Sorry, you are not allowed to post on this site.","Non si dispone del permesso per pubblicare articoli su questo sito."
"Sorry, you are not allowed to create private posts in this post type","Non disponi dei permessi per creare un articolo privato per questo tipo di articoli"
"Sorry, you are not allowed to publish posts in this post type","Non si dispone dei permessi per pubblicare articoli con questa tipologia di articolo"
"Sorry, you are not allowed to create password protected posts in this post type","Non disponi dei permessi per creare articoli protetti da password per questo tipo di articoli"
"You are not allowed to create posts as this user.","Non disponi dei permessi per creare articoli con questo utente."
"Invalid author ID.","ID autore non valido"
"Sorry, you cannot stick a private post.","Impossibile mettere in evidenza un articolo privato."
"Sorry, you are not allowed to stick this post.","Non disponi dei permessi per rendere questo articolo evidenziato."
"Invalid attachment ID.","ID allegato non valido."
"Sorry, one of the given taxonomies is not supported by the post type.","Una delle tassonomie non è supportata da questo tipo di articolo."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Non disponi dei permessi sufficienti per assegnare un termine a una delle tassanomie."
"Invalid term ID","ID termine non valido."
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Termine ambiguo utilizzato in una tassonomia gerarchica. Per favore utilizza la ID dei termine."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Non disponi dei permessi per aggiungere un termine a una delle tassonomie."
"Sorry, your entry could not be posted. Something wrong happened.","Non è possibile pubblicare questo intervento. &Eacute; successo qualcosa di strano ."
"There is a revision of this post that is more recent.","C'è una revisione di questo articolo che è più recente."
"Sorry, you are not allowed to delete this post.","Non disponi del permesso per eliminare questo articolo."
"The post cannot be deleted.","L'articolo non può essere eliminato."
"Sorry, you cannot edit this post.","Non è possibile modificare questo articolo."
"The post type specified is not valid","Il tipo di articolo specificato non è valido"
"Sorry, you are not allowed to edit posts in this post type","Non disponi dei permessi per modificare gli articoli di questo tipo"
"Invalid taxonomy","Tassonomia non valida"
"You are not allowed to create terms in this taxonomy.","Non disponi del permesso per creare termini in questa tassonomia."
"The term name cannot be empty.","Il termine non può essere vuoto."
"This taxonomy is not hierarchical.","Questa tassonomia non è gerarchica."
"Parent term does not exist.","Il termine genitore non esiste."
"Sorry, your term could not be created. Something wrong happened.","Il termine indicato non può essere creato. Si è verificato un problema."
"You are not allowed to edit terms in this taxonomy.","Non disponi del permesso per modificare i termini di questa tassonomia."
"This taxonomy is not hierarchical so you can't set a parent.","Questa tassonomia non è gerarchiaca quindi non è possibile impostare un genitore."
"Sorry, editing the term failed.","Modifica del termine fallita."
"You are not allowed to delete terms in this taxonomy.","Non disponi del permesso per cancellare termini da questa tassonomia"
"Sorry, deleting the term failed.","Cancellazione del termine fallita."
"You are not allowed to assign terms in this taxonomy.","Non disponi del permesso per assegnare un termine a questa tassonomia."
"Sorry, you cannot edit users.","Spiacente, non puoi modificare gli utenti."
"Invalid user ID","ID utente non valido"
"Sorry, you cannot list users.","Spiacente, non puoi elencare gli utenti."
"The role specified is not valid","Il ruolo specificato non è valido"
"Sorry, you cannot edit your profile.","Spiacente, non puoi modificare il tuo profilo."
"Sorry, the user cannot be updated.","Spiacente, l'utente non può essere aggiornato."
"Sorry, you cannot edit this page.","Non è possibile modificare questa pagina."
"Sorry, no such page.","Questa pagina non esiste."
"Sorry, you cannot edit pages.","Non è possibile modificare le pagine."
"Sorry, you do not have the right to delete this page.","Non non si dispone dei permessi per cancellare questa pagina."
"Failed to delete the page.","Impossibile cancellare la pagina."
"Sorry, you do not have the right to edit this page.","Non si dispone del permesso per modificare questa pagina."
"Sorry, you cannot edit posts on this site.","Non è possibile modificare gli articoli di questo sito."
"Sorry, you must be able to edit posts on this site in order to view tags.","Occorre avere la possibilità di modificare gli articoli di questo sito per poter visualizzare i tag."
"Sorry, you do not have the right to add a category.","Non si dispone dei permessi per aggiungere una categoria."
"Sorry, the new category failed.","L'inserimento di una nuova categoria non è riuscito."
"Sorry, you do not have the right to delete a category.","Non si dispone dei permessi per cancellare una categoria."
"Sorry, you must be able to edit posts to this site in order to view categories.","Occorre disporre della possibilità di modificare gli articoli di questo sito per poter visualizzare le categorie."
"You are not allowed to moderate comments on this site.","Non si dispone dei permessi sufficienti per moderare i commenti di questo sito."
"Invalid comment ID.","ID commento non valido."
"Sorry, you cannot edit comments.","Non è possibile modificare i commenti."
"Invalid comment status.","Stato del commento non valido."
"Sorry, the comment could not be edited. Something wrong happened.","Il commento non può venir modificato. &Egrave; accaduto qualche cosa di grave."
"You must be registered to comment","Occorre essere registrati per poter inviare commenti"
"Comment author name and email are required","Sono richiesti il nome e l'email dell'autore del commento"
"A valid email address is required","&Egrave richiesto un indirizzo email valido"
"You are not allowed access to details about this site.","Non si dispone del permesso per accedere ai dettagli riguardanti questo sito."
"You are not allowed access to details about comments.","Non si dispone del permesso per accedere ai dettagli riguardanti i commenti."
"You are not allowed to update options.","Non si dispone del permesso per aggiornare le Impostazioni."
"You do not have permission to upload files.","Non si dispone del permesso di caricare file."
"Sorry, you are not allowed to edit this post type.","Non disponi dei permessi per modificare questo tipo di articoli."
"Invalid post ID","ID articolo non valido"
"Sorry, you are not allowed to edit posts.","Spiacente, non si dispone del permesso per modificare gli articoli."
"Sorry, revisions are disabled.","Spiacente, le revisioni sono disabilitate."
"Sorry, you do not have access to user data on this site.","Non si dispone del permesso per accedere ai dati utente di questo sito."
"Either there are no posts, or something went wrong.","O non vi sono articoli o qualcosa è andato storto."
"Sorry, that file cannot be edited.","Questo file non può essere modificato."
"Sorry, no such post.","Questo articolo non esiste."
"Sorry, you do not have the right to edit this post.","Non si ha il permesso di modificare questo articolo."
"Sorry, you do not have the right to publish this post.","Spiacente, non si dispone dei permessi per pubblicare questo articolo."
"For some strange yet very annoying reason, this post could not be edited.","Per qualche strano motivo, non è possibile modificare questo articolo."
"Sorry, you do not have the right to delete this post.","Non si dispone dei permessi per cancellare questo articolo."
"For some strange yet very annoying reason, this post could not be deleted.","Per qualche strano motivo, non è possibile cancellare questo articolo."
"Sorry, you are not allowed to publish pages on this site.","Non si dispone del permesso per pubblicare pagine su questo sito."
"Sorry, you are not allowed to publish posts on this site.","non si dispone del permesso per pubblicare articoli su questo sito."
"Invalid post format","Formato articolo non valido"
"You are not allowed to create pages as this user.","Non hai il permesso di creare pagina con questo utente."
"You are not allowed to change the post author as this user.","Non si dispone del permesso permesso per cambiare l'autore dell'articolo con questo nome utente."
"You are not allowed to change the page author as this user.","Non si dispone del permesso per cambiare l'autore della pagina con questo nome utente."
"Sorry, you do not have the right to publish this page.","Non si dispone dei permessi per pubblicare questa pagina."
"Sorry, your entry could not be edited. Something wrong happened.","Questa voce non può essere modificata. Si è verificato un errore."
"Sorry, you must be able to edit posts on this site in order to view categories.","Occorre avere la possibilità di modificare gli articoli di questo sito per poter visualizzare le categorie."
"Could not write file %s (%s)","Impossibile scrivere il file %s (%s)"
"Sorry, you can not edit this post.","Spiacente, non è possibile modificare questo articolo."
"Sorry, you cannot publish this post.","Non è possibile pubblicare questo articolo."
"Is there no link to us?","Non ci sono link a noi?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","L'URL indicata non può essere usata come destinazione. O non esiste o non è una risorsa abilitata al pingback."
"The source URL and the target URL cannot both point to the same resource.","L'URL di partenza e l'URL d'arrivo non possono puntare alla stessa risorsa."
"The source URL does not exist.","L'URL sorgente non esiste."
"We cannot find a title on that page.","Non possiamo trovare un titolo in quella pagina."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","L'URL d'origine non contiene un link all'URL di destinazione e quindi non può essere utilizzato come origine."
"Pingback from %s to %s registered. Keep the web talking! :-)","Pingback da %s a %s registrato. Facciamo parlare il web! :-)"
"The specified target URL does not exist.","L''URL di destinazione specifica non esiste"
"%s Comments","%s commenti"
"No Comments","Nessun commento"
"1 Comment","1 commento"
"Comment","Commento"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","Utilizzare <code>get_trackback_url()</code> se invece non si desidera avere il valore visualizzato."
"Comments Off","Commenti disabilitati"
"Enter your password to view comments.","Inserisci la tua password per visualizzare i commenti."
"Comment on %s","Commenti a %s"
"Reply","Replica"
"Log in to Reply","Fare il login per rispondere"
"Leave a Comment","Lascia un commento"
"Log in to leave a Comment","Effettuare il login per lasciare un commento"
"Click here to cancel reply.","Fare clic qui per annullare la risposta."
"Leave a Reply","Lascia un Commento"
"Leave a Reply to %s","Rispondi a %s"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">scrive:</span>"
"Your comment is awaiting moderation.","Il commento è in attesa di moderazione."
"%s at %s","%s alle %s"
"(Edit)","(Modifica)"
"Website","Sito web"
"Required fields are marked %s","I campi obbligatori sono contrassegnati %s"
"You must be <a href=\"%s\">logged in</a> to post a comment.","Occorre aver fatto il <a href=\"%s\">login</a> per inviare un commento"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","Autenticato come <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Scollegarsi da questo account\">Logout?</a>"
"Your email address will not be published.","L'indirizzo email non verrà pubblicato."
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","&Egrave; possibile utilizzare questi tag ed attributi <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>: %s"
"Cancel reply","Annulla risposta"
"Post Comment","Commento all'articolo"
"Unapproved","Non approvato"
"Approved","Approvato"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","Identificato un commento duplicato; sembra che tu abbia già scritto questo commento!"
"You are posting comments too quickly. Slow down.","Stai scrivendo commenti troppo in fretta. Rallenta."
"Could not update comment status","Impossibile aggiornare lo stato del commento"
"This argument has changed to an array to match the behavior of the other cron functions.","Questo argomento è stato trasformato in un array per adattarsi al funzionamento di altre funzioni cron."
"Once Hourly","Ogni ora"
"Twice Daily","Due volte al giorno"
"Once Daily","Ogni giorno"
"Your site&#8217;s WordPress Pages","Le pagine di questo sito WordPress"
"Sort by:","Ordinato per:"
"Page title","Titolo della pagina"
"Page order","Ordine della pagina"
"Page ID","ID pagina"
"Exclude:","Escludi:"
"Page IDs, separated by commas.","ID pagina, separati da virgole."
"Your blogroll","Il blogroll"
"Links","Link"
"Select Link Category:","Seleziona Categoria Link:"
"All Links","Tutti i link"
"Link title","Titolo del link"
"Link rating","Punteggio link"
"Link ID","ID link"
"Random","Casuale"
"Show Link Image","Mostra immagine link"
"Show Link Name","Mostra nome link"
"Show Link Description","Mostra descrizione link"
"Show Link Rating","Mostra valutazione link"
"Number of links to show:","Numero di link da visualizzare:"
"A search form for your site","Un modulo di ricerca per questo sito"
"A monthly archive of your site&#8217;s posts","Un archivio mensile degli articoli di questo sito"
"Archives","Archivi"
"Select Month","Seleziona mese"
"Display as dropdown","Visualizza come menu a discesa"
"Show post counts","Mostra conteggio articoli"
"Log in/out, admin, feed and WordPress links","Link per il log in/out, l'amministrazione, i feed e WordPress"
"Syndicate this site using RSS 2.0","Abbonati a questo sito usando RSS 2.0"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","Voce <abbr title=\"Really Simple Syndication\">RSS</abbr>"
"The latest comments to all posts in RSS","Gli ultimi commenti di tutti gli articoli in formato RSS"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","<abbr title=\"Really Simple Syndication\">RSS</abbr> dei commenti"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","Funziona con Wordpress."
"A calendar of your site&#8217;s posts","Un archivio mensile degli articoli di questo sito"
"Calendar","Calendario"
"Arbitrary text or HTML","Testo o HTML libero"
"Automatically add paragraphs","Aggiungi automaticamente paragrafi"
"A list or dropdown of categories","Una lista o casella a discesa delle categorie"
"Select Category","Seleziona una categoria"
"Show hierarchy","Visualizza la gerarchia"
"The most recent posts on your site","Gli articoli più recenti di questo sito"
"Recent Posts","Articoli recenti"
"Number of posts to show:","Numero di articoli da visualizzare:"
"Display post date?","Mostrare la data dell'articolo?"
"The most recent comments","I commenti più recenti"
"Recent Comments","Commenti recenti"
"%s on %s","%s su %s"
"Number of comments to show:","Numero di commenti da visualizzare:"
"Entries from any RSS or Atom feed","Voci da qualsiasi feed RSS o Atom"
"Unknown Feed","Feed sconosciuto"
"Syndicate this content","Abbonati a questo contenuto"
"<strong>RSS Error</strong>: %s","<strong>Errore RSS</strong>: %s"
"An error has occurred, which probably means the feed is down. Try again later.","Si è verificato un errore; probabilmente il feed non è attivo. Riprovare più tardi.</li>"
"Untitled","Senza titolo"
"RSS Error: %s","Errore RSS %s"
"Enter the RSS feed URL here:","Inserire l'URL del feed RSS:"
"Give the feed a title (optional):","Dare un titolo al feed RSS (opzionale):"
"How many items would you like to display?","Quanti articoli visualizzare?"
"Display item content?","Visualizza il contenuto delle voci?"
"Display item author if available?","Visualizza autore delle voci se disponibile?"
"Display item date?","Visualizza data delle voci?"
"Your most used tags in cloud format","I tag maggiormente utilizzati in formato nuvola"
"Taxonomy:","Tassonomia:"
"Use this widget to add one of your custom menus as a widget.","Utilizzare questo widget per aggiungere uno dei menu personalizzati come se fosse un widget."
"Custom Menu","Menu personalizzato"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","Non è stato creato ancora alcun menu. <a href=\"%s\">Crearne uno</a>"
"Select Menu:","Selezionare il menu:"
"new WordPress Loop","nuovo WordPress Loop"
"None","Nessuna"
"Last updated","Ultimo aggiornamento"
"Missing Attachment","Allegato mancante"
"First Post","Primo articolo"
"Last Post","Ultimo articolo"
"Are you sure you want to do this?","Si è davvero sicuri di voler far questo?"
"File &#8220;%s&#8221; doesn&#8217;t exist?","Il file &#8220;%s&#8221; non esiste?"
"The GD image library is not installed.","La GD image library non è installata."
"File &#8220;%s&#8221; is not an image.","Il file &#8220;%s&#8221; non è una immagine."
"Comments on %s","Commenti a %s"
"Comments for %s searching on %s","Commenti per %s ricercati in %s"
"Comments for %s","Commenti per %s"
"Comment on %s by %s","Commenti su %s di %s"
"By: %s","Di: %s"
"Comments on: %s","Commenti a: %s"
"Protected Comments: Please enter your password to view comments.","Commenti protetti: inserisci la tua password per visualizzare i commenti."
"%s min","%s minuto"
"%s mins","%s minuti"
"%s hour","%s ora"
"%s hours","%s ore"
"%s day","%s giorno"
"%s days","%s giorni"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","L'indirizzo email inserito non sembra essere un indirizzo email valido. Per favore inserisci un indirizzo email valido."
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","L'indirizzo di WordPress inserito non sembra essere una URL valida. Per favore inserisci una URL valida."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","L'indirizzo del sito immesso non sembra essere una URL valida. Per favore inserisci una URL valida."
"The timezone you have entered is not valid. Please select a valid timezone.","Il fuso orario inserito non è valido. Per favore seleziona un fuso orario valido."
", and"," e "
"and"," e "
"ERROR: %s is not a valid feed template.","ERRORE: %s non è un modello di feed valido"
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","Una o più tabelle del database non sono disponibili. Il database potrebbe avere bisogno di essere <a href=\"%s\">riparato</a>."
"Unable to create directory %s. Is its parent directory writable by the server?","Impossibile creare la directory %s. Verifica che la directory madre sia scrivibile dal server!"
"Empty filename","Nome file vuoto"
"Invalid file type","Tipo di file non valido"
"Could not write file %s","Impossibile scrivere il file %s"
"WordPress Failure Notice","Avviso di errore WordPress"
"You are attempting to log out of %s","Si sta tentando di scollegarsi da %s"
"Do you really want to <a href='%s'>log out</a>?","Si desidera <a href='%s'>scollegarsi</a>?"
"Please try again.","Riprovare"
"&laquo; Back","&laquo; Indietro"
"WordPress &rsaquo; Error","WordPress &rsaquo; Errore"
"Database Error","Errore del database"
"Error establishing a database connection","Errore nello stabilire una connessione al database"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","%s è <strong>deprecata</strong> dalla versione %s! Utilizzare al suo posto %s."
"%s is <strong>deprecated</strong> since version %s with no alternative available.","%s è <strong>deprecata</strong> dalla versione %s senza alcuna alternativa disponibile."
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","%s è stato chiamato con un argomento <strong>deprecato</strong> dalla versione %s! %s."
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","%s è stao richiamato conun argomento che è <strong>deprecato</strong> dalla versione %s senza alcuna alternativa disponibile."
"(This message was added in version %s.)","(Questo messaggio è stato aggiunto nella versione %s.)"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","Per favore consulta <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Il debug in WordPress</a> (in inglese) per ulteriori informazioni."
"%s was called <strong>incorrectly</strong>. %s %s","%s è stato richiamato <strong>in maniera scorretta</strong>. %s %s"
"Select a city","Seleziona una città"
"Manual Offsets","Offset manuale"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","Gli script e gli stili non dovrebbero essere registrati o accodati prima degli hooks %s,%s, o %s."
"Search for:","Cerca:"
"Log in","Collegati"
"Log out","Esci da questo account"
"Username","Nome utente"
"Remember Me","Ricordami"
"Log In","Collegati"
"Register","Registrati"
"Site Admin","Amministra sito"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","L'opzione <code>%s</code> è deprecata per la famiglia delle funzioni di <code>bloginfo()</code>."
"Use the <code>%s</code> option instead.","Utilizzare la suo posto l'opzione <code>%s</code>."
"Search Results %s %s","Risultati della ricerca %s %s"
"Page not found","Pagina non trovata."
"%s %s","%s: %s"
"View posts for %s %s","Visualizza articoli di %s %s"
"%s %s Comments Feed","%s %s Feed dei commenti"
"%s %s %s Comments Feed","%s %s %s Feed dei commenti"
"%s %s %s Category Feed","%s %s %s Feed della categoria"
"%s %s %s Tag Feed","%s %s %s Feed del tag"
"%s %s Posts by %s Feed","%s %s Articoli per il feed %s"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s Risultati della ricerca per i feed di &#8220;%s&#8221;"
"&laquo; Previous","&laquo; Precedente"
"Next &raquo;","Successivo &raquo;"
"Blue","Blu"
"Gray","Grigio"
"Do you want to use the WYSIWYG mode for this textarea?","Si desidera utilizzare la modalità WYSIWYG per questa textarea?"
"Apply","Applica"
"Insert","Inserisci"
"Close","Chiudi"
"Browse","Scorri"
"Class","Classe"
"-- Not set --","-- Non impostato --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","Copia/Taglia/Incolla non sono disponibili in Mozilla e Firefox."
"Currently not supported by your browser, use keyboard shortcuts instead.","Attualmente non supportato dal vostro browser, utilizzare al suo posto le scorciatoie da tastiera"
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","Sembra che il blocco dei popup ha disabilitato una finestra che fornisce funzionalità a questa applicazione. Occorre disabilitare il blocco dei popup per questo sito per poter utilizzare questo strumento in maniera completa."
"ERROR: Invalid values entered, these are marked in red.","ERRORE: valori inseriti non validi, sono stati marcati in rosso."
"{#field} must be a number","{#field} deve essere un numero"
"{#field} must be a number greater than {#min}","{#campo} deve essere un numero maggiore di {#min}"
"{#field} must be a number or percentage","{#field} deve essere un numero o una percentuale"
"More colors","Altri colori"
"Black","Nero"
"Burnt orange","Arancione scuro"
"Dark olive","Verde oliva scuro"
"Dark green","Verde scuro"
"Dark azure","Azzurro scuro"
"Navy Blue","Blu navy"
"Indigo","Indaco"
"Very dark gray","Grigio scuro"
"Maroon","Marrone"
"Orange","Arancione"
"Olive","Verde oliva"
"Green","Verde"
"Teal","Anatra"
"Grayish blue","Grigio blu"
"Red","Rosso"
"Amber","Ambra"
"Yellow green","Giallo verde"
"Sea green","Verde mare"
"Turquoise","Turchese"
"Royal blue","Royal blu"
"Purple","Viola"
"Medium gray","Grigio medio"
"Gold","Oro"
"Yellow","Giallo"
"Lime","Giallo lime"
"Sky blue","Blu cielo"
"Brown","Marrone"
"Silver","Argento"
"Pink","Rosa"
"Peach","Pesca"
"Light yellow","Giallo chiaro"
"Pale green","Verde chiaro"
"Pale cyan","Ciano pallido"
"Light sky blue","Blu cielo chiaro"
"Plum","Prugna"
"White","Bianco"
"Alignment","Allineamento"
"Full","Completo"
"Insert date","Inserisci data"
"Insert time","Inserisci ora"
"January","gennaio"
"February","febbraio"
"March","marzo"
"April","aprile"
"May","maggio"
"June","giugno"
"July","luglio"
"August","agosto"
"September","settembre"
"October","ottobre"
"November","novembre"
"December","dicembre"
"Jan_January_abbreviation","gen"
"Feb_February_abbreviation","feb"
"Mar_March_abbreviation","mar"
"Apr_April_abbreviation","apr"
"May_May_abbreviation","mag"
"Jun_June_abbreviation","giu"
"Jul_July_abbreviation","lug"
"Aug_August_abbreviation","ago"
"Sep_September_abbreviation","set"
"Oct_October_abbreviation","ott"
"Nov_November_abbreviation","nov"
"Dec_December_abbreviation","dic"
"Sunday","domenica"
"Monday","lunedì"
"Tuesday","martedì"
"Wednesday","mercoledì"
"Thursday","giovedì"
"Friday","venerdì"
"Saturday","sabato"
"Sun","dom"
"Mon","lun"
"Tue","mar"
"Wed","mer"
"Thu","gio"
"Fri","ven"
"Sat","sab"
"Print","Stampa"
"Preview","Anteprima"
"Direction left to right","Direzione da sinistra a destra"
"Direction right to left","Direzione da destra a sinistra"
"Insert new layer","Inserisci nuovo livello"
"Move forward","Sposta in avanti"
"Move backward","Muovi dietro"
"Toggle absolute positioning","Attiva/Disattiva posizionamento assoluto"
"New layer...","Nuovo livello..."
"Cancel all changes","Annulla tutte le modifiche"
"Insert non-breaking space character","Inserire un carattere di spazio non divisibile"
"Run spell checking","Esegui controllo ortografico"
"ieSpell not detected. Do you want to install it now?","ieSpell non presente. Si desidera installarlo ora?"
"Horizontal rule","Righello orizzontale"
"Emotions","Emozioni"
"Find","Trova"
"Find/Replace","Trova/Sostituisci"
"Insert/edit image","Inserisci/Modifica immagine"
"Insert/edit link","Inserisci/Modifica link"
"Citation","Citazione"
"Abbreviation","Abbreviazione"
"Acronym","Acronimo"
"Deletion","Cancellazione"
"Insertion","Inserimento"
"Insert/Edit Attributes","Inserisci/Modifica attributi"
"Edit CSS Style","Modifica stile CSS"
"Paste as Plain Text","Incolla come Testo Puro"
"Paste from Word","Incolla da Word"
"Select All","Seleziona tutto"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Incolla è ora in modalità testo. Fare di nuovo clic per passare alla modalità incolla normale. Dopo aver incollato qualcosa si tornerà alla modalità incolla normale."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","La funzione Incolla è ora in modalità testo. Fare di nuovo clic per passare alla modalità incolla normale."
"Use CTRL+V on your keyboard to paste the text into the window.","Utilizza CTRL+V da tastiera per incollare il testo nella finestra."
"Keep linebreaks","Mantieni interruzioni di riga"
"Inserts a new table","Inserisci nuova tabella"
"Insert row before","Inserisci una riga prima"
"Insert row after","Inserisci una riga dopo"
"Delete row","Cancella riga"
"Insert column before","Inserisci una colonna prima"
"Insert column after","Inserisci una colonna dopo"
"Remove column","Rimuovi colonna"
"Split merged table cells","Separa le celle unite nella tabella"
"Merge table cells","Unisci celle tabella"
"Table row properties","Proprietà riga tabella"
"Table cell properties","Proprietà cella tabella"
"Table properties","Proprietà tabella"
"Paste table row before","Incolla riga tabella prima"
"Paste table row after","Incolla riga tabella dopo"
"Cut table row","Taglia riga tabella"
"Copy table row","Proprietà cella tabella"
"Delete table","Cancella tabella"
"Row","Riga"
"Column","Colonna"
"Cell","Cella"
"The changes you made will be lost if you navigate away from this page.","Se si abbandona questa pagina i cambiamenti effettuati verranno persi ."
"Toggle fullscreen mode (Alt + Shift + G)","Attiva/Disattiva la modalità a schermo intero (Alt + Shift + G)"
"Insert / edit embedded media","Inserisci/modifica media incorporati"
"Edit embedded media","Modifica media incorporati"
"Document properties","Proprietà documento"
"Insert predefined template content","Inserisci contenuto da template predefinito"
"Visual control characters on/off.","Caratteri di controllo visuali on/off."
"Toggle spellchecker (Alt + Shift + N)","Attiva/Disattiva il correttore ortografico (Alt + Maiusc + N)"
"Spellchecker settings","Impostazioni correttore ortografico"
"Ignore word","Ignora parola"
"Ignore all","Ignora tutto"
"Languages","Lingue"
"Please wait...","Attendi..."
"Suggestions","Suggerimenti"
"No suggestions","Nessun suggerimento"
"This is somewhat embarrassing, isn&rsquo;t it?","Questo è leggermente imbarazzante, non è vero?"
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","Sembra impossibile trovare quello che stavi cercando. Forse una ricerca specifica potrebbe aiutarti."
"Daily Archives: %s","Archivi giornalieri: %s"
"Monthly Archives: %s","Archivio mensile:%s"
"Yearly Archives: %s","Archivi annuali: %s"
"Author Archives: %s","Archivio dell'autore: %s"
"About %s","Informazioni su %s"
"Category Archives: %s","Archivio della categoria: %s"
"One thought on &ldquo;%s&rdquo;","Un pensiero su  &ldquo;%s&rdquo;"
"%s thoughts on &ldquo;%s&rdquo;","%s pensieri su &ldquo;%s&rdquo;"
"Comment navigation","Navigazione commenti"
"&larr; Older Comments","&larr; Commenti meno recenti"
"Newer Comments &rarr;","Commenti più recenti &rarr;"
"Permalink to %s","Permalink a %s"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Continua a leggere <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","Lascia una risposta"
"1 Reply","1 Replica"
"%s Replies","%s Repliche"
"Nothing Found","Nessun risultato"
"Apologies, but no results were found. Perhaps searching will help find a related post.","Ci spiace, ma non è stato trovato alcun risultato. Forse una ricerca potrebbe aiutarti a trovare un articolo correlato."
"Featured post","Articolo in evidenza"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","Visualizza tutti gli articoli di %s <span class=\"meta-nav\">&rarr;</span>"
"Semantic Personal Publishing Platform","Piattaforma semantica di editoria personale "
"Proudly powered by %s","Utilizza %s"
"Primary Menu","Menu principale"
"Page %s","Pagina %s"
"Main Sidebar","Barra laterale principale"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","Appare negli articoli e nelle pagine ad eccezione del template della Pagina principale che ha i propri widget"
"First Front Page Widget Area","Prima area widget pagina iniziale"
"Appears when using the optional Front Page template with a page set as Static Front Page","Sembra che tu stia usando il template di Pagina iniziale opzionale con una pagina impostata come Pagina statica inziale"
"Second Front Page Widget Area","Seconda area widget pagina iniziale"
"Post navigation","Navigazione articolo"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> Articoli più vecchi"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","Articoli più recenti <span class=\"meta-nav\">&rarr;</span>"
"Post author","Autore articolo"
"View all posts by %s","Visualizza tutti gli articoli di %s"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","Questo articolo è stato pubblicato in %s e taggato come %s il %s<span class=\"by-author\"> da %s</span>"
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","Questo articolo è stato pubblicato in %s il %s<span class=\"by-author\"> da %s</span>."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","Questo articolo &egrave; stato pubblicato il %s<span class=\"by-author\"> da %s</span>."
"Skip to content","Vai al contenuto"
