"New password","Nytt lösenord"
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Du saknar behörighet för att lägga till termer till en av de angivna taxonomierna."
"Invalid term ID","Ogiltigt term-ID"
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Mångtydigt termnamn används i en hierarkisk taxonomi. Använd term-ID istället."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Du saknar behörighet för att lägga till en term i en av angivna taxonomier."
"Sorry, your entry could not be posted. Something wrong happened.","Tyvärr, ditt inlägg kunde inte publiceras. Ett fel uppstod."
"There is a revision of this post that is more recent.","Det finns en version av det här inlägget som är nyare."
"Sorry, you are not allowed to delete this post.","Du saknar behörighet för att radera detta inlägg."
"The post cannot be deleted.","Inlägget kan inte raderas."
"Sorry, you cannot edit this post.","Tyvärr, du kan inte redigera det här inlägget."
"The post type specified is not valid","Posttypen specificerad är ogiltig."
"Sorry, you are not allowed to edit posts in this post type","Du saknar behörighet för att redigera inlägg för denna posttyp"
"Invalid taxonomy","Ogiltig taxonomi"
"You are not allowed to create terms in this taxonomy.","Du har inte behörighet att skapa termer i denna taxonomi."
"The term name cannot be empty.","Namn för term kan inte lämnas tomt."
"This taxonomy is not hierarchical.","Denna taxonomi är inte hierarkisk."
"Parent term does not exist.","Termförälder existerar inte."
"Sorry, your term could not be created. Something wrong happened.","Din term kunde inte skapas. Ett fel uppstod."
"You are not allowed to edit terms in this taxonomy.","Du har inte behörighet att redigera termer i denna taxonomi."
"This taxonomy is not hierarchical so you can't set a parent.","Denna taxonomi är inte hierarkisk, du kan inte ange en förälder."
"Sorry, editing the term failed.","Redigering av termen misslyckades."
"You are not allowed to delete terms in this taxonomy.","Du har inte behörighet att radera termer i denna taxonomi."
"Sorry, deleting the term failed.","Radering av termen misslyckades."
"You are not allowed to assign terms in this taxonomy.","Du har inte behörighet att lägga till termer i denna taxonomi."
"Sorry, you cannot edit users.","Du kan inte redigera användare."
"Invalid user ID","Ogiltigt användar-ID"
"Sorry, you cannot list users.","Du kan inte visa denna användare."
"The role specified is not valid","Rollen som specificerats är ogiltig."
"Sorry, you cannot edit your profile.","Du kan inte redigera din profil."
"Sorry, the user cannot be updated.","Användaren kan inte uppdateras."
"Sorry, you cannot edit this page.","Tyvärr, du kan inte redigera den här sidan."
"Sorry, no such page.","Tyvärr, ingen sådan sida."
"Sorry, you cannot edit pages.","Tyvärr, du kan inte redigera sidor."
"Sorry, you do not have the right to delete this page.","Beklagar, men du saknar rättigheter för att radera den här sidan."
"Failed to delete the page.","Kunde inte radera sidan."
"Sorry, you do not have the right to edit this page.","Beklagar, men du saknar rättigheter för att redigera den här sidan."
"Sorry, you cannot edit posts on this site.","Du kan inte redigera inlägg på den här webbplatsen."
"Sorry, you must be able to edit posts on this site in order to view tags.","Du måste ha behörighet att redigera inlägg på webbplatsen för att kunna visa etiketter."
"Sorry, you do not have the right to add a category.","Tyvärr, du saknar rättigheter för att lägga till kategorier."
"Sorry, the new category failed.","Tyvärr, den nya kategorin misslyckades."
"Sorry, you do not have the right to delete a category.","Tyvärr, du saknar rättigheter för att radera en kategori."
"Sorry, you must be able to edit posts to this site in order to view categories.","Du måste ha behörighet att redigera inlägg på webbplatsen för att kunna visa kategorier."
"You are not allowed to moderate comments on this site.","Du har inte tillräcklig behörighet för att moderera kommentarer på den här webbplatsen."
"Invalid comment ID.","Ogiltigt kommentars-ID."
"Sorry, you cannot edit comments.","Tyvärr, du kan inte redigera kommentarer."
"Invalid comment status.","Ogiltig kommentarsstatus"
"Sorry, the comment could not be edited. Something wrong happened.","Tyvärr, kommentaren kunde inte redigeras. Något gick fel."
"You must be registered to comment","Du måste vara inloggad för att kommentera"
"Comment author name and email are required","Kommentarförfattarens namn och e-postadress är obligatoriska"
"A valid email address is required","En riktig e-postadress krävs"
"You are not allowed access to details about this site.","Du har inte tillräcklig behörighet för att visa detaljer om den här webbplatsen."
"You are not allowed access to details about comments.","Du saknar rättigheter för att visa detaljer om kommentarer."
"You are not allowed to update options.","Du saknar rättigheter för att uppdatera inställningar."
"You do not have permission to upload files.","Du har inte tillräcklig behörighet för att ladda upp filer."
"Sorry, you are not allowed to edit this post type.","Du saknar behörighet för att redigera denna inläggstyp."
"Invalid post ID","Ogiltigt inläggs-ID"
"Sorry, you are not allowed to edit posts.","Du saknar behörighet för att kunna redigera inlägg."
"Sorry, revisions are disabled.","Versionshanteringen är inaktiverad."
"Sorry, you do not have access to user data on this site.","Du har inte tillräcklig behörighet för att visa användardata på den här webbplatsen."
"Either there are no posts, or something went wrong.","Antingen finns det inga inlägg eller så gick något fel."
"Sorry, that file cannot be edited.","Ledsen, den filen kan inte redigeras."
"Sorry, no such post.","Beklagar, hittar inget sådant inlägg."
"Sorry, you do not have the right to edit this post.","Tyvärr, du saknar rättigheter för att redigera det här inlägget."
"Sorry, you do not have the right to publish this post.","Beklagar, men du saknar rättigheter för att publicera det här inlägget."
"For some strange yet very annoying reason, this post could not be edited.","Av någon märklig men mycket irriterande orsak kan det här inlägget inte redigeras."
"Sorry, you do not have the right to delete this post.","Tyvärr, du saknar rättigheter för att radera det här inlägget."
"For some strange yet very annoying reason, this post could not be deleted.","Av någon märklig men mycket irriterande orsak kan det här inlägget inte raderas."
"Sorry, you are not allowed to publish pages on this site.","Du har inte tillräcklig behörighet för att publicera sidor på den här webbplatsen."
"Sorry, you are not allowed to publish posts on this site.","Du har inte tillräcklig behörighet för att publicera inlägg på den här webbplatsen."
"Invalid post format","Ogiltigt inläggsformat"
"You are not allowed to create pages as this user.","Du saknar behörighet för att kunna skapa sidor som denna användare."
"You are not allowed to change the post author as this user.","Du saknar rättigheter för att ändra inläggets författare som den här användaren."
"You are not allowed to change the page author as this user.","Du saknar rättigheter för att ändra sidans författare som den här användaren."
"Sorry, you do not have the right to publish this page.","Beklagar, men du saknar rättigheter för att publicera den här sidan."
"Sorry, your entry could not be edited. Something wrong happened.","Beklagar, ditt inslag kunde inte redigeras. Ett fel uppstod."
"Sorry, you must be able to edit posts on this site in order to view categories.","Du måste ha behörighet att redigera inlägg på webbplatsen för att kunna visa kategorier."
"Could not write file %s (%s)","Kunde inte skriva till filen %s (%s)"
"Sorry, you can not edit this post.","Beklagar, men du saknar rättigheter för att redigera det här inlägget."
"Sorry, you cannot publish this post.","Du kan inte publicera det här inlägget."
"Is there no link to us?","Finns det ingen länk till oss?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","Mål-URLen du angav kan inte användas. Antingen finns det ingenting på den adressen eller så stöder resursen inte pingar."
"The source URL and the target URL cannot both point to the same resource.","Käll-URLen och mål-URLen kan inte peka på samma resurs."
"The pingback has already been registered.","Pingbacken har redan registrerats."
"The source URL does not exist.","Den önskade URL:n finns inte."
"We cannot find a title on that page.","Vi hittar ingen titel på den sidan."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","Käll-URLen innehåller ingen länk till mål-URLen och kan därför inte användas som källa."
"Pingback from %s to %s registered. Keep the web talking! :-)","Pingback från %s till %s har registrerats. Låt webben tala! :-)"
"The specified target URL does not exist.","Den önskade mål-URL:n finns inte."
"%s Comments","%s kommentarer"
"No Comments","Inga kommentarer"
"1 Comment","1 kommentar"
"Comment","Kommentar"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","Använd <code>get_trackback_url()</code> istället om du inte vill eka värdet."
"Comments Off","Kommentering avstängd"
"Enter your password to view comments.","Ange ditt lösenord för att visa kommentarerna."
"Comment on %s","Kommentera %s"
"Reply","Svara"
"Log in to Reply","Logga in för att svara"
"Leave a Comment","Kommentera"
"Log in to leave a Comment","Logga in för att lämna en kommentar"
"Click here to cancel reply.","Klicka här för att avbryta svar."
"Leave a Reply","Kommentera"
"Leave a Reply to %s","Lämna ett svar till %s"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">skriver:</span>"
"Your comment is awaiting moderation.","Din kommentar inväntar granskning."
"%s at %s","%s kl. %s"
"(Edit)","(Redigera)"
"Email","E-post"
"Website","Webbplats"
"Required fields are marked %s","Obligatoriska fält är märkta %s"
"You must be <a href=\"%s\">logged in</a> to post a comment.","Du måste vara <a href=\"%s\">inloggad</a> för att skriva en kommentar."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","Inloggad som <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Logga ut från det här kontot\">Logga ut?</a>"
"Your email address will not be published.","E-postadressen publiceras inte."
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","Följande <abbr title=\"HyperText Markup Language\">HTML</abbr>-taggar och attribut är tillåtna: %s"
"Cancel reply","Avbryt svar"
"Post Comment","Skicka kommentar"
"Unapproved","Förkastad"
"Approved","Godkänd"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","Hittade en likadan kommentar; det verkar som om du redan hade sagt det här!"
"You are posting comments too quickly. Slow down.","Du postar kommentarer för snabbt. Ta det lugnt."
"Could not update comment status","Kunde inte uppdatera kommentarsstatus"
"This argument has changed to an array to match the behavior of the other cron functions.","Det här argumentet har ändrats till en array för att matcha beteendet hos övriga cron-funktioner."
"Once Hourly","En gång i timmen"
"Twice Daily","Två gånger dagligen"
"Once Daily","Dagligen"
"Your site&#8217;s WordPress Pages","Listar din webbplats WordPress-sidor"
"Sort by:","Sortera enligt:"
"Page title","Sidans titel"
"Page order","Sidordning"
"Page ID","Sid ID"
"Exclude:","Uteslut:"
"Page IDs, separated by commas.","Sid IDn, separerade med kommatecken."
"Your blogroll","Din länklista"
"Links","Länkar"
"Select Link Category:","Välj länkkategori:"
"All Links","Alla länkar"
"Link title","Länktitel"
"Link rating","Länkbetyg"
"Link ID","Länk-ID"
"Random","Slumpvis"
"Show Link Image","Visa länkbild"
"Show Link Name","Visa länknamn"
"Show Link Description","Visa länkbeskrivning"
"Show Link Rating","Visa länkomdöme"
"Number of links to show:","Antal länkar att visa:"
"A search form for your site","Ett sökformulär för din webbplats"
"A monthly archive of your site&#8217;s posts","Ett arkiv som visar dina webbplatsinlägg månadsvis"
"Archives","Arkiv"
"Select Month","Välj månad"
"Display as dropdown","Visa som dropdown"
"Show post counts","Visa inläggsräknare"
"Log in/out, admin, feed and WordPress links","Logga in/ut, admin, flöden och WordPresslänkar"
"Syndicate this site using RSS 2.0","Prenumerera på den här webbplatsen via RSS 2.0"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","Inlägg via <abbr title=\"Really Simple Syndication\">RSS</abbr>"
"The latest comments to all posts in RSS","De senaste kommentarerna till alla inlägg via RSS"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","Kommentarer via <abbr title=\"Really Simple Syndication\">RSS</abbr>"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","Drivs med WordPress, en toppmodern, semantisk publiceringsplattform."
"A calendar of your site&#8217;s posts","En kalender med din webbplats inlägg"
"Calendar","Kalender"
"Arbitrary text or HTML","Godtycklig text eller HTML"
"Automatically add paragraphs","Lägg till styckesindelning automatiskt."
"A list or dropdown of categories","En lista eller dropdown-meny med kategorier"
"Select Category","Välj kategori"
"Show hierarchy","Visa hierarki"
"The most recent posts on your site","Senaste inläggen på din webbplats"
"Recent Posts","Senaste inläggen"
"Number of posts to show:","Antal inlägg att visa:"
"Display post date?","Visa inläggsdatum?"
"The most recent comments","Senaste kommentarerna"
"Recent Comments","Senaste kommentarer"
"%s on %s","%s om %s"
"Number of comments to show:","Antal kommentarer att visa:"
"Entries from any RSS or Atom feed","Poster från valfritt RSS eller Atom-flöde"
"Unknown Feed","Okänt flöde"
"Syndicate this content","Syndikera innehållet"
"<strong>RSS Error</strong>: %s","<strong>RSS Fel</strong>: %s"
"An error has occurred, which probably means the feed is down. Try again later.","Ett fel har uppstått, vilket troligen innebär att flödet är nere. Försök på nytt senare."
"Untitled","Utan titel"
"RSS Error: %s","RSS-fel: %s"
"Enter the RSS feed URL here:","Ange RSS-flödets URL här:"
"Give the feed a title (optional):","Ge flödet en titel (frivilligt):"
"How many items would you like to display?","Hur många inslag vill du visa?"
"Display item content?","Visa postens innehåll?"
"Display item author if available?","Visa författare om tillgängligt?"
"Display item date?","Visa postens datum?"
"Your most used tags in cloud format","Dina mesta använda etiketter i molnformat"
"Tag Cloud","Etikettmoln"
"Taxonomy:","Taxonomi:"
"Use this widget to add one of your custom menus as a widget.","Använd denna widget för att lägga till en av dina anpassade menyer i ett widgetfält."
"Custom Menu","Anpassad meny"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","Inga menyer har skapats än.  <a href=\"%s\">Skapa ny</a>."
"Select Menu:","Välj meny:"
"new WordPress Loop","Ny WordPress-loop"
"None","Inget"
"Last updated","Senast uppdaterat"
"Missing Attachment","Bilaga saknas"
"First Post","Första inlägget"
"Last Post","Sista inlägget"
"Are you sure you want to do this?","Är du säker på att du vill göra det här?"
"File &#8220;%s&#8221; doesn&#8217;t exist?","Saknas filen &#8221;%s&#8221;?"
"The GD image library is not installed.","GD-grafikbiblioteket är inte installerat."
"File &#8220;%s&#8221; is not an image.","Filen &#8221;%s&#8221; är inte en bild."
"Comments on %s","Kommentarer till %s"
"Comments for %s searching on %s","Kommentarer till %s sökt på %s"
"Comments for %s","Kommentarer till %s"
"Comment on %s by %s","Kommentarer till %s av %s"
"By: %s","Av: %s"
"Comments on: %s","Kommentarer till %s"
"Protected Comments: Please enter your password to view comments.","Lösenordsskyddade kommentarer: ange ditt lösenord för att visa kommentarerna."
"&#8220;","&#8221;"
"%s min","%s minut"
"%s mins","%s minuter"
"%s hour","%s timme"
"%s hours","%s timmar"
"%s day","%s dag"
"%s days","%s dagar"
"words","ord"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","E-postadressen angiven verkar inte vara en giltig e-postadress. Var vänlig ange en giltig adress."
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","WordPressadressen angiven verkar inte vara en giltig URL. Var vänlig ange en giltig URL."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","Webbplatsadressen angiven verkar inte vara en giltig URL. Var vänlig ange en giltig URL."
"The timezone you have entered is not valid. Please select a valid timezone.","Tidszonen du har angett är inte giltigt. Välj en giltig tidszon."
", and"," och "
"and"," och "
"ERROR: %s is not a valid feed template.","FEL: %s är inte en giltig flödesmall."
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","En eller flera databastabeller är otillgängliga. Databasen kan behöva <a href=\"%s\">repareras</a>."
"Unable to create directory %s. Is its parent directory writable by the server?","Kan inte skapa katalogen %s. Har servern skrivrättigheter till moderkatalogen?"
"Empty filename","Tomt filnamn"
"Invalid file type","Ogiltig filtyp"
"Could not write file %s","Kunde inte skriva till filen %s"
"WordPress Failure Notice","WordPress felmeddelande"
"You are attempting to log out of %s","Du försöker att logga ut ifrån %s"
"Do you really want to <a href='%s'>log out</a>?","Vill du verkligen <a href='%s'>logga ut</a>?"
"Please try again.","Var vänlig försök igen."
"&laquo; Back","&laquo; Tillbaka"
"WordPress &rsaquo; Error","WordPress &rsaquo; Fel"
"Database Error","Databasfel"
"Error establishing a database connection","Ett fel uppstod vid anslutning till databasen"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","%s har <strong>upphört</strong> sedan version %s! Använd %s istället."
"%s is <strong>deprecated</strong> since version %s with no alternative available.","%s har <strong>upphört</strong> sedan version %s utan alternativ tillgängliga."
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","%s kallades med ett argument som har <strong>upphört</strong> sedan version %s! %s"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","%s kallades med ett argument som har <strong>upphört</strong> sedan version %s utan alternativ tillgängliga."
"(This message was added in version %s.)","(Detta meddelande lades till i version %s.)"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","Se <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Felsökning i WordPress</a> för mer information."
"%s was called <strong>incorrectly</strong>. %s %s","%s kallades <strong>felaktigt</strong>. %s %s"
"Select a city","Välj en stad"
"Manual Offsets","Manuella kompensationer"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","Skript och stilmallar bör inte registreras eller laddade förrän hooksen %s, %s, eller %s."
"Search for:","Sök efter:"
"Log in","Logga in"
"Log out","Logga ut"
"Username","Användarnamn"
"Password","Lösenord"
"Remember Me","Kom ihåg mig"
"Log In","Logga in"
"Register","Registrera"
"Site Admin","Administration"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","Funktionen <code>%s</code> har upphört i förmån till funktionsfamiljen <code>bloginfo()</code>."
"Use the <code>%s</code> option instead.","Använd istället <code>%s</code>."
"Search Results %s %s","Sökresultat %s %s"
"Page not found","Sidan kunde inte hittas"
"View posts for %s %s","Se inlägg för %s %s"
"%s %s Feed","%s %s flöde"
"%s %s Comments Feed","%s %s kommentarsflöde"
"%s %s %s Comments Feed","%s %s %s kommentarsflöde"
"%s %s %s Category Feed","%s %s %s kategoriflöde"
"%s %s %s Tag Feed","%s %s %s etikettflöde"
"%s %s Posts by %s Feed","%s %s Inlägg av %s -flöde"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s Sökresultat för &#8221;%s&#8221; -flöde"
"%s %s %s Feed","Flöde för %s %s %s"
"&laquo; Previous","&laquo; Föregående"
"Next &raquo;","Nästa &raquo;"
"Blue","Blå"
"Gray","Grå"
"Do you want to use the WYSIWYG mode for this textarea?","Vill du använda WYSIWYG-redigeraren för denna textruta?"
"Apply","Utför"
"Insert","Lägg till"
"Close","Stäng"
"Browse","Visa"
"-- Not set --","-- Ej satt --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","Kopiera/Klipp ut/Klistra in är inte tillgängligt i Mozilla och Firefox."
"Currently not supported by your browser, use keyboard shortcuts instead.","Din webbläsare har för närvarande inte stöd, använd kortkommandon istället."
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","Vi har upptäckt att din popup-blockerare har stoppat ett fönster som behövs för funktionaliteten. Du måste inaktivera popup-blockeraren för denna sida för full funktionalitet."
"ERROR: Invalid values entered, these are marked in red.","FEL: Ogiltiga värden angivna, dessa är markerade med rött."
"{#field} must be a number","{#field} måste vara ett nummer"
"{#field} must be a number greater than {#min}","{#field} måste vara ett tal större än {#min}"
"{#field} must be a number or percentage","{#field} måste vara ett nummer eller procentsats"
"More colors","Fler färger"
"Black","Svart"
"Burnt orange","Brunorange"
"Dark olive","Mörk olivgrön"
"Dark green","Mörkgrön"
"Dark azure","Mörk himmelsblå"
"Navy Blue","Marinblå"
"Indigo","Indigoblå"
"Very dark gray","Mycket mörkgrå"
"Maroon","Kastanjebrun"
"Olive","Olivgrön"
"Green","Grönt"
"Teal","Grönblå"
"Grayish blue","Gråblå"
"Red","Rött"
"Amber","Bärnstengul"
"Yellow green","Gulgrön"
"Sea green","Ljusgrön"
"Turquoise","Turkos"
"Royal blue","Kungsblå"
"Purple","Lila"
"Medium gray","Mellangrå"
"Gold","Guld"
"Yellow","Gult"
"Lime","Limegrön"
"Aqua","Ljudblå"
"Sky blue","Himmelsblå"
"Brown","Brunt"
"Pink","Rosa"
"Peach","Persikorosa"
"Light yellow","Ljusgul"
"Pale green","Ljusgrön"
"Pale cyan","Ljusturkos"
"Light sky blue","Ljus himmelsblå"
"Plum","Mörklila"
"White","Vitt"
"Alignment","Justering"
"Full","Hel"
"Insert date","Infoga datum"
"Insert time","Infoga tid"
"January","januari"
"February","februari"
"March","mars"
"April","april"
"May","maj"
"June","juni"
"July","juli"
"August","augusti"
"September","september"
"October","oktober"
"November","november"
"December","december"
"Jan_January_abbreviation","Jan"
"Feb_February_abbreviation","Feb"
"Mar_March_abbreviation","Mar"
"Apr_April_abbreviation","Apr"
"May_May_abbreviation","Maj"
"Jun_June_abbreviation","Jun"
"Jul_July_abbreviation","Jul"
"Aug_August_abbreviation","Aug"
"Sep_September_abbreviation","Sep"
"Oct_October_abbreviation","Okt"
"Nov_November_abbreviation","Nov"
"Dec_December_abbreviation","Dec"
"Sunday","söndag"
"Monday","måndag"
"Tuesday","tisdag"
"Wednesday","onsdag"
"Thursday","torsdag"
"Friday","fredag"
"Saturday","lördag"
"Sun","sön"
"Mon","mån"
"Tue","tis"
"Wed","ons"
"Thu","tor"
"Fri","fre"
"Sat","lör"
"Print","Skriv ut"
"Preview","Förhandsgranska"
"Direction left to right","Riktning vänster till höger"
"Direction right to left","Riktning höger till vänster"
"Insert new layer","Infoga nytt lager"
"Move forward","Fortsätt framåt"
"Move backward","Gå bakåt"
"Toggle absolute positioning","Använd absolut positionering"
"New layer...","Nytt lager..."
"Cancel all changes","Avbryt alla ändringar"
"Insert non-breaking space character","Infoga bindestreck"
"Run spell checking","Kör stavningskontroll"
"ieSpell not detected. Do you want to install it now?","ieSpell kunde inte hittas. Vill du installera det nu?"
"Horizontal rule","Horisontal linje"
"Emotions","Känslor"
"Find","Hitta"
"Find/Replace","Hitta/Ersätt"
"Insert/edit image","Infoga/redigera bild"
"Insert/edit link","Infoga/redigera länk"
"Citation","Refererande citat"
"Abbreviation","Förkortning"
"Acronym","Akronym"
"Deletion","Radering"
"Insertion","Infogning"
"Insert/Edit Attributes","Infoga/redigera Attribut"
"Edit CSS Style","Ändra CSS-stilmall"
"Paste as Plain Text","Klistra in som enkel text"
"Paste from Word","Klistra in från Word"
"Select All","Välj alla"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Klistra in är nu i läget oformaterad text. Klicka igen för att växla tillbaka till ordinarie klistra läge. När du har klistrat in något så kommer du tillbaka till vanlig klistra in läget."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","Klistra in är nu i läget oformaterad text. Klicka igen för att växla tillbaka till ordinarie klistra in läge."
"Use CTRL+V on your keyboard to paste the text into the window.","Använd CTRL+V på ditt tangentbord för att klistra in text i fönstret."
"Keep linebreaks","Behåll radbrytningar"
"Inserts a new table","Infoga en ny tabell"
"Insert row before","Infoga en rad innan"
"Insert row after","Infoga rad efter"
"Delete row","Radera rad"
"Insert column before","Infoga en kolumn innan"
"Insert column after","Infoga kolumn efter"
"Remove column","Ta bort kolumn"
"Split merged table cells","Sära på sammansatta tabellceller"
"Merge table cells","Sammanfoga tabellceller"
"Table row properties","Tabellradsegenskaper"
"Table cell properties","Tabellcellsegenskaper"
"Table properties","Tabellegenskaper"
"Paste table row before","Klistra in tabellrad innan"
"Paste table row after","Klistra in tabellrad efter"
"Cut table row","Klipp ut tabellrad"
"Copy table row","Kopiera tabellrad"
"Delete table","Radera tabell"
"Row","Rad"
"Column","Kolumn"
"The changes you made will be lost if you navigate away from this page.","Ändringarna du gjort kommer att förloras om du går i från sidan utan att spara."
"Toggle fullscreen mode (Alt + Shift + G)","Fullskärmsläge av/på (Alt + Skift + G)"
"Insert / edit embedded media","Infoga / redigera inbäddad media"
"Edit embedded media","Redigera inbäddad media"
"Document properties","Dokumentegenskaper"
"Insert predefined template content","Infoga förvalt mallinnehåll"
"Visual control characters on/off.","Visuella kontrolltecken på/av."
"Toggle spellchecker (Alt + Shift + N)","Stavningskontroll av/på (Alt + Skift + N)"
"Spellchecker settings","Inställningar för rättstavning"
"Ignore word","Ignorera ord"
"Ignore all","Ignorera alla"
"Languages","Språk"
"Please wait...","Vänta..."
"Suggestions","Förslag"
"No suggestions","Inga förslag"
"This is somewhat embarrassing, isn&rsquo;t it?","Det här var ju lite pinsamt, eller hur?"
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","Det verkar som det du letade efter inte kunde hittas. Kanske kan en sökning hjälpa."
"Daily Archives: %s","Dagsarkiv: %s"
"Monthly Archives: %s","månadsarkiv: %s"
"Yearly Archives: %s","Årsarkiv: %s"
"Author Archives: %s","Författararkiv: %s"
"About %s","Om %s"
"Category Archives: %s","Kategoriarkiv: %s"
"One thought on &ldquo;%s&rdquo;","En reaktion på &ldquo;%s&rdquo;"
"%s thoughts on &ldquo;%s&rdquo;","%s reaktion på &ldquo;%s&rdquo;"
"Comment navigation","Kommentarsnavigering"
"&larr; Older Comments","&larr; Äldre kommentarer"
"Newer Comments &rarr;","Nyare kommentarer &rarr;"
"Permalink to %s","Permanent länk till %s"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Läs mer <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","Lämna ett svar"
"1 Reply","1 svar"
"%s Replies","%s svar"
"Nothing Found","Inget kunde hittas"
"Apologies, but no results were found. Perhaps searching will help find a related post.","Beklagar, inga resultat funna. Kanske kan en sökning hjälpa dig att hitta relaterat innehåll."
"Featured post","Utvalt inlägg"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","Visa alla inlägg av %s <span class=\"meta-nav\">&rarr;</span>"
"Semantic Personal Publishing Platform","Semantisk plattform för personlig publicering"
"Proudly powered by %s","Drivs med %s"
"Primary Menu","Primär meny"
"Page %s","Sida %s"
"Main Sidebar","Primär sidopanel"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","Visas tillsammans med inlägg och sidor förutom i den valfria mallen för startsidan som har sina egna widgetfält"
"First Front Page Widget Area","Första widgetfältet för startsidan"
"Appears when using the optional Front Page template with a page set as Static Front Page","Visas vid användning av den valfria mallen för startsidan när en statisk startsida är angiven"
"Second Front Page Widget Area","Andra widgetfältet för startsidan"
"Post navigation","Inläggsnavigering"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> Äldre inlägg"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","Nyare inlägg <span class=\"meta-nav\">&rarr;</span>"
"Pingback:","Pingback: "
"Post author","Inläggsförfattare"
"View all posts by %s","Visa alla inlägg av %s"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","Detta inlägg postades i %s och märktes %s den %s<span class=\"by-author\"> av %s</span>."
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","Detta inlägg postades i %s den %s<span class=\"by-author\"> av %s</span>."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","Detta inlägg postades den %s<span class=\"by-author\"> av %s</span>."
"Menu","Meny"
"Skip to content","Hoppa till innehåll"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">Publicerat </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> i storleken <a href=\"%s\" title=\"Länk till bild i full storlek\">%s &times; %s</a> i <a href=\"%s\" title=\"Tillbaka till %s\" rel=\"gallery\">%s</a>."
"&larr; Previous","&larr; Föregående"
"Next &rarr;","Nästa &rarr;"
"No posts to display","Inga inlägg att visa"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","Är du redo att publicera ditt första inlägg? <a href=\"%s\">Kom igång här</a>."
"Search Results for: %s","Sökresultat för: %s"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","Ledsen, men inga matchande resultat kunde hittas baserat på dina kriterier. Var vänlig försök med andra sökord."
"Tag Archives: %s","Etikettarkiv: %s"
"the WordPress team","WordPress teamet"
"Front Page Template","Mall för startsida"
