"New password","Neues Passwort"
"No login ID submitted","Es wurde keine Anmelde-ID übertragen"
"No server banner","Kein Server-Banner"
"abort","abbrechen"
"apop authentication failed","apop-Authentifizierung ist fehlgeschlagen"
"Premature end of list","Vorzeitiges Ende der Liste"
"Empty command string","Leerer Befehls-String"
"connection does not exist","Die Verbindung existiert nicht"
"No msg number submitted","Es wurde keine msg-Nummer übertragen"
"Command failed","Der Befehl wurde nicht angenommen"
"The menu ID should not be empty.","Die Menü-ID darf nicht leer sein. "
"Skip to toolbar","Springe zur Werkzeugleiste"
"Top navigation toolbar.","Obere Navigationswerkzeugleiste"
"&mdash; Select &mdash;","&mdash; Auswählen &mdash;"
"Default","Standard"
"Hex Value","HEX-Wert"
"Upload","Hochladen"
"Remove","Entfernen"
"No Image","Kein Bild"
"Upload New","Hinzufügen"
"Uploaded","Hochgeladen"
"Remove Image","Kein Bild verwenden"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Der Browser auf deinem Endgerät kann leider keine Dateien hochladen. Nutze für den Bilderupload die <a href=\"http://wpde.org/mobil\">WordPress App für dein mobiles Endgerät</a>."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Ziehe eine Datei hierhin oder <a href=\"#\" class=\"upload\">wähle eine Datei aus</a>."
"Select File","Datei auswählen"
"Background Image","Hintergrundbild"
"Header Image","Kopfbild"
"Random Default Image","Zufälliges Standardbild"
"Random Uploaded Image","Zufälliges hochgeladenes Bild"
"Site Title & Tagline","Seitentitel und Untertitel"
"Site Title","Blogtitel"
"Tagline","Untertitel"
"Colors","Farben"
"Display Header Text","Headertext anzeigen"
"Header Text Color","Textfarbe in der Kopfzeile"
"Background Color","Hintergrundfarbe"
"Background Repeat","Wiederholung des Hintergrunds"
"No Repeat","keine Wiederholung"
"Tile","Wiederholen"
"Tile Horizontally","horizontal Wiederholen"
"Tile Vertically","vertikal Wiederholen"
"Background Position","Position des Hintergrunds"
"Left","Links"
"Center","Zentriert"
"Right","Rechts"
"Background Attachment","Scroll-Verhalten des Hintergrunds"
"Fixed","Fixiert"
"Scroll","Mitscrollen"
"Your theme supports %s menu. Select which menu you would like to use.","Dein Theme unterstützt %s Menü. Wähle, welches Menü du gerne verwenden möchtest."
"Your theme supports %s menus. Select which menu appears in each location.","Deine Themes unterstützen %s Menüs. Wähle, welches Menü du in der jeweiligen Position verwenden möchtest."
"You can edit your menu content on the Menus screen in the Appearance section.","Du kannst deine Menüinhalte unter \"Menüs\" im Bereich Design bearbeiten."
"Static Front Page","Statische Startseite"
"Your theme supports a static front page.","Dein Theme unterstützt eine statische Startseite."
"Front page displays","Startseite zeigt"
"Your latest posts","Deine letzten Beiträge"
"A static page","Eine statische Seite"
"Front page","Startseite"
"Posts page","Beitragsseite"
"Visual","Visuell"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","Deutsch=de,Englisch=en,Dänisch=da,Holländisch=nl,Finnisch=fi,Französisch=fr,Italienisch=it,Polnisch=pl,Portugiesisch=pt,Spanisch=es,Schwedisch=sv"
"Update","Aktualisieren"
"Save","Speichern"
"Exit fullscreen","Vollbild schließen"
"Bold (Ctrl + B)","Fett (STRG + B)"
"Italic (Ctrl + I)","Kursiv (STRG + I)"
"Unordered list (Alt + Shift + U)","Liste (ALT + Großschreibung + U)"
"Ordered list (Alt + Shift + O)","Nummerierte Liste (ALT + Großschreibung + O)"
"Blockquote (Alt + Shift + Q)","Zitat (ALT + UMSCHALT + Q)"
"Insert/edit image (Alt + Shift + M)","Bild einfügen/bearbeiten (ALT + Großschreibung + M)"
"Insert/edit link (Alt + Shift + A)","Link einfügen/bearbeiten (ALT + Großschreibung + A)"
"Unlink (Alt + Shift + S)","Link entfernen (ALT + Großschreibung + S)"
"Help (Alt + Shift + H)","Hilfe (ALT + Großschreibung + H)"
"Updated.","Aktualisiert."
"Saved.","Gespeichert."
"Enter title here","Gib hier den Titel an"
"Word count: %s","Wörteranzahl: %s"
"Just write.","Einfach schreiben."
"Y/m/d","d.m.Y"
"Enter the destination URL","Gib die Ziel-Adresse ein"
"Title","Titel"
"Open link in a new window/tab","Link in neuem Fenster oder Tab öffnen"
"Or link to existing content","Oder verlinke auf bestehende Inhalte"
"No search term specified. Showing recent items.","Es wurde kein Suchbegriff angegeben. Es werden die aktuellsten Inhalte angezeigt."
"Add Link","Link hinzufügen"
"Cancel","Abbrechen"
"File doesn&#8217;t exist?","Existiert die Datei?"
"File is not an image.","Datei ist kein Bild."
"Could not read image size.","Bildgröße nicht lesbar."
"Image resize failed.","Änderung der Bildgröße fehlgeschlagen."
"Could not calculate resized image dimensions","Die Abmessungen des größenveränderten Bildes konnten nicht berechnet werden."
"Image crop failed.","Zuschneiden des Bildes fehlgeschlagen."
"Image rotate failed.","Drehung des Bildes fehlgeschlagen."
"Image flip failed.","Spiegeln des Bildes fehlgeschlagen."
"Image Editor Save Failed","Das Speichern der Bildbearbeitung ist fehlgeschlagen"
"Could not read image size","Die Bildgröße konnte nicht gelesen werden."
"The theme directory does not exist.","Das Themeverzeichnis existiert nicht."
"Stylesheet is missing.","Es fehlt ein Stylesheet."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","FEHLER: Das Themeverzeichnis ist entweder leer oder existiert nicht. Bitte überprüfe deine Installation."
"Stylesheet is not readable.","Das Stylesheet ist nicht lesbar."
"Template is missing.","Das Template fehlt."
"The parent theme is missing. Please install the \"%s\" parent theme.","Das Übergeordnete Theme fehlt. Bitte installiere das übergeordnete Theme \"%s\", da du Child-Themes sonst nicht nutzen kannst."
"The \"%s\" theme is not a valid parent theme.","Das \"%s\" Theme ist kein gültiges Elterntheme."
"Visit author homepage","Besuch die Homepage des Autors"
",",", "
"XML-RPC services are disabled on this site.","Der XML-RPC Service wurde auf dieser Seite deaktiviert."
"Incorrect username or password.","Benutzer oder Passwort falsch."
"Software Name","Softwarename"
"Software Version","Softwareversion"
"Site URL","Seiten-URL"
"Home URL","Startseiten URL"
"Image default link type","Standard-Bildlink"
"Image default size","Standard-Bildgröße"
"Image default align","Standard Bildausrichtung"
"Post Thumbnail","Beitrag-Miniaturbild"
"Time Zone","Zeitzone"
"Site Tagline","Blogbeschreibung"
"Date Format","Datumsformat"
"Time Format","Zeitformat"
"Allow new users to sign up","Erlaube neuen Benutzern die Registrierung"
"Thumbnail Width","Breite Vorschaubild"
"Thumbnail Height","Höhe Vorschaubild"
"Crop thumbnail to exact dimensions","Vorschaubild auf exakte Größe beschneiden"
"Medium size image width","Breite für mittlere Bildgröße"
"Medium size image height","Höhe für mittlere Bildgröße"
"Large size image width","Breite für maximale Bildgröße"
"Large size image height","Höhe für maximale Bildgröße"
"Allow people to post comments on new articles","Erlaube Besuchern neue Beiträge zu kommentieren"
"Allow link notifications from other blogs (pingbacks and trackbacks)","Erlaube Link-Benachrichtigungen von anderen Weblogs (Pingbacks und Trackbacks)\t"
"Insufficient arguments passed to this XML-RPC method.","Es wurden zu wenig Argumente an diese XML-RPC-Methode gesendet."
"Invalid post type","Ungültiger Inhaltstyp"
"Invalid post ID.","Ungültige Beitrags-ID."
"Sorry, you are not allowed to edit this post.","Bedaure, du hast keine Berechtigung, um diesen Beitrag zu editieren."
"The post type may not be changed.","Dieser Inhaltstyp kann nicht geändert werden."
"Sorry, you are not allowed to post on this site.","Du verfügst nicht über ausreichende Rechte, um Beiträge auf dieser Seite zu veröffentlichen."
"Sorry, you are not allowed to create private posts in this post type","Leider bist du nicht berechtigt einen privaten Beitrag mit diesem Inhaltstyp zu erstellen"
"Sorry, you are not allowed to publish posts in this post type","Leider bist du nicht berechtigt einen Beitrag mit diesem Inhaltstyp zu veröffentlichen."
"Sorry, you are not allowed to create password protected posts in this post type","Leider bist du nicht berechtigt einen Passwort geschützten Beitrag mit diesem Inhaltstyp zu erstellen."
"You are not allowed to create posts as this user.","Du bist nicht berechtigt als dieser Benutzer Beiträge zu erstellen."
"Invalid author ID.","Ungültige Autoren-ID."
"Sorry, you cannot stick a private post.","Private Beiträge können leider nicht oben gehalten werden."
"Sorry, you are not allowed to stick this post.","Leider bist du nicht berechtigt diesen Beitrag oben zu halten."
"Invalid attachment ID.","Ungültige Anhang-ID."
"Sorry, one of the given taxonomies is not supported by the post type.","Leider wird eine der gegebenen Taxonomien nicht von diesem Inhaltstyp unterstützt."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Leider bist du nicht berechtigt einen Begriff einer der gegebenen Taxonomien zuzuordnen."
"Invalid term ID","Ungültige Begriffs-ID."
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Der Term ist in der hierarchischen Taxonomie mehrdeutig. Bitte stattdessen die Term-ID nutzen."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Leider bist du nicht berechtigt, einen Begriff in eine der gegebenen Taxonomien hinzuzufügen."
"Sorry, your entry could not be posted. Something wrong happened.","Dein Beitrag konnte leider nicht veröffentlicht werden. Irgendetwas ging schief."
"There is a revision of this post that is more recent.","Es existiert eine aktuellere Revision dieses Beitrags."
"Sorry, you are not allowed to delete this post.","Bedaure, Du hast keine Berechtigung, um diesen Beitrag zu löschen. "
"The post cannot be deleted.","Der Beitrag kann nicht gelöscht werden."
"Sorry, you cannot edit this post.","Bedaure, du kannst diesen Beitrag nicht bearbeiten."
"The post type specified is not valid","Der angegebene Inhaltstyp ist ungültig"
"Sorry, you are not allowed to edit posts in this post type","Bedaure, du hast keine Berechtigung, um diesen Inhaltstyp zu editieren."
"Invalid taxonomy","Ungültige Taxonomie"
"You are not allowed to create terms in this taxonomy.","Dir ist es nicht erlaubt Begriffe in dieser Taxonomie zu erstellen."
"The term name cannot be empty.","Der Begriffname darf nicht leer sein."
"This taxonomy is not hierarchical.","Diese Taxonomie ist nicht hierarchisch."
"Parent term does not exist.","Eltern-Begriff existiert nicht."
"Sorry, your term could not be created. Something wrong happened.","Leider konnte dein Begriff nicht erstellt werden. Etwas ist falsch gelaufen."
"You are not allowed to edit terms in this taxonomy.","Dir ist es nicht erlaubt Begriffe in dieser Taxonomie zu bearbeiten."
"This taxonomy is not hierarchical so you can't set a parent.","Diese Taxonomie ist nicht hierarchisch, daher kannst du keine Eltern-Begriffe erstellen."
"Sorry, editing the term failed.","Bedaure, die Bearbeitung des Begriffs ist fehlgeschlagen."
"You are not allowed to delete terms in this taxonomy.","Dir ist es nicht erlaubt Begriffe in dieser Taxonomie zu löschen."
"Sorry, deleting the term failed.","Bedaure, das Löschen des Begriffs ist fehlgeschlagen."
"You are not allowed to assign terms in this taxonomy.","Dir ist es nicht erlaubt Begriffe dieser Taxonomie zuzuweisen."
"Sorry, you cannot edit users.","Verzeihung, du kannst keine Benutzer bearbeiten."
"Invalid user ID","Ungültige Benutzer-ID"
"Sorry, you cannot list users.","Verzeihung, du kannst keine Benutzer auflisten."
"The role specified is not valid","Die gewählte Benutzerrolle ist nicht gültig."
"Sorry, you cannot edit your profile.","Bedaure, du kannst nicht dein Profil bearbeiten."
"Sorry, the user cannot be updated.","Bedaure, dieser Benutzer kann nicht aktualisiert werden."
"Sorry, you cannot edit this page.","Tut mir leid, du kannst diese Seite nicht bearbeiten."
"Sorry, no such page.","Diese Seite gibt es leider nicht."
"Sorry, you cannot edit pages.","Tut mir leid, du kannst keine Seiten bearbeiten."
"Sorry, you do not have the right to delete this page.","Du verfügst nicht über ausreichende Rechte, um diese Seite zu löschen."
"Failed to delete the page.","Die Seite konnte nicht gelöscht werden."
"Sorry, you do not have the right to edit this page.","Du verfügst nicht über ausreichende Rechte, um diese Seite zu bearbeiten."
"Sorry, you cannot edit posts on this site.","Du verfügst nicht über ausreichende Rechte, um auf dieser Seite Beiträge zu bearbeiten."
"Sorry, you must be able to edit posts on this site in order to view tags.","Du musst das Recht haben, Beiträge bearbeiten zu können, damit du Schlagwörter sehen kannst."
"Sorry, you do not have the right to add a category.","Du verfügst nicht über ausreichende Rechte, um eine Kategorie hinzuzufügen."
"Sorry, the new category failed.","Die neue Kategorie konnte leider nicht erstellt werden."
"Sorry, you do not have the right to delete a category.","Du hast leider nicht die nötigen Rechte, um eine Kategorie zu löschen."
"Sorry, you must be able to edit posts to this site in order to view categories.","Du musst berechtigt sein Beiträge zu bearbeiten, um Kategorien sehen zu können."
"You are not allowed to moderate comments on this site.","Es ist dir nicht erlaubt auf diesem Blog Kommentare zu moderieren."
"Invalid comment ID.","Ungültige Kommentar-ID."
"Sorry, you cannot edit comments.","Tut mir leid, du kannst keine Kommentare bearbeiten."
"Invalid comment status.","Ungültiger Kommentarstatus."
"Sorry, the comment could not be edited. Something wrong happened.","Der Beitrag konnte leider nicht bearbeitet werden. Irgendetwas ging schief."
"You must be registered to comment","Um einen Kommentar zu hinterlassen, musst du angemeldet sein."
"Comment author name and email are required","Name und E-Mail-Adresse des Autoren sind erforderlich."
"A valid email address is required","Eine gültige E-Mail-Adresse ist erforderlich"
"You are not allowed access to details about this site.","Du bist nicht berechtigt, Details dieser Website einzusehen."
"You are not allowed access to details about comments.","Du darfst nicht auf Details von Kommentaren zugreifen."
"You are not allowed to update options.","Du darfst die Einstellungen nicht ändern."
"You do not have permission to upload files.","Du hast nicht die erforderlichen Rechte, um Dateien hochzuladen."
"Sorry, you are not allowed to edit this post type.","Bedaure, dir ist es nicht erlaubt diesen Inhaltstyp zu bearbeiten."
"Invalid post ID","Ungültige Beitrags ID"
"Sorry, you are not allowed to edit posts.","Bedaure, dir ist nicht erlaubt Beitrag zu bearbeiten."
"Sorry, revisions are disabled.","Bedaure, Revisionen sind deaktiviert."
"Sorry, you do not have access to user data on this site.","Du hast keinen Zugriff auf die Benutzerdaten dieser Seite."
"Either there are no posts, or something went wrong.","Entweder gibt es keine Beiträge oder es ging etwas schief."
"Sorry, that file cannot be edited.","Bedaure, diese Datei kann nicht bearbeitet werden."
"Sorry, no such post.","Diesen Beitrag gibt es leider nicht."
"Sorry, you do not have the right to edit this post.","Du verfügst nicht über ausreichende Rechte, um diesen Beitrag zu bearbeiten."
"Sorry, you do not have the right to publish this post.","Du verfügst nicht über ausreichende Rechte, um diesen Beitrag zu veröffentlichen."
"For some strange yet very annoying reason, this post could not be edited.","Aus einem seltsamen, unerfreulichen Grund kann dieser Beitrag nicht bearbeitet werden."
"Sorry, you do not have the right to delete this post.","Du verfügst nicht über ausreichende Rechte, um diesen Beitrag zu löschen."
"For some strange yet very annoying reason, this post could not be deleted.","Aus einem seltsam unerfreulichen Grund kann dieser Beitrag nicht gelöscht werden."
"Sorry, you are not allowed to publish pages on this site.","Sorry, aber du darfst keine Seiten veröffentlichen."
"Sorry, you are not allowed to publish posts on this site.","Bedaure, aber du darfst keine Beiträge auf dieser Seite veröffentlichen."
"Invalid post format","Ungültige Formatvorlage"
"You are not allowed to create pages as this user.","Du darfst als dieser Benutzer keine Seiten anlegen."
"You are not allowed to change the post author as this user.","Dieser Benutzer darf den Autor des Beitrags nicht verändern."
"You are not allowed to change the page author as this user.","Dieser Benutzer darf den Autor der Seite nicht verändern."
"Sorry, you do not have the right to publish this page.","Du verfügst nicht über ausreichende Rechte, um diese Seite zu veröffentlichen."
"Sorry, your entry could not be edited. Something wrong happened.","Der Beitrag konnte leider nicht bearbeitet werden. Irgendetwas ging schief."
"Sorry, you must be able to edit posts on this site in order to view categories.","Bedaure, aber du musst Beiträge bearbeiten können, um Kategorien zu betrachten."
"Could not write file %s (%s)","Konnte folgende Datei nicht schreiben %s (%s)"
"Sorry, you can not edit this post.","Du verfügst nicht über ausreichende Rechte, um diesen Beitrag zu bearbeiten."
"Sorry, you cannot publish this post.","Bedaure, aber du kannst diesen Beitrag nicht veröffentlichen."
"Is there no link to us?","Gibt es keinen Link zu uns?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","Die angegebene URL kann nicht als Ziel verwendet werden. Entweder existiert sie nicht oder der Empfänger erlaubt keine Pingbacks."
"The source URL and the target URL cannot both point to the same resource.","Die Quell-URL und die Ziel-URL können nicht gleichzeitig auf den gleichen Punkt zeigen."
"The pingback has already been registered.","Der Pingback wurde schon registriert."
"The source URL does not exist.","Die angegebene Quell-URL existiert nicht."
"We cannot find a title on that page.","Wir können auf dieser Seite keinen Titel finden."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","Die Quell-URL enthält keinen Link zur Ziel-URL und kann deshalb nicht als Quelle genutzt werden."
"Pingback from %s to %s registered. Keep the web talking! :-)","Pingback von %s zu %s registriert. Keep the web talking! :-)"
"The specified target URL does not exist.","Die angegebene Ziel-URL existiert nicht."
"%s Comments","%s Kommentare"
"No Comments","Keine Kommentare"
"1 Comment","1 Kommentar"
"Comment","Kommentar"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","Wenn du den Wert nicht ausgegeben bekommen möchtest, verwende stattdessen <code>get_trackback_url()</code>."
"Comments Off","Kommentare deaktiviert"
"Enter your password to view comments.","Auch die Kommentare sind durch das Passwort geschützt."
"Comment on %s","Kommentiere %s"
"Reply","Antworten"
"Log in to Reply","Zum Antworten anmelden"
"Leave a Comment","Hinterlasse einen Kommentar"
"Log in to leave a Comment","Melde dich an, um einen Kommentar zu hinterlassen"
"Click here to cancel reply.","Hier klicken, um die Antwort abzubrechen."
"Leave a Reply","Hinterlasse eine Antwort"
"Leave a Reply to %s","Hinterlasse einen Kommentar zu %s"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">sagt:</span>"
"Your comment is awaiting moderation.","Dein Kommentar wartet auf Freischaltung."
"%s at %s","%s um %s"
"(Edit)","(Bearbeiten)"
"Email","E-Mail-Adresse"
"Required fields are marked %s","Erforderliche Felder sind markiert %s"
"You must be <a href=\"%s\">logged in</a> to post a comment.","Du musst <a href=\"%s\">angemeldet</a> sein, um einen Kommentar abzugeben."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","Angemeldet als <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Vom Benutzerkonto ausloggen\">Abmelden?</a>"
"Your email address will not be published.","Deine E-Mail-Adresse wird nicht veröffentlicht."
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","Du kannst folgende <abbr title=\"HyperText Markup Language\">HTML</abbr>-Tags benutzen: %s"
"Cancel reply","Antworten abbrechen"
"Post Comment","Kommentar abschicken"
"Unapproved","Nicht genehmigt"
"Approved","Genehmigt"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","Doppelter Kommentar wurde entdeckt. Es sieht stark danach aus, dass du das schon einmal gesagt hast!"
"You are posting comments too quickly. Slow down.","Du schreibst die Kommentare zu schnell. Mach mal langsam."
"Could not update comment status","Der Kommentarstatus konnte nicht aktualisiert werden"
"This argument has changed to an array to match the behavior of the other cron functions.","Das Argument wurde durch ein Array ersetzt, um die Funktion an die anderen Cron-Funktionen anzupassen."
"Once Hourly","einmal pro Stunde"
"Twice Daily","Zweimal täglich"
"Once Daily","Einmal täglich"
"Your site&#8217;s WordPress Pages","Die Seiten deiner WordPress-Webseite"
"Sort by:","Sortiert nach:"
"Page title","Seitentitel"
"Page order","Reihenfolge der Seiten"
"Page ID","Seiten-ID"
"Exclude:","Ausschließen:"
"Page IDs, separated by commas.","Seiten-IDs, durch Kommas getrennt."
"Your blogroll","Deine Blogroll"
"Select Link Category:","Wähle die Link-Kategorie:"
"All Links","Alle Links"
"Link title","Link-Titel"
"Link rating","Link-Wertung"
"Link ID","Link-ID"
"Random","Zufällig"
"Show Link Image","Zeige Link-Grafik"
"Show Link Name","Zeige Link-Namen"
"Show Link Description","Zeige Link-Beschreibung"
"Show Link Rating","Zeige Link-Bewertung"
"Number of links to show:","Anzahl der zu zeigenden Links: "
"A search form for your site","Ein Suchformular für deine Website"
"A monthly archive of your site&#8217;s posts","Ein Monatsarchiv von deinen Beiträgen"
"Archives","Archive"
"Select Month","Wähle den Monat"
"Display as dropdown","Als Auswahlbox darstellen"
"Show post counts","Zeige Beitrags-Zähler"
"Log in/out, admin, feed and WordPress links","An-/Abmelden, Adminbereich, Newsfeeds und WordPress-Links"
"Syndicate this site using RSS 2.0","Abonniere diese Website mit RSS 2.0"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","Beitrags-Feed (<abbr title=\"Really Simple Syndication\">RSS</abbr>)"
"The latest comments to all posts in RSS","Die neuesten Kommentare zu allen Beiträgen als RSS"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","Kommentare als <abbr title=\"Really Simple Syndication\">RSS</abbr>"
"A calendar of your site&#8217;s posts","Ein Kalender der Beiträge"
"Calendar","Kalender"
"Arbitrary text or HTML","Block für eigenen Text oder HTML"
"Automatically add paragraphs","Absätze automatisch hinzufügen"
"A list or dropdown of categories","Eine Auflistung deiner Kategorien"
"Select Category","Kategorie auswählen"
"Show hierarchy","Zeige die Hierarchie an"
"The most recent posts on your site","Die letzten Beiträge deiner Seite"
"Recent Posts","Letzte Beiträge"
"Number of posts to show:","Anzahl der Beiträge, die angezeigt werden:"
"Display post date?","Veröffentlichungsdatum anzeigen?"
"The most recent comments","Die letzten Kommentare"
"Recent Comments","Letzte Kommentare"
"%s on %s","%s bei %s"
"Number of comments to show:","Wieviele Kommentare sollen angezeigt werden:"
"Entries from any RSS or Atom feed","Externe RSS- oder Atom-Feeds"
"Unknown Feed","unbekannter Feed"
"Syndicate this content","Den Inhalt auslesen"
"<strong>RSS Error</strong>: %s","<strong>RSS-Fehler</strong>: %s"
"An error has occurred, which probably means the feed is down. Try again later.","Ein Fehler ist aufgetreten – der Feed funktioniert zur Zeit nicht. Probiere es später noch einmal."
"Untitled","unbetitelt"
"RSS Error: %s","RSS Fehler: %s"
"Enter the RSS feed URL here:","Gib die URL des RSS-Feeds hier ein:"
"Give the feed a title (optional):","Gib dem Feed einen Titel (optional):"
"How many items would you like to display?","Wie viele Einträge sollen angezeigt werden?"
"Display item content?","Beitrags-Inhalt anzeigen?"
"Display item author if available?","Beitrags-Autor anzeigen, wenn verfügbar?"
"Display item date?","Beitrags-Datum anzeigen?"
"Your most used tags in cloud format","Deine Schlagworte in einer Wolke"
"Tag Cloud","Schlagwörter-Wolke"
"Taxonomy:","Taxonomie"
"Use this widget to add one of your custom menus as a widget.","Nutze dieses Widget, um eines deiner selbsterstellten Navigationsmenüs anzuzeigen. Über den Menüpunkt \"Design\" &gt; \"Menüs\" kannst du ein individuelles Menü erstellen."
"Custom Menu","Individuelles Menü"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","Es wurden noch keine Menüs erstellt. <a href=\"%s\">Erstelle welche</a>."
"Select Menu:","Wähle ein Menü:"
"new WordPress Loop","Neuer WordPress-Loop"
"None","Keine"
"Last updated","Zuletzt aktualisiert"
"Missing Attachment","Anlage fehlt"
"First Post","Erster Beitrag"
"Last Post","Letzter Beitrag"
"Are you sure you want to do this?","Bist du sicher, dass du das tun möchtest?"
"File &#8220;%s&#8221; doesn&#8217;t exist?","Existiert die Datei &#8220;%s&#8221; nicht?"
"The GD image library is not installed.","Die GD Image Library ist nicht installiert."
"File &#8220;%s&#8221; is not an image.","Die Datei &#8220;%s&#8221; ist kein Bild."
"Comments on %s","Kommentare zu %s"
"Comments for %s searching on %s","Kommentare für %s in %s gesucht"
"Comments for %s","Kommentare für %s"
"Comment on %s by %s","Kommentar zu %s von %s"
"By: %s","Von: %s"
"Comments on: %s","Kommentare zu: %s"
"Protected Comments: Please enter your password to view comments.","Auch die Kommentare sind durch das Passwort geschützt."
"%s min","%s Minute"
"%s mins","%s Minuten"
"%s hour","%s Stunde"
"%s hours","%s Stunden"
"%s day","%s Tag"
"%s days","%s Tagen"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","Diese E-Mail-Adresse scheint keine gültige E-Mail-Adresse zu sein. Bitte gib eine gültige E-Mail-Adresse an."
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","Die angegebene WordPress-Adresse scheint keine gültige URL zu sein. Bitte gib eine gültige URL an."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","Die Webseiten-Adresse die du eingegeben hast, scheint keine gültige URL zu sein. Bitte gebe eine gültige URL ein."
"The timezone you have entered is not valid. Please select a valid timezone.","Die von dir eingegebene Zeitzone ist ungültig. Bitte wähle eine gültige Zeitzone aus."
", and",", und "
"and"," und "
"ERROR: %s is not a valid feed template.","FEHLER: %s ist kein gültiges Feed-Template"
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","Eine oder mehrere Datenbanktabellen sind nicht erreichbar. Die Datenbank muss eventuell <a href=\"%s\">repariert</a> werden."
"Unable to create directory %s. Is its parent directory writable by the server?","Das Verzeichnis %s kann nicht angelegt werden. Ist das übergeordnete Verzeichnis durch den Server beschreibbar?"
"Empty filename","leerer Dateiname"
"Invalid file type","Ungültiger Dateityp"
"Could not write file %s","Konnte folgende Datei nicht schreiben %s"
"WordPress Failure Notice","WordPress-Fehlermeldung"
"You are attempting to log out of %s","Du hast vor, dich von der Website %s abzumelden"
"Do you really want to <a href='%s'>log out</a>?","Willst du dich wirklich <a href='%s'>abmelden</a>?"
"Please try again.","Bitte noch mal versuchen."
"&laquo; Back","&laquo; Zurück"
"WordPress &rsaquo; Error","WordPress &rsaquo; Fehler"
"Database Error","Datenbankfehler"
"Error establishing a database connection","Fehler beim Aufbau einer Datenbankverbindung"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","%s ist seit Version %s <strong>veraltet</strong>! Benutze stattdessen %s."
"%s is <strong>deprecated</strong> since version %s with no alternative available.","%s ist seit Version %s <strong>veraltet</strong>. Es ist keine Alternative erhältlich."
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","%s wurde mit einem Parameter oder Argument aufgerufen, der seit Version %s <strong>veraltet ist</strong>! %s"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","%s wurde mit einem Parameter oder Argument aufgerufen, der seit Version %s <strong>veraltet ist</strong>! Es gibt jedoch keine alternative Möglichkeit."
"(This message was added in version %s.)","(Diese Meldung wurde in Version %s hinzugefügt.)"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","Schau Dir <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> an, um mehr darüber zu erfahren."
"%s was called <strong>incorrectly</strong>. %s %s","%s wurde <strong>fehlerhaft aufgerufen</strong>. %s %s"
"Select a city","Wähle eine Stadt"
"Manual Offsets","Manuelle Offsets"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","Skripte und Styles sollten nicht vor den Hooks %s, %s oder %s registriert oder eingebunden werden."
"Search for:","Suche nach:"
"Log in","Anmelden"
"Log out","Abmelden"
"Username","Benutzername"
"Password","Passwort"
"Remember Me","Erinnere dich an mich"
"Log In","Anmelden"
"Register","Registrieren"
"Site Admin","Administration"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","Der genutzte Parameter <code>%s</code> für die Funktion <code>bloginfo()</code> ist veraltet."
"Use the <code>%s</code> option instead.","Verwende stattdessen die Option <code>%s</code>."
"Search Results %s %s","Suchergebnisse %s %s"
"Page not found","Seite nicht gefunden"
"View posts for %s %s","Zeige Beiträge für %s %s"
"%s %s Comments Feed","%s %s Kommentar-Feed"
"%s %s %s Comments Feed","%s %s %s Kommentar-Feed"
"%s %s %s Category Feed","%s %s %s Kategorie-Feed"
"%s %s %s Tag Feed","%s %s %s Schlagwort-Feed"
"%s %s Posts by %s Feed","%s %s Beiträge nach %s Feed"
