"New password","Nueva contraseña"
"Allow link notifications from other blogs (pingbacks and trackbacks)","Permitir notificaciones de enlace desde otros sitios (pingbacks y trackbacks)"
"Insufficient arguments passed to this XML-RPC method.","Argumentos insuficientes para este método de XML-RPC."
"Invalid post type","Tipo de entrada no válida"
"Invalid post ID.","El ID de la entrada no es válido."
"Sorry, you are not allowed to edit this post.","Perdón, no tienes permisos para editar esta entrada."
"The post type may not be changed.","El tipo de entrada no puede cambiarse."
"Sorry, you are not allowed to post on this site.","Disculpa, no tienes autorización para publicar en este sitio."
"Sorry, you are not allowed to create private posts in this post type","Perdón, no tienes permiso para crear entradas privadas en este tipo de entrada"
"Sorry, you are not allowed to publish posts in this post type","Lo sentimos, no tienes permiso para publicar en este tipo de entrada."
"Sorry, you are not allowed to create password protected posts in this post type","Perdón, no tienes permiso para crear entradas protegidas con contraseña en este tipo de entrada"
"You are not allowed to create posts as this user.","No tienes permisos para crear entradas en nombre de este usuario."
"Invalid author ID.","ID de autor incorrecto."
"Sorry, you cannot stick a private post.","Lo siento, no puedes destacar una entrada privada"
"Sorry, you are not allowed to stick this post.","Perdón, no tienes permiso para destacar esta entrada."
"Invalid attachment ID.","ID de adjunto no válido."
"Sorry, one of the given taxonomies is not supported by the post type.","Lo sentimos, una de las taxonomías dadas no es compatible con el tipo de entrada."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Perdón, no tienes permisos para asignar un término a una de las taxonomías dadas."
"Invalid term ID","ID del término no válido"
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Nombre de término ambiguo usado en una taxonomía jerárquica. Por favor usa en su lugar el ID del término."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Perdón, no tienes permiso para añadir un término a una de las taxonomías dadas."
"Sorry, your entry could not be posted. Something wrong happened.","Disculpa, ha sido imposible publicar la entrada. Algo ha ocurrido."
"There is a revision of this post that is more recent.","Hay una revisión más reciente de esta entrada."
"Sorry, you are not allowed to delete this post.","Perdón, no tienes permisos para borrar esta entrada."
"The post cannot be deleted.","La entrada no puede borrarse."
"Sorry, you cannot edit this post.","Disculpa, no puedes editar esta entrada."
"The post type specified is not valid","El tipo de entrada especificada no es válida"
"Sorry, you are not allowed to edit posts in this post type","Perdón, no tienes permisos para editar entradas de este tipo"
"Invalid taxonomy","Taxonomia no válida"
"You are not allowed to create terms in this taxonomy.","No tienes permiso para crear un término en esta taxonomía."
"The term name cannot be empty.","El nombre del término no puede estar vacío."
"This taxonomy is not hierarchical.","Esta taxonomía no es jerárquica."
"Parent term does not exist.","No existe término padre."
"Sorry, your term could not be created. Something wrong happened.","Lo sentimos, el término no se pudo crear. algo salió mal."
"You are not allowed to edit terms in this taxonomy.","No estás autorizado para editar términos de esta taxonomía."
"This taxonomy is not hierarchical so you can't set a parent.","Esta taxonomía no es jerárquica por lo que no se puede establecer un padre."
"Sorry, editing the term failed.","Perdón, fallo editando el término."
"You are not allowed to delete terms in this taxonomy.","No está permitido eliminar los términos de esta taxonomía."
"Sorry, deleting the term failed.","Perdón, fallo al borrar el término."
"You are not allowed to assign terms in this taxonomy.","No tienes permiso para asignar términos en esta taxonomía."
"Sorry, you cannot edit users.","Lo siento, no puedes editar usuarios."
"Invalid user ID","ID de usuario incorrecto"
"Sorry, you cannot list users.","Lo siento, no puedes listar usuarios."
"The role specified is not valid","El rol especificado no es válido"
"Sorry, you cannot edit your profile.","Lo siento, no puedes editar tu perfil."
"Sorry, the user cannot be updated.","Lo siento, el usuario no puede ser actualizado."
"Sorry, you cannot edit this page.","Disculpa, no puedes editar esta página."
"Sorry, no such page.","Disculpa, no existe esa página."
"Sorry, you cannot edit pages.","Disculpa, no puedes editar páginas."
"Sorry, you do not have the right to delete this page.","Disculpa, no tienes autorización para borrar esta página."
"Failed to delete the page.","No se logró borrar la página."
"Sorry, you do not have the right to edit this page.","Disculpa, no tienes autorización para editar esta página."
"Sorry, you cannot edit posts on this site.","Disculpa, no puedes editar entradas en este sitio."
"Sorry, you must be able to edit posts on this site in order to view tags.","Disculpa, para ver las etiquetas tienes que estar autorizado para editar entradas en este sitio."
"Sorry, you do not have the right to add a category.","Disculpa, no tienes autorización para añadir categorías."
"Sorry, the new category failed.","Disculpa, la creación de la nueva categoría falló."
"Sorry, you do not have the right to delete a category.","Disculpa, no tienes autorización para borrar categorías."
"Sorry, you must be able to edit posts to this site in order to view categories.","Disculpa, para ver las categorías tienes que estar autorizado para editar entradas en este sitio."
"You are not allowed to moderate comments on this site.","No tienes autorización para moderar comentarios en este sitio."
"Invalid comment ID.","El ID del comentario no es válido."
"Sorry, you cannot edit comments.","Disculpa, no puedes editar comentarios."
"Invalid comment status.","El estado del comentario no es válido."
"Sorry, the comment could not be edited. Something wrong happened.","Disculpa, no se ha podido editar el comentario. Se ha producido un error."
"You must be registered to comment","Los usuarios deben registrarse e identificarse para comentar"
"Comment author name and email are required","El nombre y correo electrónico del autor del comentario son campos necesarios"
"A valid email address is required","Se necesita un correo electrónico válido"
"You are not allowed access to details about this site.","No tienes autorización para ver los detalles de este sitio."
"You are not allowed access to details about comments.","No tienes autorización para ver los detalles de los comentarios."
"You are not allowed to update options.","No tienes autorización para actualizar las opciones."
"You do not have permission to upload files.","No tienes autorización para subir archivos."
"Sorry, you are not allowed to edit this post type.","Lo sentimos, no estás autorizado a editar este tipo de entrada."
"Invalid post ID","ID de entrada incorrecto"
"Sorry, you are not allowed to edit posts.","Lo siento. no tienes permitido editar entradas."
"Sorry, revisions are disabled.","Lo siento, las revisiones están desactivadas"
"Sorry, you do not have access to user data on this site.","Disculpa, no tienes acceso a los datos de los usuarios de este sitio."
"Either there are no posts, or something went wrong.","Una de dos, o no hay entradas o algo fue mal."
"Sorry, that file cannot be edited.","Lo sentimos, este archivo no puede editarse."
"Sorry, no such post.","Disculpa, no existe la entrada."
"Sorry, you do not have the right to edit this post.","Lo sentimos, no tienes autorización para editar esta entrada."
"Sorry, you do not have the right to publish this post.","Disculpa, no tienes autorización para publicar esta entrada."
"For some strange yet very annoying reason, this post could not be edited.","Por alguna extraña razón esta entrada no puede editarse."
"Sorry, you do not have the right to delete this post.","Lo sentimos, no tienes autorización para borrar esta entrada."
"For some strange yet very annoying reason, this post could not be deleted.","Por alguna extraña y desagradable razón esta entrada no puede borrarse."
"Sorry, you are not allowed to publish pages on this site.","Disculpa, no tienes autorización para publicar páginas en este sitio."
"Sorry, you are not allowed to publish posts on this site.","Disculpa, no tienes autorización para publicar entradas en este sitio."
"Invalid post format","Formato de entrada no válido"
"You are not allowed to create pages as this user.","Con este usuario no tienes permisos para crear páginas."
"You are not allowed to change the post author as this user.","No tienes autorización para cambiar el autor de la entrada identificado con este nombre de usuario."
"You are not allowed to change the page author as this user.","No tienes autorización para cambiar el autor de la página identificado con este nombre de usuario."
"Sorry, you do not have the right to publish this page.","Disculpa, no tienes autorización para publicar esta página."
"Sorry, your entry could not be edited. Something wrong happened.","Disculpa, no se pudo editar tu entrada. Ocurrió algún error."
"Sorry, you must be able to edit posts on this site in order to view categories.","Disculpa, para ver las categorías tienes que estar autorizado para editar entradas en este sitio."
"Could not write file %s (%s)","No se pudo escribir el archivo %s (%s)"
"Sorry, you can not edit this post.","Disculpa, no puedes editar esta entrada."
"Sorry, you cannot publish this post.","Perdona, pero no puedes publicar esta entrada."
"Is there no link to us?","¿No hay enlace hacia nosotros?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","La URL especificada no puede utilizarse como destino. O bien no existe o no está habilitado para pingbacks."
"The source URL and the target URL cannot both point to the same resource.","La URL de origen y la URL de destino no pueden apuntar ambas al mismo recurso."
"The pingback has already been registered.","El pingback ya ha sido registrado."
"The source URL does not exist.","La URL de origen no existe."
"We cannot find a title on that page.","No podemos encontrar un título en esa página."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","La URL de origen no contiene un enlace a la URL de destino, así que no puede ser usada como origen."
"Pingback from %s to %s registered. Keep the web talking! :-)","Pingback desde %s a %s registrado. ¡Haz que la web hable! :-)"
"The specified target URL does not exist.","La URL de destino especificada no existe."
"%s Comments","%s comentarios"
"No Comments","No hay comentarios"
"1 Comment","1 comentario"
"Comment","Comentario"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","Utiliza <code>get_trackback_url()</code> en su lugar si no quieres un valor vacío."
"Comments Off","Comentarios desactivados"
"Enter your password to view comments.","Escribe tu contraseña para ver los comentarios."
"Comment on %s","Comentarios en %s"
"Reply","Responder"
"Log in to Reply","Inicia sesión para responder"
"Leave a Comment","Dejar un comentario"
"Log in to leave a Comment","Inicia sesión para dejar un comentario"
"Click here to cancel reply.","Clic para cancelar respuesta."
"Leave a Reply","Deja un comentario"
"Leave a Reply to %s","Responder a %s"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">dice:</span>"
"Your comment is awaiting moderation.","Tu comentario está pendiente de moderación."
"%s at %s","%s en %s"
"(Edit)","(Editar)"
"Email","Correo electrónico"
"Website","Web"
"Required fields are marked %s","Los campos necesarios están marcados %s"
"You must be <a href=\"%s\">logged in</a> to post a comment.","Disculpa, debes <a href=\"%s\">iniciar sesión</a> para escribir un comentario."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","Conectado como <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Salir de esta cuenta\">¿Quieres salir?</a>"
"Your email address will not be published.","Tu dirección de correo electrónico no será publicada."
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","Puedes usar las siguientes etiquetas y atributos <abbr title=\"HyperText Markup Language\">HTML</abbr>: %s"
"Cancel reply","Cancelar respuesta"
"Post Comment","Publicar comentario"
"Unapproved","Rechazado"
"Approved","Aprobado"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","Comentario duplicado: ¡parece que ya había sido enviado antes!"
"You are posting comments too quickly. Slow down.","Estás publicando comentarios demasiado rápido. Frena."
"Could not update comment status","No ha sido posible actualizar el estado del comentario"
"This argument has changed to an array to match the behavior of the other cron functions.","Este argumento ha cambiado a un array para que coincida con el comportamiento de otras funciones de cron."
"Once Hourly","Cada hora"
"Twice Daily","Dos veces al día"
"Once Daily","Cada día"
"Your site&#8217;s WordPress Pages","Las Páginas de tu sitio de WordPress"
"Sort by:","Ordenar por:"
"Page title","Título de la página"
"Page order","Orden de la página"
"Page ID","ID de la página"
"Exclude:","Excluir:"
"Page IDs, separated by commas.","IDs de página, separados por comas."
"Your blogroll","Tus sitios de interés"
"Links","Enlaces"
"Select Link Category:","Elige una categoría de enlace:"
"All Links","Todos los enlaces"
"Link title","Título de enlace"
"Link rating","Valoración de los enlaces"
"Link ID","ID de enlace"
"Random","Aleatorio"
"Show Link Image","Mostrar la imagen del enlace"
"Show Link Name","Mostrar el nombre del enlace"
"Show Link Description","Mostrar la descripción del enlace"
"Show Link Rating","Mostrar la clasificación del enlace"
"Number of links to show:","Número de enlaces a mostrar:"
"A search form for your site","Un formulario de búsqueda para tu sitio"
"A monthly archive of your site&#8217;s posts","Un archivo mensual de las entradas de tu sitio"
"Archives","Archivos"
"Select Month","Elegir mes"
"Display as dropdown","Mostrar como desplegable"
"Show post counts","Mostrar la cantidad de entradas"
"Log in/out, admin, feed and WordPress links","Inicio/Cierre de sesión, administración, RSS y enlaces de WordPress"
"Syndicate this site using RSS 2.0","Suscribirse a este sitio usando RSS 2.0"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","<abbr title=\"Really Simple Syndication\">RSS</abbr> de las entradas"
"The latest comments to all posts in RSS","Últimos comentarios a todas las entradas en RSS"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","<abbr title=\"Really Simple Syndication\">RSS</abbr> de los comentarios"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","Gestionado con WordPress, una avanzada plataforma semántica de publicación personal."
"A calendar of your site&#8217;s posts","Un calendario de las entradas de tu sitio"
"Calendar","Calendario"
"Arbitrary text or HTML","Texto o HTML arbitrario"
"Automatically add paragraphs","Añadir párrafos automáticamente"
"A list or dropdown of categories","Una lista o desplegable de categorías"
"Select Category","Elegir categoría"
"Show hierarchy","Mostrar jerarquía"
"The most recent posts on your site","Las entradas más recientes de tu sitio"
"Recent Posts","Entradas recientes"
"Number of posts to show:","Número de entradas a mostrar:"
"Display post date?","¿Mostrar la fecha de la entrada?"
"The most recent comments","Los comentarios más recientes"
"Recent Comments","Comentarios recientes"
"%s on %s","%s en %s"
"Number of comments to show:","Número de comentarios a mostrar:"
"Entries from any RSS or Atom feed","Entradas desde cualquier feed RSS o Atom"
"Unknown Feed","Feed desconocido"
"Syndicate this content","Sindicar este contenido"
"<strong>RSS Error</strong>: %s","<strong>Error en el RSS:</strong> %s"
"An error has occurred, which probably means the feed is down. Try again later.","Ha ocurrido un error, probablemente el feed esté caído. Inténtalo de nuevo más tarde."
"Untitled","Sin título"
"Enter the RSS feed URL here:","Introduce la URL del feed RSS aquí:"
"Give the feed a title (optional):","Dale un título al feed (opcional):"
"How many items would you like to display?","¿Cuantos elementos te gustaría mostrar?"
"Display item content?","¿Mostrar el contenido?"
"Display item author if available?","¿Mostrar el autor si está disponible?"
"Display item date?","¿Mostrar la fecha?"
"Your most used tags in cloud format","Las etiquetas más utilizadas en formato de nube"
"Tag Cloud","Nube de etiquetas"
"Taxonomy:","Taxonomía:"
"Use this widget to add one of your custom menus as a widget.","Usa este widget para añadir uno de tus menús de navegación como widget."
"Custom Menu","Menú personalizado"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","Aún no se han creado menús. <a href=\"%s\">Crea alguno</a>."
"Select Menu:","Elegir menú:"
"new WordPress Loop","nuevo Loop de WordPress"
"None","Ninguna"
"Last updated","Última actualización"
"Missing Attachment","Falta el archivo"
"First Post","Primera entrada"
"Last Post","Última entrada"
"Are you sure you want to do this?","¿Seguro que quieres hacer esto?"
"File &#8220;%s&#8221; doesn&#8217;t exist?","¿El archivo &#8220;%s&#8221; no existe?"
"The GD image library is not installed.","La librería de imágenes GD no está instalada."
"File &#8220;%s&#8221; is not an image.","El archivo &#8220;%s&#8221; no es una imagen."
"Comments on %s","Comentarios en %s"
"Comments for %s searching on %s","Comentarios para %s buscando en %s"
"Comments for %s","Comentarios para %s"
"Comment on %s by %s","Comentario en %s por %s"
"By: %s","Por: %s"
"Comments on: %s","Comentarios en: %s"
"Protected Comments: Please enter your password to view comments.","Comentarios protegidos: Por favor, escribe tu contraseña para ver los comentarios."
"%s hour","%s hora"
"%s hours","%s horas"
"%s day","%s día"
"%s days","%s días"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","La dirección de correo electrónico parece que no es válida. Por favor, introduce una válida."
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","La dirección de WordPress parece no ser una URL válida. Por favor, introduce una válida."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","La dirección del sitio no parece ser una URL válida. Por favor, introduce una válida."
"The timezone you have entered is not valid. Please select a valid timezone.","La zona horaria que has introducido no es válida. Por favor, selecciona una zona horaria válida."
", and",", y "
"and","y "
"ERROR: %s is not a valid feed template.","ERROR: %s no es una plantilla de feed válida."
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","Una o más tablas de la base de datos no están disponibles. La base de datos podría necesitar ser <a href=\"%s\">reparada</a>."
"Unable to create directory %s. Is its parent directory writable by the server?","No se pudo crear el directorio %s. Asegúrate de que el servidor tiene permisos de escritura para el directorio superior."
"Empty filename","El nombre de archivo está vacío."
"Invalid file type","Tipo de archivo no válido"
"Could not write file %s","No se pudo escribir el archivo %s."
"WordPress Failure Notice","Aviso de fallo de WordPress"
"You are attempting to log out of %s","Estás intentando cerrar tu sesión en %s."
"Do you really want to <a href='%s'>log out</a>?","¿Estás seguro de que quieres <a href='%s'>desconectarte</a>?"
"Please try again.","Por favor, inténtalo de nuevo."
"&laquo; Back","&laquo; Volver"
"Database Error","Error de la base de datos"
"Error establishing a database connection","Error estableciendo una conexión con la base de datos"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","%s está <strong>obsoleto</strong> desde la versión %s. Utiliza %s en su lugar."
"%s is <strong>deprecated</strong> since version %s with no alternative available.","%s está <strong>obsoleto</strong> desde la versión %s y no hay alternativas disponibles."
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","%s fue llamado con un argumento que está <strong>obsoleto</strong> desde la versión %s! %s"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","%s fue llamado con un argumento que está <strong>obsoleto</strong> desde la versión %s y no hay alternativas disponibles."
"(This message was added in version %s.)","(Este mensaje se añadió en la versión %s.)"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","Por favor, mira <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> para más información."
"%s was called <strong>incorrectly</strong>. %s %s","%s se llamó <strong>incorrectamente</strong>. %s %s"
"Select a city","Elige una ciudad"
"Manual Offsets","Desplazamientos manuales"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","Los scripts y estilos que utilices no deberías utlizarlos (registrarlos o engancharlos) a los ganchos %s1, %s2 y %s3."
"Search for:","Buscar por:"
"Log in","Acceder"
"Log out","Desconectar"
"Username","Nombre de usuario"
"Password","Contraseña"
"Remember Me","Recuérdame"
"Log In","Acceder"
"Register","Registrarse"
"Site Admin","Administrador del sitio"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","La opción <code>%s</code> es obsoleta, ya no se utiliza en la familia de funciones <code>bloginfo()</code>."
"Use the <code>%s</code> option instead.","Usa la opción <code>%s</code> en su lugar."
"Search Results %s %s","Resultados de la búsqueda %s %s"
"Page not found","No se encontró la página"
"View posts for %s %s","Ver todas las entradas para %s %s"
"%s %s Comments Feed","%s %s RSS de los comentarios"
"%s %s %s Comments Feed","%s %s %s RSS de los comentarios"
"%s %s %s Category Feed","%s %s %s RSS de la categoría"
"%s %s %s Tag Feed","%s %s %s RSS de la etiqueta"
"%s %s Posts by %s Feed","%s %s RSS de las entradas de %s"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s Resultados de búsqueda para &#8220;%s&#8221; RSS"
"&laquo; Previous","&laquo; Anterior"
"Next &raquo;","Siguiente &raquo;"
"Blue","Azul"
"Gray","Gris"
"Do you want to use the WYSIWYG mode for this textarea?","¿Quieres usar el editor visual en este área de texto?"
"Apply","Aplicar"
"Insert","Insertar"
"Close","Cerrar"
"Browse","Examinar"
"Class","Clase"
"-- Not set --","-- Sin configurar --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","Copiar/Cortar/Pegar no está disponible en Mozilla y Firefox"
"Currently not supported by your browser, use keyboard shortcuts instead.","Actualmente no es compatible con tu navegador, en su lugar puedes utilizar los atajos de teclado."
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","Disculpa, parece que tu bloqueador de ventanas emergentes ha bloqueado una ventana que proporciona funciones de la aplicación. Tendrás que desactivar el bloqueador si quieres usar esta herramienta."
"ERROR: Invalid values entered, these are marked in red.","Error: Se han introducido valores incorrectos que han sido marcados en rojo."
"{#field} must be a number","{#field} debe ser un número"
"{#field} must be a number greater than {#min}","{#field} debe ser un número mayor que {#min}"
"{#field} must be a number or percentage","{#field} debe ser un número o porcentaje"
"More colors","Más colores"
"Black","Negro"
"Burnt orange","Naranja quemado"
"Dark olive","Verde oliva oscuro"
"Dark green","Verde oscuro"
"Dark azure","Azur oscuro"
"Navy Blue","Azul marino"
"Indigo","Índigo"
"Very dark gray","Gris muy oscuro"
"Maroon","Granate"
"Orange","Naranja"
"Olive","Verde oliva"
"Green","Verde"
"Teal","Turquesa"
"Grayish blue","Azul grisáceo"
"Red","Rojo"
"Amber","Ámbar"
"Yellow green","Verde amarillento"
"Sea green","Verde mar"
"Turquoise","Turquesa"
"Royal blue","Azul real"
"Purple","Púrpura"
"Medium gray","Gris medio"
"Gold","Dorado"
"Yellow","Amarillo"
"Lime","Lima"
"Aqua","Agua"
"Sky blue","Azul cielo"
"Brown","Marrón"
"Silver","Gris"
"Pink","Rosa"
"Peach","Melocotón"
"Light yellow","Amarillo claro"
"Pale green","Verde pálido"
"Pale cyan","Cian pálido"
"Light sky blue","Azul cielo claro"
"Plum","Ciruela"
"White","Blanco"
"Alignment","Alineación"
"Full","Completo"
"%sY-%sm-%d","%d-%sm-%sY"
"Insert date","Insertar fecha"
"Insert time","Insertar hora"
"January","enero"
"February","febrero"
"March","marzo"
"April","abril"
"May","mayo"
"June","junio"
"July","julio"
"August","agosto"
"September","septiembre"
"October","octubre"
"November","noviembre"
"December","diciembre"
"Jan_January_abbreviation","ene"
"Feb_February_abbreviation","feb"
"Mar_March_abbreviation","mar"
"Apr_April_abbreviation","abr"
"May_May_abbreviation","may"
"Jun_June_abbreviation","jun"
"Jul_July_abbreviation","jul"
"Aug_August_abbreviation","ago"
"Sep_September_abbreviation","sep"
"Oct_October_abbreviation","oct"
"Nov_November_abbreviation","nov"
"Dec_December_abbreviation","dic"
"Sunday","Domingo"
"Monday","Lunes"
"Tuesday","Martes"
"Wednesday","Miércoles"
"Thursday","Jueves"
"Friday","Viernes"
"Saturday","Sábado"
"Sun","Dom"
"Mon","Lun"
"Tue","Mar"
"Wed","Mie"
"Thu","Jue"
"Fri","Vie"
"Sat","Sab"
"Print","Imprimir"
"Preview","Vista previa"
"Direction left to right","Dirección de izquierda a derecha"
"Direction right to left","Dirección de derecha a izquierda"
"Insert new layer","Insertar nueva capa"
"Move forward","Avanzar"
"Move backward","Retroceder"
"Toggle absolute positioning","Cambiar la posición absoluta"
"New layer...","Nueva capa..."
"Cancel all changes","Cancelar todos los cambios"
"Insert non-breaking space character","Insertar un caracter de espacio"
"Run spell checking","Iniciar el corrector ortográfico"
"ieSpell not detected. Do you want to install it now?","No se ha detectado ieSpell. ¿Quieres instalarlo ahora?"
"Horizontal rule","Regla horizontal"
"Emotions","Emoticonos"
"Find","Buscar"
"Find/Replace","Buscar/Remplazar"
"Insert/edit image","Insertar/Editar imagen"
"Insert/edit link","Insertar/Editar enlace"
"Citation","Cita"
"Abbreviation","Abreviatura"
"Acronym","Acrónimo"
"Deletion","Borrado"
"Insertion","Insertar"
"Insert/Edit Attributes","Insertar/Editar atributos"
"Edit CSS Style","Editar la hoja de estilos CSS"
"Paste as Plain Text","Pegar como texto plano"
"Paste from Word","Pegar desde Word"
"Select All","Elegir todo"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Pegar está ahora en modo de texto sin formato. Haz clic de nuevo para volver al modo de pegado regular. Después de pegar algo se te devolverá al modo de pegado normal."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","Pegar está ahora en modo de texto sin formato. Haz clic de nuevo para volver al modo de pegado normal."
"Use CTRL+V on your keyboard to paste the text into the window.","Usa CTRL+V en tu teclado para pegar el texto en la ventana."
"Keep linebreaks","Conservar los saltos de línea"
"Inserts a new table","Insertar una nueva tabla"
"Insert row before","Insertar fila encima"
"Insert row after","Insertar fila debajo"
"Delete row","Borrar fila"
"Insert column before","Insertar columna a la izquierda"
"Insert column after","Insertar columna a la derecha"
"Remove column","Borrar columna"
"Split merged table cells","Dividir celdas combinadas"
"Merge table cells","Combinar celdas"
"Table row properties","Propiedades de fila"
"Table cell properties","Propiedades de celda"
"Table properties","Propiedades de tabla"
"Paste table row before","Pegar fila encima"
"Paste table row after","Pegar fila debajo"
"Cut table row","Cortar fila"
"Copy table row","Copiar fila"
"Delete table","Borrar tabla"
"Row","Fila"
"Column","Columna"
"Cell","Celda"
"The changes you made will be lost if you navigate away from this page.","Los cambios realizados se perderán si abres otra página."
"Toggle fullscreen mode (Alt + Shift + G)","Activar/desactivar pantalla completa (Alt + Shift + G)"
"Insert / edit embedded media","Insertar / editar inserción de archivos"
"Edit embedded media","Editar medios incrustados"
"Document properties","Propiedades del documento"
"Insert predefined template content","Insertar la plantilla predefinida de contenido"
"Visual control characters on/off.","Control visual de los caracteres on/off."
"Toggle spellchecker (Alt + Shift + N)","Activar/desactivar corrector (Alt + Shift + N)"
"Spellchecker settings","Opciones del corrector ortográfico"
"Ignore word","Ignorar palabra"
"Ignore all","Ignorar todo"
"Languages","Idiomas"
"Please wait...","Un momento..."
"Suggestions","Sugerencias"
"No suggestions","No hay sugerencias"
"This is somewhat embarrassing, isn&rsquo;t it?","Esto es algo embarazoso ¿no?"
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","Parece que no encontramos lo que estás intentando localizar. Es posible que le ayude buscarlo."
"Daily Archives: %s","Archivo por días: %s"
"Monthly Archives: %s","Archivo por meses: %s"
"Yearly Archives: %s","Archivo por años: %s"
"Author Archives: %s","Archivo del Autor: %s"
"About %s","Acerca de %s"
"Category Archives: %s","Archivo de la categoría: %s"
"One thought on &ldquo;%s&rdquo;","Un pensamiento en &ldquo;%s&rdquo;"
"%s thoughts on &ldquo;%s&rdquo;","%s pensamientos en &ldquo;%s&rdquo;"
"Comment navigation","Navegación de comentarios"
"&larr; Older Comments","&larr; Comentarios más antiguos"
"Newer Comments &rarr;","Comentarios más recientes &rarr;"
"Permalink to %s","Enlace permanente a %s"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Sigue leyendo <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","Deja una respuesta"
"1 Reply","1 respuesta"
"%s Replies","%s respuestas"
"Nothing Found","No se ha encontrado nada"
"Apologies, but no results were found. Perhaps searching will help find a related post.","Disculpas, pero no se han encontrado resultados. Quizás pueda buscar una entrada relacionada."
"Featured post","Entrada destacada"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","Ver todas las entradas por %s <span class=\"meta-nav\">&rarr;</span>"
"Semantic Personal Publishing Platform","Plataforma semántica de publicación personal"
"Proudly powered by %s","Creado con %s"
"Primary Menu","Menú principal"
"on","activada"
"no-subset","sin derivadas"
"Page %s","Página %s"
"Main Sidebar","Barra lateral principal"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","Aparece en entradas y páginas excepto en la plantilla opcional de página principal, que tiene sus propios widgets "
"First Front Page Widget Area","Primer area de widgets de página principal"
"Appears when using the optional Front Page template with a page set as Static Front Page","Aparece al usar la plantilla opcional de página principal con una página establecida como página principal estática"
"Second Front Page Widget Area","Segunda area de widgets de página principal"
"Post navigation","Navegación de entradas"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> Entradas más antiguas"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","Entradas más nuevas <span class=\"meta-nav\">&rarr;</span>"
"Pingback:","Pingback: "
"Post author","Autor"
"View all posts by %s","Ver todas las entradas de %s"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","Esta entrada se publicó en %s y está etiquetada con %s en %s<span class=\"by-author\"> por %s</span>."
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","Esta entrada fue publicada en %s el %s<span class=\"by-author\"> por %s</span>."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","Esta entrada fue publicada el %s<span class=\"by-author\"> por %s</span>."
"Menu","Menú"
"Skip to content","Ir al contenido"
