"New password","Uusi salasana"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","suomi=fi,ruotsi=sv,englanti=en,tanska=da,hollanti=nl,ranska=fr,saksa=de,italia=it,puola=pl,portugali=pt,espanja=es"
"Update","Päivitä"
"Save","Tallenna"
"Exit fullscreen","Poistu koko ruudun tilasta"
"Bold (Ctrl + B)","Lihavoitu (Ctrl + B)"
"Italic (Ctrl + I)","Kursiivi (Ctrl + I)"
"Unordered list (Alt + Shift + U)","Järjestämätön lista (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","Järjestetty lista (Alt + Shift + O)"
"Blockquote (Alt + Shift + Q)","Lainaus (Alt + Shift + Q)"
"Insert/edit image (Alt + Shift + M)","Lisää/muokkaa kuva(a) (Alt + Shift + M)"
"Insert/edit link (Alt + Shift + A)","Lisää/muokkaa linkki(ä) (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","Poista linkki (Alt + Shift + S)"
"Help (Alt + Shift + H)","Ohje (Alt + Shift + H)"
"Updated.","Päivitetty."
"Saved.","Tallennettu."
"Enter title here","Syötä otsikko tähän"
"Word count: %s","Sanojen lukumäärä: %s"
"Just write.","Kirjoita."
"Y/m/d","j.n.Y"
"Enter the destination URL","Kirjoita kohteen URL"
"Title","Otsikko"
"Open link in a new window/tab","Avaa linkki uuteen ikkunaan tai välilehteen"
"Or link to existing content","tai linkitä olemassa olevaan sisältöön"
"No search term specified. Showing recent items.","Et syöttänyt hakusanaa. Näytetään uusimmat kohteet."
"Add Link","Lisää linkki"
"Cancel","Peruuta"
"File doesn&#8217;t exist?","Tiedostoa ei ole olemassa?"
"File is not an image.","Tiedosto ei ole kuva."
"Could not read image size.","Kuvan kokoa ei voitu lukea."
"Image resize failed.","Kuvan skaalaus epäonnistui."
"Could not calculate resized image dimensions","Skaalatun kuvan kokoa ei voitu laskea"
"Image crop failed.","Kuvan rajaus epäonnistui."
"Image rotate failed.","Kuvan kääntö epäonnistui."
"Image flip failed.","Kuvan peilaus epäonnistui."
"Image Editor Save Failed","Kuvan tallennus epäonnistui"
"Could not read image size","Kuvan koon lukeminen ei onnistunut"
"The theme directory does not exist.","Teeman hakemistoa ei ole olemassa."
"Stylesheet is missing.","Tyylitiedosto puuttuu."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","VIRHE: teemahakemisto on joko tyhjä tai sitä ei ole olemassa. Tarkista WP-asennuksesi."
"Stylesheet is not readable.","Tyylitiedostoa ei voida lukea."
"Template is missing.","Sivupohja puuttuu."
"The parent theme is missing. Please install the \"%s\" parent theme.","Pääteema puuttuu. Asenna \"%s\"-pääteema."
"The \"%s\" theme is not a valid parent theme.","\"%s\"-teema ei ole kelvollinen isäntäteema (parent theme)."
"Visit author homepage","Tekijän kotisivu"
"Anonymous","Nimetön"
",",", "
"XML-RPC services are disabled on this site.","XML-RPC-palvelut eivät ole käytössä tällä sivustolla."
"Incorrect username or password.","Virheellinen käyttäjätunnus tai salasana."
"Software Name","Ohjelmiston nimi"
"Software Version","Ohjelmiston versio"
"Site URL","Sivuston URL"
"Home URL","Sivuston URL"
"Image default link type","Kuvan oletuslinkkityyppi"
"Image default size","Kuvan oletuskoko"
"Image default align","Kuvan oletusasemointi"
"Template","Sivupohja"
"Stylesheet","Tyylitiedosto"
"Post Thumbnail","Artikkelikuva"
"Time Zone","Aikavyöhyke"
"Site Tagline","Sivuston kuvaus"
"Date Format","Päivämäärän oletusmuoto"
"Time Format","Kellonajan oletusmuoto:"
"Allow new users to sign up","Salli uusien käyttäjien rekisteröityminen"
"Thumbnail Width","Pikkukuvan leveys"
"Thumbnail Height","Pikkukuvan korkeus"
"Crop thumbnail to exact dimensions","Rajaa haluamasi kokoiseksi"
"Medium size image width","Keskikokoisen kuvan leveys"
"Medium size image height","Keskikokoisen kuvan korkeus"
"Large size image width","Suuren kuvan leveys"
"Large size image height","Suuren kuvan korkeus"
"Allow people to post comments on new articles","Salli uusien artikkelien kommentointi."
"Allow link notifications from other blogs (pingbacks and trackbacks)","Salli linkki-ilmoitukset muista blogeista (päivitysilmoitukset ja paluuviitteet)"
"Insufficient arguments passed to this XML-RPC method.","Tälle XML-RPC-metodille ei annettu tarpeeksi argumentteja."
"Invalid post type","Väärä artikkelityyppi"
"Invalid post ID.","Artikkelin tunnus ei kelpaa."
"Sorry, you are not allowed to edit this post.","Et voi muokata tätä artikkelia."
"The post type may not be changed.","Artikkelityyppiä ei voi muuttaa."
"Sorry, you are not allowed to post on this site.","Valitettavasti sinulla ei ole oikeutta julkaista artikkeleita tällä sivustolla."
"Sorry, you are not allowed to create private posts in this post type","Valitettavasti sinulla ei ole oikeutta merkitä tämän tyyppisiä artikkeleita yksityiseksi"
"Sorry, you are not allowed to publish posts in this post type","Valitettavasti sinulla ei ole oikeutta julkaista tämän sisältötyypin artikkeleita."
"Sorry, you are not allowed to create password protected posts in this post type","Valitettavasti sinulla ei ole oikeutta suojata tämän tyyppisiä artikkeleita salasanalla."
"You are not allowed to create posts as this user.","Sinulla ei ole oikeutta luoda artikkeleita tämän käyttäjän nimissä."
"Invalid author ID.","Väärä kirjoittajan ID."
"Sorry, you cannot stick a private post.","Yksityistä artikkelia ei voi kiinnittää etusivulle."
"Sorry, you are not allowed to stick this post.","Valitettavasti sinulla ei ole oikeutta kiinnittää tätä artikkelia etusivulle."
"Invalid attachment ID.","Virheellinen liitteen tunnus."
"Sorry, one of the given taxonomies is not supported by the post type.","Valitettavasti yhtä näistä luokitteluista ei voi käyttää tässä sisältötyypistä."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Valitettavasti sinulla ei ole oikeutta lisätä käsitteitä yhteen näistä luokitteluista."
"Invalid term ID","Termin ID ei kelpaa."
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Hierarkkisen luokittelun käsite ei ole yksiselitteinen. Käytä käsitteen ID:tä."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Sinulla ei valitettavasti ole oikeutta lisätä uutta käsitettä yhteen annetuista luokitteluista."
"Sorry, your entry could not be posted. Something wrong happened.","Tallennus epäonnistui. Jotain meni pieleen."
"There is a revision of this post that is more recent.","Tästä artikkelista löytyy uudempi versio."
"Sorry, you are not allowed to delete this post.","Et voi poistaa tätä artikkelia."
"The post cannot be deleted.","Artikkelia ei voida poistaa."
"Sorry, you cannot edit this post.","Sinulla ei ole tämän artikkelin muokkaukseen tarvittavaa oikeutta."
"The post type specified is not valid","Annettu artikkelityyppi ei kelpaa"
"Sorry, you are not allowed to edit posts in this post type","Et voi muokata tämän tyyppisiä artikkeleita"
"Invalid taxonomy","Luokittelu ei kelpaa"
"You are not allowed to create terms in this taxonomy.","Et voi muokata tämän taksonomian käsitteitä."
"The term name cannot be empty.","Käsitteen nimi ei voi olla tyhjä."
"This taxonomy is not hierarchical.","Tämä taksonomia ei ole hierarkkinen."
"Parent term does not exist.","Yläkäsitettä ei ole olemassa."
"Sorry, your term could not be created. Something wrong happened.","Käsitettä ei voitu luoda. Jokin meni vikaan."
"You are not allowed to edit terms in this taxonomy.","Sinulla ei ole oikeuksia tämän taksonomian käsitteiden muokkaamiseen."
"This taxonomy is not hierarchical so you can't set a parent.","Yläkäsitettä ei voi määritellä, koska tämä taksonomia ei ole hierarkkinen."
"Sorry, editing the term failed.","Käsitteen muokkaaminen ei onnistunut."
"You are not allowed to delete terms in this taxonomy.","Sinulla ei ole oikeuksia tämän taksonomian käsitteiden poistamiseen."
"Sorry, deleting the term failed.","Käsitteen poistaminen ei onnistunut."
"You are not allowed to assign terms in this taxonomy.","Sinulla ei ole oikeuksia uusien käsitteiden lisäämiseen tässä taksonomiassa."
"Sorry, you cannot edit users.","Sinulla ei ole käyttäjien muokkaamiseen tarvittavaa oikeutta."
"Invalid user ID","Käyttäjän tunnus ei kelpaa"
"Sorry, you cannot list users.","Sinulla ei ole oikeuksia listata käyttäjiä."
"The role specified is not valid","Annettu rooli on virheellinen"
"Sorry, you cannot edit your profile.","Sinulla ei ole profiilisi muokkaamiseen tarvittavia oikeuksia."
"Sorry, the user cannot be updated.","Käyttäjää ei voida päivittää."
"Sorry, you cannot edit this page.","Sinulla ei ole sivun muokkaamiseen tarvittavia oikeuksia."
"Sorry, no such page.","Sivua ei ole."
"Sorry, you cannot edit pages.","Sinulla ei ole sivujen muokkaamiseen tarvittavaa oikeutta."
"Sorry, you do not have the right to delete this page.","Sinulla ei ole tämän sivun poistamiseen tarvittavaa oikeutta."
"Failed to delete the page.","Sivun poistaminen epäonnistui."
"Sorry, you do not have the right to edit this page.","Sinulla ei ole tämän sivun muokkaukseen tarvittavaa oikeutta."
"Sorry, you cannot edit posts on this site.","Pahoittelemme, et voi muokata artikkeleita tällä sivustolla."
"Sorry, you must be able to edit posts on this site in order to view tags.","Pahoittelut, tarvitset artikkelien muokkausoikeudet jotta voit nähdä avainsanaluettelon."
"Sorry, you do not have the right to add a category.","Sinulla ei ole kategorian lisäämiseen tarvittavaa oikeutta."
"Sorry, the new category failed.","Kategorian lisääminen epäonnistui."
"Sorry, you do not have the right to delete a category.","Sinulla ei ole tämän artikkelin poistamiseen tarvittavaa oikeutta."
"Sorry, you must be able to edit posts to this site in order to view categories.","Pahoittelemme, sinun pitää pystyä muokkaamaan artikkeleita nähdäksesi kategoriat."
"You are not allowed to moderate comments on this site.","Et saa moderoida kommentteja tällä sivustolla."
"Invalid comment ID.","Kommentin ID ei kelpaa."
"Sorry, you cannot edit comments.","Sinulla ei ole kommenttien muokkaamiseen tarvittavaa oikeutta."
"Invalid comment status.","Kommentin tila ei kelpaa."
"Sorry, the comment could not be edited. Something wrong happened.","Kommentin muokkaus epäonnistui. Jotain meni pieleen."
"You must be registered to comment","Vain rekisteröityneet ja sisäänkirjautuneet käyttäjät voivat kommentoida."
"Comment author name and email are required","Nimi ja sähköposti tulee ilmoittaa."
"A valid email address is required","Syötä voimassa oleva sähköpostiosoite"
"You are not allowed access to details about this site.","Sinulla ei ole oikeuksia nähdä tietoja tästä sivustosta."
"You are not allowed access to details about comments.","Sinulla ei ole kommenttien yksityiskohtien tarkastelemiseen tarvittavia oikeuksia."
"You are not allowed to update options.","Sinulla ei ole asetusten päivittämiseen tarvittavaa oikeutta."
"You do not have permission to upload files.","Sinulla ei ole tiedostojen siirtoon tarvittavaa oikeutta."
"Sorry, you are not allowed to edit this post type.","Valitettavasti et voi muokata tätä tiedostomuotoa."
"Invalid post ID","Artikkelin tunnus ei kelpaa"
"Sorry, you are not allowed to edit posts.","Sinulla ei ole artikkelien muokkaamiseen tarvittavia oikeuksia."
"Sorry, revisions are disabled.","Versiointi on poissa käytöstä."
"Sorry, you do not have access to user data on this site.","Pahoittelut, sinulla ei ole oikeutta nähdä tämän käyttäjän tietoja."
"Either there are no posts, or something went wrong.","Artikkeleita ei ole tai jotain meni pieleen."
"Sorry, that file cannot be edited.","Valitettavasti tätä tiedostoa ei voi muokata."
"Sorry, no such post.","Artikkelia ei ole."
"Sorry, you do not have the right to edit this post.","Sinulla ei ole tämän artikkelin muokkaukseen tarvittavaa oikeutta."
"Sorry, you do not have the right to publish this post.","Sinulla ei ole tämän artikkelin julkaisemiseen tarvittavaa oikeutta."
"For some strange yet very annoying reason, this post could not be edited.","Muokkaus epäonnistui jostain oudosta ja hyvin ärsyttävästä syystä."
"Sorry, you do not have the right to delete this post.","Sinulla ei ole tämän artikkelin poistamiseen tarvittavaa oikeutta."
"For some strange yet very annoying reason, this post could not be deleted.","Poistaminen epäonnistui jostain oudosta ja hyvin ärsyttävästä syystä."
"Sorry, you are not allowed to publish pages on this site.","Valitettavasti sinulla ei ole oikeutta julkaista sivuja tällä sivustolla."
"Sorry, you are not allowed to publish posts on this site.","Valitettavasti sinulla ei ole oikeutta julkaista artikkeleita tällä sivustolla."
"Invalid post format","Virheellinen artikkelimuoto."
"You are not allowed to create pages as this user.","Sinulla ei ole sivujen luomiseen tarvittavaa oikeutta."
"You are not allowed to change the post author as this user.","Sinulla ei ole artikkelin kirjoittajan vaihtamiseen tarvittavaa oikeutta."
"You are not allowed to change the page author as this user.","Sinulla ei ole sivun kirjoittajan vaihtamiseen tarvittavaa oikeutta."
"Sorry, you do not have the right to publish this page.","Sinulla ei ole tämän sivun julkaisemiseen tarvittavaa oikeutta."
"Sorry, your entry could not be edited. Something wrong happened.","Tallennus epäonnistui. Jotain meni pieleen."
"Sorry, you must be able to edit posts on this site in order to view categories.","Pahoittelut, tarvitset artikkelien muokkausoikeudet jotta voit nähdä kategorialuettelon."
"Could not write file %s (%s)","Tiedoston %s (%s) tallennus ei onnistu"
"Sorry, you can not edit this post.","Sinulla ei ole tämän artikkelin muokkaukseen tarvittavaa oikeutta."
"Sorry, you cannot publish this post.","Et valitettavasti voi julkaista tätä artikkelia."
"Is there no link to us?","Eikö tänne ole linkkejä?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","Antamaasi URL-osoitteeseen ei voida lähettää päivitysilmoitusta. Kirjoitit osoitteen väärin tai kyseinen osoite ei voi vastaanottaa päivitysilmoituksia."
"The source URL and the target URL cannot both point to the same resource.","Lähde- ja kohdeosoite eivät saa viitata samaan resurssiin."
"The pingback has already been registered.","Päivitysilmoitus on jo rekisteröity."
"The source URL does not exist.","Lähdeosoitetta (URL) ei ole olemassa."
"We cannot find a title on that page.","Sivulta ei löydy otsikkoa."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","Lähdeosoitteesta ei löydy linkkiä kohdeosoitteeseen, joten se ei kelpaa lähteeksi."
"Pingback from %s to %s registered. Keep the web talking! :-)","Päivitysilmoitus %s artikkeliin %s havaittu."
"The specified target URL does not exist.","Kohdeosoitetta (URL) ei ole olemassa."
"%s Comments","%s kommenttia"
"No Comments","Ei kommentteja"
"1 Comment","1 kommentti"
"Comment","Kommentti"
"Trackback","Paluuviite"
"Pingback","Päivitysilmoitus"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","Käytä <code>get_trackback_url()</code> -funktiokutsua jos et halua tulostaa arvoa näkyviin."
"Comments Off","Kommentit poissa käytöstä"
"Enter your password to view comments.","Syötä salasanasi lukeaksesi kommentteja."
"Comment on %s","Kommentoi artikkelia %s"
"Reply","Vastaa"
"Log in to Reply","Kirjaudu sisään vastataksesi"
"Leave a Comment","Jätä kommentti"
"Log in to leave a Comment","Kirjaudu sisään kommentoidaksesi"
"Click here to cancel reply.","Napsauta peruuttaaksesi vastauksen."
"Leave a Reply","Vastaa"
"Leave a Reply to %s","Vastaa käyttäjälle %s"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">kirjoitti:</span>"
"Your comment is awaiting moderation.","Kommenttisi on arvioitavana."
"%s at %s","%s klo %s"
"(Edit)","(Muokkaa)"
"Email","Sähköpostiosoite"
"Website","Kotisivu"
"Required fields are marked %s","Pakolliset kentät on merkitty %s"
"You must be <a href=\"%s\">logged in</a> to post a comment.","Sinun täytyy <a href=\"%s\">kirjautua sisään</a> kommentoidaksesi."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","Kirjauduttu sisään käyttäjänä <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Kirjaudu ulos tästä tilistä\">Kirjaudu ulos?</a>"
"Your email address will not be published.","Sähköpostiosoitettasi ei julkaista."
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","Voit käyttää näitä <abbr title=\"HyperText Markup Language\">HTML</abbr>-tageja ja attribuutteja: %s"
"Cancel reply","Peruuta vastaus"
"Post Comment","Lähetä kommentti"
"Unapproved","Hylätyt"
"Approved","Hyväksytty"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","Identtinen kommentti on jo olemassa; taisit sanoa samat sanat jo aiemmin!"
"You are posting comments too quickly. Slow down.","Kirjoitat kommentteja liian nopeasti. Otahan rauhallisesti."
"Could not update comment status","Kommenttia ei voitu päivittää"
"This argument has changed to an array to match the behavior of the other cron functions.","Tämä argumentti on muutettu taulukoksi (array), jotta se vastaisi paremmin muiden cron-funktioiden toimintaa."
"Once Hourly","Kerran tunnissa"
"Twice Daily","Kahdesti päivässä"
"Once Daily","Kerran  päivässä"
"Your site&#8217;s WordPress Pages","Sivustosi WordPress-sivut"
"Sort by:","Lajittele:"
"Page title","Sivun otsikko"
"Page order","Sivujärjestys"
"Page ID","Sivun ID"
"Exclude:","Jätä pois:"
"Page IDs, separated by commas.","Sivujen tunnukset pilkuilla erotettuna."
"Your blogroll","Näyttää linkkilistan linkit"
"Links","Linkit"
"Select Link Category:","Valitse linkin kategoria."
"All Links","Kaikki linkit"
"Link title","Linkkiotsikko"
"Link rating","Luokittelu"
"Link ID","Linkin ID"
"Random","Satunnainen"
"Show Link Image","Linkki kuvaan"
"Show Link Name","Linkin nimi"
"Show Link Description","Linkin kuvaus"
"Show Link Rating","Näytä linkin arvio"
"Number of links to show:","Näytettävien linkkien määrä:"
"A search form for your site","Hakukenttä sivustollesi"
"A monthly archive of your site&#8217;s posts","Kuukausittainen arkisto sivustosi artikkeleista"
"Archives","Arkistot"
"Select Month","Valitse kuukausi"
"Display as dropdown","Näytä alasvetolaatikkona"
"Show post counts","Näytä artikkeleiden lukumäärä"
"Log in/out, admin, feed and WordPress links","Näyttää sisään- ja uloskirjautumisvalinnat, syötteet ja linkit"
"Syndicate this site using RSS 2.0","Seuraa sivustoa RSS 2.0 -syötteen avulla"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","Artikkeleiden <abbr title=\"Really Simple Syndication\">RSS</abbr>-syöte"
"The latest comments to all posts in RSS","Kommenttien RSS"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","Kommenttien <abbr title=\"Really Simple Syndication\">RSS</abbr>-syöte"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","Voimanlähteenä on WordPress, moderni ja semanttinen henkilökohtainen julkaisujärjestelmä."
"A calendar of your site&#8217;s posts","Sivustosi artikkelit kalenterimuodossa"
"Calendar","Kalenteri"
"Arbitrary text or HTML","Näyttää haluamasi tekstin tai HTML-koodin"
"Automatically add paragraphs","Muodosta automaattisesti kappaleita."
"A list or dropdown of categories","Näyttää listan tai alasvetovalikon kategorioista"
"Select Category","Valitse kategoria"
"Show hierarchy","Näytä hierarkia"
"The most recent posts on your site","Sivustosi viimeisimmät artikkelit"
"Recent Posts","Viimeisimmät artikkelit"
"Number of posts to show:","Näytettävien artikkeleiden lukumäärä:"
"Display post date?","Näytä artikkelin päivämäärä?"
"The most recent comments","Näyttää viimeisimmät kommentit"
"Recent Comments","Viimeisimmät kommentit"
"%s on %s","%s: %s"
"Number of comments to show:","Näytettävät kommentit:"
"Entries from any RSS or Atom feed","Näyttää artikkelit mistä tahansa RSS- tai ATOM-syötteestä"
"Unknown Feed","Tuntematon syöte"
"Syndicate this content","Seuraa syötteen avulla"
"<strong>RSS Error</strong>: %s","<strong>Virhe RSS-syötteessä:</strong> %s"
"An error has occurred, which probably means the feed is down. Try again later.","On tapahtunut virhe; syötteen palvelin ei luultavasti vastaa. Yritä myöhemmin uudestaan."
"Untitled","Nimetön"
"RSS Error: %s","Virhe RSS-syötteessä: %s"
"Enter the RSS feed URL here:","Syötä RSS-syötteen osoite (URL):"
"Give the feed a title (optional):","Anna syötteelle otsikko (valinnainen):"
"How many items would you like to display?","Montako syötteen elementeistä näytetään?"
"Display item content?","Näytä artikkelin sisältö?"
"Display item author if available?","Näytä artikkelin kirjoittaja?"
"Display item date?","Näytä artikkelipäivämäärä?"
"Your most used tags in cloud format","Näyttää käytetyimmät avainsanat pilvenä"
"Tag Cloud","Avainsanapilvi"
"Taxonomy:","Luokittelu:"
"Use this widget to add one of your custom menus as a widget.","Käytä tätä vimpainta lisätäksesi jonkun luomistasi valikoista sivupalkkiin."
"Custom Menu","Mukautettu valikko"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","Yhtään valikoita ei ole vielä luotu. <a href=\"%s\">Luo valikoita</a>."
"Select Menu:","Valitse valikko:"
"new WordPress Loop","uusi WordPress-silmukka"
"None","Ei mitään"
"Last updated","Päivitetty"
"Missing Attachment","Liite puuttuu"
"First Post","Ensimmäinen artikkeli"
"Last Post","Viimeinen artikkeli"
"Are you sure you want to do this?","Oletko varma?"
"File &#8220;%s&#8221; doesn&#8217;t exist?","Tiedostoa '%s' ei ole olemassa?"
"The GD image library is not installed.","GD-kuvankäsittelykirjastoa ei ole asennettu."
"File &#8220;%s&#8221; is not an image.","Tiedosto '%s' ei ole kuva."
"Comments on %s","Kommentit artikkeliin %s"
"Comments for %s searching on %s","Sivuston %s kommentit, hakutermi: %s"
"Comments for %s","Sivuston %s kommentit"
"Comment on %s by %s","%s on kommentoinut artikkelia %s"
"By: %s","Kirjoittaja: %s"
"Comments on: %s","Artikkelin %s kommentit"
"Protected Comments: Please enter your password to view comments.","Suojattuja kommentteja: syötä salasanasi lukeaksesi niitä."
"&#8220;","&#8221;"
"&#8216;","&#8217;"
"%s min","%s minuutti"
"%s mins","%s minuuttia"
"%s hour","%s tunti"
"%s hours","%s tuntia"
"%s day","%s päivä"
"%s days","%s päivää"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","Antamasi sähköpostiosoite ei ollut kelvollinen. Kirjoita kelvollinen osoite"
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","Antamasi WordPress-osoite ei ollut kelvollinen URL-osoite. Syötä kelvollinen URL-osoite."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","Sivuston osoite jonka annoit ei ollut kelvollinen URL-osoite. Anna kelvollinen URL-osoite."
"The timezone you have entered is not valid. Please select a valid timezone.","Syöttämäsi aikavyöhyke on virheellinen."
", and",", ja "
"and"," ja "
"ERROR: %s is not a valid feed template.","VIRHE: %s ei ole kelvollinen syötteen pohja"
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","Yksi tai useampi tietokantataulu ei ole saatavilla. Tietokanta voi vaatia <a href=\"%s\">korjausta</a>."
"Unable to create directory %s. Is its parent directory writable by the server?","Kansion %s luominen ei onnistu. Onko ylemmän tason kansio kirjoitussuojattu?"
"Empty filename","Tyhjä tiedostonimi"
"Invalid file type","Tiedoston tyyppi ei kelpaa"
"Could not write file %s","Tiedoston %s tallennus ei onnistu"
"WordPress Failure Notice","WordPressin virheilmoitus"
"You are attempting to log out of %s","Yrität kirjautua ulos sivustolta %s"
"Do you really want to <a href='%s'>log out</a>?","Haluatko varmasti <a href='%s'>kirjautua ulos</a>?"
"Please try again.","Yritä uudelleen."
"&laquo; Back","&laquo; Takaisin"
"WordPress &rsaquo; Error","WordPress &rsaquo; Virhe"
"Database Error","Tietokantavirhe"
"Error establishing a database connection","Tietokantayhteys epäonnistui"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","%s on <strong>kehotettu välttämään</strong> versiosta %s asti! Käytä sen sijaan %s."
"%s is <strong>deprecated</strong> since version %s with no alternative available.","%s on <strong>kehotettu välttämään</strong> versiosta %s asti! Vaihtoehtoja ei saatavilla."
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","%s kutsuttiin argumentilla, joka on ollut <strong>vanhentunut</strong> versiosta %s saakka! %s"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","%s kutsuttiin argumentilla, joka on ollut <strong>vanhentunut</strong> versiosta %s saakka. Uudempaa vaihtoehtoa ei ole saatavilla."
"(This message was added in version %s.)","(Tämä viesti lisättiin versioon %s.)"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","Lisätietoja: <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a>"
"%s was called <strong>incorrectly</strong>. %s %s","%s kutsuttiin <strong>väärin</strong>. %s%s"
"Select a city","Valitse kaupunki"
"Manual Offsets","Manuaaliset siirtymät"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","Skriptejä ja tyylitiedostoja ei tulisi rekisteröidä tai ottaa käyttöön ennen %s, %s, tai %s kutsuja."
"Search for:","Etsi"
"Log in","Kirjaudu sisään"
"Log out","Kirjaudu ulos"
"Username","Käyttäjänimi"
"Password","Salasana"
"Remember Me","Muista minut"
"Log In","Kirjaudu sisään"
"Register","Rekisteröidy"
"Site Admin","Sivuston hallinta"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","Optio <code>%s</code> on vanhentunut. Käytä sen sijaan <code>bloginfo()</code>-funktioita."
"Use the <code>%s</code> option instead.","Käytä asetusta <code>%s</code> sen sijaan."
"Search Results %s %s","Hakutulokset  %s %s"
"Page not found","Sivua ei löydy"
"View posts for %s %s","Artikkelit: %s %s"
"%s %s Feed","%s %s syöte"
"%s %s Comments Feed","%s %s kommenttien syöte"
"%s %s %s Comments Feed","%s %s %s kommenttien syöte"
"%s %s %s Category Feed","%s %s %s kategorian RSS-syöte"
"%s %s %s Tag Feed","%s %s %s avainsanan RSS-syöte"
"%s %s Posts by %s Feed","Kirjoittajan %s artikkelit sivustolla %s %s RSS-syöte"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s haun tulokset haulle &#8220;%s&#8221; RSS-syöte"
"%s %s %s Feed","%s %s %s RSS-syöte"
"&laquo; Previous","&laquo; Edellinen"
"Next &raquo;","Seuraava &raquo;"
"Blue","Sininen"
"Gray","Harmaa"
"Do you want to use the WYSIWYG mode for this textarea?","Haluatko käyttää graafista muokkainta tälle tekstikentälle?"
"Apply","Hyväksy"
"Insert","Lisää"
"Close","Sulje"
"Browse","Selaa"
"Class","Luokka"
"-- Not set --","- Ei asetettu -"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","Kopioi/Leikkaa/Liitä-toiminto ei toimi Mozilla Firefoxissa."
"Currently not supported by your browser, use keyboard shortcuts instead.","Selaimesi ei tue toimintoa, käytä sen sijaan näppäimistön pikanäppäimiä."
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","Selaimesi on estänyt ponnahdusikkunan, joka vaikuttaa ohjelmiston toimivuuteen. Poista ponnahdusikkunoiden esto käytöstä tältä sivulta saadaksesi graafisen muokkaimen täydellisesti käyttöön."
"ERROR: Invalid values entered, these are marked in red.","VIRHE: jotkut arvot ovat virheellisiä, ne on merkitty punaisella."
"{#field} must be a number","{#field} on oltava numero"
"{#field} must be a number greater than {#min}","{#field} on oltava numero, vähintään {#min}"
"{#field} must be a number or percentage","{#field} on oltava numero tai prosenttiarvo"
"More colors","Lisää värejä"
"Black","Musta"
"Burnt orange","oranssinruskea"
"Dark olive","tumma oliivi"
"Dark green","tummanvihreä"
"Dark azure","tumma taivaansininen"
"Navy Blue","tummansininen"
"Indigo","indigo"
"Very dark gray","tummanharmaa"
"Maroon","kastanjanruskea"
"Orange","Oranssi"
"Olive","oliivinvihreä"
"Green","Vihreä"
"Teal","tumma sinivihreä"
"Grayish blue","siniharmaa"
"Red","Punainen"
"Amber","kullanruskea"
"Yellow green","keltavihreä"
"Sea green","merenvihreä"
"Turquoise","turkoosi"
"Royal blue","syvänsininen"
"Purple","Lila"
"Medium gray","keskiharmaa"
"Magenta","magenta"
"Gold","kulta"
"Yellow","Keltainen"
"Lime","lime"
"Aqua","aqua"
"Sky blue","Taivaansininen"
"Brown","Ruskea"
"Silver","Hopea"
"Pink","Vaaleanpunainen"
"Peach","persikka"
"Light yellow","vaaleankeltainen"
"Pale green","vaaleanvihreä"
"Pale cyan","vaalea sinivihreä (syaani)"
"Light sky blue","vaalea taivaansininen"
"Plum","luumu"
