"New password","Nové heslo"
"WordPress.org","Česká lokalizace"
"http://wordpress.org/","http://cs.wordpress.org/"
"Documentation","Manuál (anglicky)"
"Support Forums","Fórum podpory (česky)"
"http://wordpress.org/support/","http://www.separatista.net/forum/"
"Feedback","Kontakt"
"http://wordpress.org/support/forum/requests-and-feedback","http://cs.wordpress.org/contact/"
"Howdy, %s","Přihlášený uživatel: %s"
"My Account","Můj účet"
"Edit My Profile","Profil"
"Log Out","Odhlásit se"
"Network Admin: %s","Síť webů: %s"
"Global Dashboard: %s","Globální nástěnka: %s"
"Visit Site","Zobrazit web"
"Edit Site","Upravit web"
"Dashboard","Nástěnka"
"My Sites","Moje weby"
"Network Admin","Administrace sítě webů"
"Sites","Weby"
"Users","Uživatelé"
"Visit Network","Zobrazit síť webů"
"New Post","Vytvořit příspěvek"
"Manage Comments","Komentáře"
"Shortlink","Zkrácený odkaz"
"User","Vytvořit uživatele"
"%s comment awaiting moderation","%s komentář čeká na schválení"
"%s comments awaiting moderation","%s komentáře čekají na schválení"
"Themes","Šablony"
"Customize","Přizpůsobit"
"Widgets","Widgety"
"Menus","Menu"
"Background","Pozadí"
"Header","Záhlaví"
"XML error: %s at line %d","Chyba v XML: %s na řádku %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Pokud nechcete autora přímo zobrazit, použijte raději funkci <code>get_the_author()</code>."
"Visit %s&#8217;s website","Navštívit web %s"
"Posts by %s","Příspěvky od %s"
"Last updated: %s","Poslední aktualizace: %s"
"Bookmarks","Záložky"
"Use <code>WP_User->ID</code> instead.","Použijte raději <code>WP_User->ID</code>."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","Starý systém číslovaných uživatelských úrovní používaný v pluginech a šablonách již není nadále podporován. Použijte místo něj raději současné uživatelské úrovně fungující na základě přidělování jednotlivých pravomocí."
"View all posts in %s","Zobrazit všechny příspěvky z rubriky %s"
"Uncategorized","Nezařazené"
"No categories","Žádné rubriky"
"%s topic","%s příspěvek"
"%s topics","%s příspěvky"
"View all posts filed under %s","Zobrazit všechny příspěvky zařazené do rubriky %s"
"Feed for all posts filed under %s","RSS zdroj pro všechny příspěvky zařazené do rubriky %s"
"Tags:","Štítky:"
"A valid URL was not provided.","Nebyla zadána platná URL adresa."
"User has blocked requests through HTTP.","Uživatel zablokoval požadavky přes HTTP protokol."
"Destination directory for file streaming does not exist or is not writable.","Cílový adresář pro streamování souboru patrně neexistuje nebo do něj není možné zapisovat."
"There are no HTTP transports available which can complete the requested request.","Požadovaná akce nemůže být dokončena, protože nejsou dostupné žádné možnosti přenosu prostřednictvím HTTP protokolu."
"Could not open handle for fopen() to %s","Nepodařilo se otevřít připojení pomocí fopen() k %s"
"Too many redirects.","Příliš mnoho podmínek pro přesměrování."
"Malformed URL: %s","Špatné URL: %s"
"No server specified","Nebyl specifikován žádný server"
"no login ID submitted","nebylo odesláno přihlašovací ID"
"connection not established","nepodařilo se navázat spojení"
"No password submitted","Nebylo zadáno heslo"
"Authentication failed","Přihlášení se nezdařilo"
"No connection to server","Není navázáno připojení k serveru"
"No login ID submitted","Nebylo odesláno přihlašovací ID"
"No server banner","Žádný serverový banner"
"abort","zrušit"
"apop authentication failed","přihlášení pomocí apop se nezdařilo"
"Premature end of list","Předčasné ukončení přehledu"
"Empty command string","Prázdný příkaz"
"connection does not exist","připojení neexistuje"
"No msg number submitted","Žádné číslo zprávy nebylo odesláno"
"Command failed","Realizace příkazu se nezdařila "
"The menu ID should not be empty.","ID položek navigační lišty by mělo být vždy zadáváno."
"Skip to toolbar","Přejít k navigační liště"
"Top navigation toolbar.","Horní navigační lišta"
"&mdash; Select &mdash;","&mdash; Vyberte &mdash;"
"Default","Výchozí"
"Hex Value","Kód barvy"
"Upload","Nahrát soubor"
"Remove","Odstranit"
"No Image","Žádný obrázek"
"Upload New","Nahrát"
"Uploaded","Knihovna médií"
"Remove Image","Odstranit obrázek"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Aktuálně používaný prohlížeč na tomto zařízení neumí bohužel nahrávat soubory standardním způsobem. Můžete ale místo něj použít nějakou vhodnou <a href=\"http://wordpress.org/extend/mobile/\">mobilní aplikaci</a>."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Přetáhněte sem soubor přímo z počítače nebo ho <a href=\"#\" class=\"upload\">vyberte</a>."
"Select File","Vybrat soubor"
"Background Image","Obrázek na pozadí"
"Header Image","Obrázek v záhlaví"
"Random Default Image","Náhodně zobrazený výchozí obrázek"
"Random Uploaded Image","Náhodně zobrazený nahraný obrázek"
"Site Title & Tagline","Název a popis webu"
"Site Title","Název webu"
"Tagline","Popis webu"
"Colors","Barvy"
"Display Header Text","Zobrazit text v záhlaví"
"Header Text Color","Barva textu v záhlaví"
"Background Color","Barva pozadí"
"Background Repeat","Opakované zobrazení obrázku na pozadí"
"No Repeat","Použít obrázek jenom jednou"
"Tile","Opakovat obrázek a vyplnit s ním celé pozadí"
"Tile Horizontally","Opakovat obrázek vodorovně"
"Tile Vertically","Opakovat obrázek svisle"
"Background Position","Zarovnání obrázku na pozadí"
"Left","Doleva"
"Center","Na střed"
"Right","Doprava"
"Background Attachment","Reakce pozadí na posunování zobrazené části webu"
"Fixed","Pozadí zůstává upevněno pořád na stejném místě"
"Scroll","Pozadí se automaticky posunuje"
"Navigation","Navigace"
"Your theme supports %s menu. Select which menu you would like to use.","V šabloně je definována %s oblast, kam můžete umístit vlastní menu. Zvolte si konkrétní menu, které zde chcete zobrazit."
"Your theme supports %s menus. Select which menu appears in each location.","V šabloně jsou definovány %s oblasti, kam můžete umístit vlastní menu. Zvolte si konkrétní menu, která zde chcete zobrazit."
"You can edit your menu content on the Menus screen in the Appearance section.","Samotný obsah vlastního menu můžete upravovat na stránce Vzhled - Menu v administraci webu."
"Static Front Page","Zobrazení úvodní stránky"
"Your theme supports a static front page.","Šablona podporuje možnost volby statické úvodní stránky."
"Front page displays","Na úvodní stránce zobrazit"
"Your latest posts","Nejnovější příspěvky"
"A static page","Statickou stránku"
"Front page","Úvodní stránka"
"Posts page","Stránka příspěvků"
"Text","HTML"
"Visual","Editor"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","Čeština=cs,Angličtina=en,Dánština=da,Nizozemština=nl,Finština=fi,Francouzština=fr,Němčina=de,Italština=it,Polština=pl,Portugalština=pt,Španělština=es,Švédština=sv"
"Update","Aktualizovat"
"Save","Uložit"
"Exit fullscreen","Přepnout zpět"
"Bold (Ctrl + B)","Tučné (Ctrl + B)"
"Italic (Ctrl + I)","Kurzíva (Ctrl + I)"
"Unordered list (Alt + Shift + U)","Seznam s odrážkami (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","Číslovaný seznam (Alt + Shift + O)"
"Blockquote (Alt + Shift + Q)","Bloková citace (Alt + Shift + Q)"
"Insert/edit image (Alt + Shift + M)","Vložit/upravit obrázek (Alt + Shift + M)"
"Insert/edit link (Alt + Shift + A)","Vložit/upravit odkaz (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","Odstranit odkaz (Alt + Shift + S)"
"Help (Alt + Shift + H)","Nápověda (Alt + Shift + H)"
"Updated.","Aktualizováno."
"Saved.","Uloženo."
"Enter title here","Zadejte název"
"Word count: %s","Počet slov: %s"
"Just write.","Nevyrušované psaní."
"Y/m/d","j.n.Y"
"Enter the destination URL","Zadejte přímo cílovou URL adresu"
"Title","Název"
"Open link in a new window/tab","Otevřít odkaz v novém okně/záložce"
"Or link to existing content","Nebo můžete snadno vyhledat existující obsah webu"
"No search term specified. Showing recent items.","Zatím nebyl zadán žádný výraz, takže se zobrazují nejnovější položky."
"Add Link","Vytvořit odkaz"
"Cancel","Zrušit"
"File doesn&#8217;t exist?","Soubor patrně neexistuje?"
"File is not an image.","Soubor není obrázek."
"Could not read image size.","Nepodařilo se načíst velikost obrázku."
"Image resize failed.","Velikost obrázku se nepodařilo změnit."
"Could not calculate resized image dimensions","Nepodařilo se vypočítat nové rozměry upravovaného obrázku"
"Image crop failed.","Obrázek se nepodařilo oříznout."
"Image rotate failed.","Obrázek se nepodařilo otočit."
"Image flip failed.","Obrázek se nepodařilo překlopit."
"Image Editor Save Failed","Při ukládání obrázku v grafickém editoru došlo k chybě"
"Could not read image size","Nepodařilo se načíst velikost obrázku"
"The theme directory does not exist.","Adresář se šablonou neexistuje."
"Stylesheet is missing.","Soubor s kaskádovými styly nebyl nalezen."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","CHYBA: Adresář pro šablony je prázdný nebo vůbec neexistuje. Zkontrolujte prosím, zda nedošlo během instalace WordPressu k nějaké chybě."
"Stylesheet is not readable.","Soubor s kaskádovými styly není čitelný."
"Template is missing.","Šablona nebyla nalezena."
"The parent theme is missing. Please install the \"%s\" parent theme.","Nadřazená šablona nebyla nalezena. Zkuste prosím nainstalovat nadřazenou šablonu \"%s\"."
"The \"%s\" theme is not a valid parent theme.","\"%s\" není platná nadřazená šablona."
"Visit author homepage","Navštívit autorův web"
"Anonymous","Anonymní"
",",", "
"XML-RPC services are disabled on this site.","Služby publikačního protokolu XML-RPC nejsou na tomto webu povoleny."
"Incorrect username or password.","Nesprávné uživatelské jméno nebo heslo."
"Software Name","Název programu"
"Software Version","Verze programu"
"Site URL","URL adresa instalovaného WordPressu"
"Home URL","URL adresa zobrazeného webu"
"Image default link type","Výchozí způsob odkazování na obrázky"
"Image default size","Výchozí velikost obrázků"
"Image default align","Výchozí zarovnání obrázků"
"Template","Šablona stránky"
"Stylesheet","Kaskádové styly (CSS)"
"Post Thumbnail","Náhledový obrázek příspěvku"
"Time Zone","Časové pásmo"
"Site Tagline","Popis webu"
"Date Format","Formát data"
"Time Format","Formát času"
"Allow new users to sign up","Povolit registraci pro nové uživatele"
"Thumbnail Width","Šířka náhledu"
"Thumbnail Height","Výška náhledu"
"Crop thumbnail to exact dimensions","Oříznout náhled podle přesných rozměrů"
"Medium size image width","Šířka střední velikosti obrázku"
"Medium size image height","Výška střední velikosti obrázku"
"Large size image width","Šířka velkého obrázku"
"Large size image height","Výška velkého obrázku"
"Allow people to post comments on new articles","Povolit návštěvníkům webu přidávat komentáře k příspěvkům a stránkám"
"Allow link notifications from other blogs (pingbacks and trackbacks)","Povolit oznamování příchozích odkazů z jiných webů (pingbacky a trackbacky)"
"Insufficient arguments passed to this XML-RPC method.","Pro zvolenou metodu protokolu XML-RPC nebyl poskytnut dostatečný počet parametrů."
"Invalid post type","Neplatný typ obsahu"
"Invalid post ID.","Neplatné ID příspěvku."
"Sorry, you are not allowed to edit this post.","Nemáte bohužel dostatečné oprávnění pro úpravy tohoto příspěvku."
"The post type may not be changed.","Stávající typ obsahu nemůže být změněn."
"Sorry, you are not allowed to post on this site.","Nemáte bohužel dostatečné oprávnění pro vytváření nových příspěvků na tomto webu."
"Sorry, you are not allowed to create private posts in this post type","Nemáte bohužel dostatečné oprávnění pro vytváření soukromých příspěvků u tohoto typu obsahu."
"Sorry, you are not allowed to publish posts in this post type","Nemáte bohužel dostatečné oprávnění pro publikování příspěvků u tohoto typu obsahu."
"Sorry, you are not allowed to create password protected posts in this post type","Nemáte bohužel dostatečné oprávnění pro vytváření zaheslovaných příspěvků u tohoto typu obsahu."
"You are not allowed to create posts as this user.","Nemáte dostatečné oprávnění pro vytváření příspěvků, kde bude tento uživatel uveden jako autor."
"Invalid author ID.","Neplatné ID autora."
"Sorry, you cannot stick a private post.","Nemůžete bohužel zvýrazňovat soukromý příspěvek."
"Sorry, you are not allowed to stick this post.","Nemáte bohužel dostatečné oprávnění pro zvýraznění tohoto příspěvku."
"Invalid attachment ID.","Neplatné ID mediálního souboru."
"Sorry, one of the given taxonomies is not supported by the post type.","Některá z dostupných taxonomií není bohužel podporována tímto typem obsahu."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Nemáte bohužel dostatečné oprávnění pro zařazení položky do některé z dostupných taxonomií."
"Invalid term ID","Neplatné ID položky"
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","V hierarchické taxonomii byl použit nejednoznačný název položky. Použijte prosím raději ID položky."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Nemáte bohužel dostatečné oprávnění pro vytvoření nové položky pro některou z dostupných taxonomií."
"Sorry, your entry could not be posted. Something wrong happened.","Příspěvek nemohl být bohužel vytvořen, protože se stala nějaká nečekaná chyba."
"There is a revision of this post that is more recent.","Existuje novější verze tohoto příspěvku."
"Sorry, you are not allowed to delete this post.","Nemáte bohužel dostatečné oprávnění pro smazání tohoto příspěvku."
"The post cannot be deleted.","Příspěvek nemůže být smazán."
"Sorry, you cannot edit this post.","Nemůžete bohužel upravovat tento příspěvek."
"The post type specified is not valid","Zvolený typ obsahu není platný"
"Sorry, you are not allowed to edit posts in this post type","Nemáte bohužel dostatečné oprávnění pro úpravy příspěvků u tohoto typu obsahu."
"Invalid taxonomy","Neplatná taxonomie"
"You are not allowed to create terms in this taxonomy.","Nemáte dostatečné oprávnění pro vytváření položek u této taxonomie."
"The term name cannot be empty.","Název položky nemůže zůstat prázdný."
"This taxonomy is not hierarchical.","Zvolená taxonomie není hierarchická."
"Parent term does not exist.","Nadřazená položka neexistuje."
"Sorry, your term could not be created. Something wrong happened.","Položka nemohla být bohužel vytvořena, protože se stala nějaká nečekaná chyba."
"You are not allowed to edit terms in this taxonomy.","Nemáte dostatečné oprávnění pro úpravy položek u této taxonomie."
"This taxonomy is not hierarchical so you can't set a parent.","Zvolená taxonomie není hierarchická, takže není možné nastavit položku jako nadřazenou."
"Sorry, editing the term failed.","Položku se bohužel nepodařilo upravit."
"You are not allowed to delete terms in this taxonomy.","Nemáte dostatečné oprávnění pro mazání položek u této taxonomie."
"Sorry, deleting the term failed.","Položku se bohužel nepodařilo smazat."
"You are not allowed to assign terms in this taxonomy.","Nemáte dostatečné oprávnění pro zařazování položek do této taxonomie."
"Sorry, you cannot edit users.","Nemůžete bohužel upravovat uživatele."
"Invalid user ID","Neplatné ID uživatele"
"Sorry, you cannot list users.","Nemůžete bohužel prohlížet registrované uživatele."
"The role specified is not valid","Zvolená uživatelská úroveň není platná"
"Sorry, you cannot edit your profile.","Nemůžete bohužel upravovat svůj profil."
"Sorry, the user cannot be updated.","Zvolený uživatel bohužel nemůže být aktualizován."
"Sorry, you cannot edit this page.","Nemůžete bohužel upravovat tuto stránku."
"Sorry, no such page.","Žádná taková stránka tu bohužel není."
"Sorry, you cannot edit pages.","Nemůžete bohužel upravovat stránky."
"Sorry, you do not have the right to delete this page.","Nemáte bohužel dostatečné oprávnění pro smazání této stránky."
"Failed to delete the page.","Nepodařilo se smazat tuto stránku."
"Sorry, you do not have the right to edit this page.","Nemáte bohužel dostatečné oprávnění pro úpravy této stránky."
"Sorry, you cannot edit posts on this site.","Nemůžete bohužel upravovat příspěvky na tomto webu."
"Sorry, you must be able to edit posts on this site in order to view tags.","Omlouváme se, ale musíte mít právo upravovat příspěvky, abyste si mohli prohlížet štítky na tomto webu."
"Sorry, you do not have the right to add a category.","Nemáte bohužel dostatečné oprávnění pro vytvoření nové rubriky."
"Sorry, the new category failed.","Nepodařilo se vytvořit novou rubriku."
"Sorry, you do not have the right to delete a category.","Nemáte bohužel dostatečné oprávnění pro smazání rubriky."
"Sorry, you must be able to edit posts to this site in order to view categories.","Omlouváme se, ale musíte mít právo upravovat příspěvky, abyste si mohli prohlížet rubriky na tomto webu."
"You are not allowed to moderate comments on this site.","Nemáte dostatečné oprávnění pro moderování komentářů na tomto webu."
"Invalid comment ID.","Neplatné ID komentáře."
"Sorry, you cannot edit comments.","Nemůžete bohužel upravovat komentáře."
"Invalid comment status.","Neplatný stav komentáře."
"Sorry, the comment could not be edited. Something wrong happened.","Komentář nemohl být bohužel upraven, protože se stala nějaká nečekaná chyba."
"You must be registered to comment","Musíte se zaregistrovat, abyste mohli přidávat komentáře."
"Comment author name and email are required","Pro přidání komentáře musíte vyplnit své jméno a email"
"A valid email address is required","Platná emailová adresa je vyžadována"
"You are not allowed access to details about this site.","Nemáte dostatečné oprávnění pro zobrazení detailních informací o tomto webu."
"You are not allowed access to details about comments.","Nemáte dostatečné oprávnění pro zobrazení detailů o komentářích."
"You are not allowed to update options.","Nemáte dostatečné oprávnění pro aktualizaci nastavení webu."
"You do not have permission to upload files.","Nemáte dostatečné oprávnění pro nahrávání souborů."
"Sorry, you are not allowed to edit this post type.","Nemáte bohužel dostatečné oprávnění pro úpravy tohoto typu obsahu."
"Invalid post ID","Neplatné ID příspěvku"
"Sorry, you are not allowed to edit posts.","Nemáte bohužel dostatečné oprávnění pro úpravy příspěvků."
"Sorry, revisions are disabled.","Ukládání starších verzí není bohužel povoleno."
"Sorry, you do not have access to user data on this site.","Nemáte bohužel dostatečné oprávnění pro přístup k informacím o registrovaných uživatelích na tomto webu."
"Either there are no posts, or something went wrong.","Nejsou tu patrně žádné příspěvky, nebo se stala nějaká nečekaná chyba."
"Sorry, that file cannot be edited.","Zvolený soubor bohužel nelze upravovat."
"Sorry, no such post.","Žádný takový příspěvek tu bohužel není."
"Sorry, you do not have the right to edit this post.","Nemáte bohužel dostatečné oprávnění pro úpravy tohoto příspěvku."
"Sorry, you do not have the right to publish this post.","Nemáte bohužel dostatečné oprávnění pro publikování tohoto příspěvku."
"For some strange yet very annoying reason, this post could not be edited.","Z nějakých neznámých důvodů nelze tento příspěvek upravit."
"Sorry, you do not have the right to delete this post.","Nemáte bohužel dostatečné oprávnění pro smazání tohoto příspěvku."
"For some strange yet very annoying reason, this post could not be deleted.","Z nějakých neznámých důvodů nelze tento příspěvek smazat."
"Sorry, you are not allowed to publish pages on this site.","Nemáte bohužel dostatečné oprávnění pro publikování stránek na tomto webu."
"Sorry, you are not allowed to publish posts on this site.","Nemáte bohužel dostatečné oprávnění pro publikování příspěvků na tomto webu."
"Invalid post format","Neplatný formát příspěvku"
"You are not allowed to create pages as this user.","Nemáte dostatečné oprávnění pro vytváření stránek, kde bude tento uživatel uveden jako autor."
"You are not allowed to change the post author as this user.","Nemáte dostatečné oprávnění pro změnu autora příspěvku na tohoto uživatele."
"You are not allowed to change the page author as this user.","Nemáte dostatečné oprávnění pro změnu autora stránky na tohoto uživatele."
"Sorry, you do not have the right to publish this page.","Nemáte bohužel dostatečné oprávnění pro publikování této stránky."
"Sorry, your entry could not be edited. Something wrong happened.","Příspěvek nemohl být bohužel upraven, protože se stala nějaká nečekaná chyba."
"Sorry, you must be able to edit posts on this site in order to view categories.","Omlouváme se, ale musíte mít právo upravovat příspěvky, abyste si mohli prohlížet rubriky na tomto webu."
"Could not write file %s (%s)","Nepodařilo se zapisovat do souboru %s (%s)"
"Sorry, you can not edit this post.","Nemůžete bohužel upravovat tento příspěvek."
"Sorry, you cannot publish this post.","Nemůžete bohužel publikovat tento příspěvek."
"Is there no link to us?","Jsou tu nějaké odkazy na nás?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","Zadaná URL adresa nemůže být použita jako cíl. Buď tato adresa vůbec neexistuje, nebo nemá povolené pingbacky."
"The source URL and the target URL cannot both point to the same resource.","Zdrojová a cílová URL adresa nemohou odkazovat na stejný zdroj."
"The pingback has already been registered.","Pingback už byl zaznamenán."
"The source URL does not exist.","Zdrojová URL adresa neexistuje."
"We cannot find a title on that page.","Nepodařilo se najít název této stránky."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","Zdrojová URL adresa neobsahuje odkaz na cílovou URL adresu, takže nemůže být použita jako zdroj."
"Pingback from %s to %s registered. Keep the web talking! :-)","Pingback od %s pro %s byl zaznamenán. Pomáháme udržovat internetovou komunikaci a spolupráci :-)"
"The specified target URL does not exist.","Zadaná cílová URL adresa neexistuje."
"%s Comments","Komentáře: %s"
"No Comments","Žádné komentáře"
"1 Comment","1 komentář"
"Comment","Komentář"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","Pokud nechcete příslušnou URL adresu pro trackbacky přímo zobrazit, použijte raději funkci <code>get_trackback_url()</code>."
"Comments Off","Komentáře nejsou povoleny"
"Enter your password to view comments.","Pro zobrazení komentářů zadejte heslo."
"Comment on %s","Komentáře k příspěvku %s"
"Reply","Odpovědět"
"Log in to Reply","Pro vložení odpovědi na komentář se musíte přihlásit"
"Leave a Comment","Napsat komentář"
"Log in to leave a Comment","Pro vložení komentáře se musíte přihlásit"
"Click here to cancel reply.","Odpověď na komentář zrušíte zde."
"Leave a Reply","Napsat komentář"
"Leave a Reply to %s","Napsat komentář k %s"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">napsal:</span>"
"Your comment is awaiting moderation.","Komentář čeká na schválení."
"%s at %s","%s | %s"
"(Edit)","(Upravit)"
"Email","Emailová adresa"
"Website","Webová stránka"
"Required fields are marked %s","Vyžadované informace jsou označeny %s"
"You must be <a href=\"%s\">logged in</a> to post a comment.","Pro přidání komentáře musíte <a href=\"%s\">být přihlášeni</a>."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","Jste přihlášeni jako <a href=\"%s\">%s</a>. Chcete se <a href=\"%s\" title=\"Odhlásit se z tohoto účtu\">odhlásit</a>?"
"Your email address will not be published.","Vaše emailová adresa nebude zveřejněna."
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","Můžete používat následující <abbr title=\"HyperText Markup Language\">HTML</abbr> značky a atributy: %s"
"Cancel reply","Zrušit odpověď na komentář"
"Post Comment","Odeslat komentář"
"Unapproved","Odmítnuté"
"Approved","Schválený"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","Tento komentář je patrně duplicitní; možná jste ho již jednou odeslali?"
"You are posting comments too quickly. Slow down.","Odesíláte komentáře moc rychle po sobě. Zpomalte prosím."
"Could not update comment status","Nepodařilo se aktualizovat stav komentáře"
"This argument has changed to an array to match the behavior of the other cron functions.","Parametr funkce byl změněn na pole, aby se přizpůsobil fungování dalších funkcí zajišťujících automatické spouštění různých skriptů (cron)."
"Once Hourly","Jednou za hodinu"
"Twice Daily","Dvakrát denně"
"Once Daily","Jednou denně"
"Your site&#8217;s WordPress Pages","Seznam všech stránek vytvořených ve WordPressu"
"Sort by:","Seřadit podle:"
"Page title","Název stránky"
"Page order","Pořadí stránky"
"Page ID","ID stránky"
"Exclude:","Vynechat:"
"Page IDs, separated by commas.","ID stránek, oddělené čárkami."
"Your blogroll","Přehledný výpis odkazů"
"Links","Odkazy"
"Select Link Category:","Vyberte rubriku odkazů:"
"All Links","Všechny odkazy"
"Link title","Název odkazu"
"Link rating","Hodnocení odkazu"
"Link ID","ID odkazu"
"Random","Náhodně"
"Show Link Image","Zobrazit obrázek u odkazu"
"Show Link Name","Zobrazit název odkazu"
"Show Link Description","Zobrazit popis odkazu"
"Show Link Rating","Zobrazit hodnocení odkazu"
"Number of links to show:","Počet zobrazených odkazů:"
"A search form for your site","Jednoduchý vyhledávací formulář"
"A monthly archive of your site&#8217;s posts","Archiv příspěvků přehledně roztříděných podle jednotlivých měsíců"
"Archives","Archiv"
"Select Month","Vybrat měsíc"
"Display as dropdown","Zobrazit jako rozbalovací menu"
"Show post counts","Zobrazit počet příspěvků"
"Log in/out, admin, feed and WordPress links","Přihlášení/odhlášení, administrace, RSS zdroj a oficiální odkazy WordPressu"
"Meta","Další informace"
"Syndicate this site using RSS 2.0","Sledovat aktuální obsah tohoto webu pomocí RSS 2.0"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","<abbr title=\"Really Simple Syndication\">RSS</abbr>"
"The latest comments to all posts in RSS","Nejnovější komentáře k příspěvkům v RSS"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","<abbr title=\"Really Simple Syndication\">RSS</abbr> komentářů"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","Používáme WordPress, nejmodernější sémantický osobní redakční systém."
"A calendar of your site&#8217;s posts","Kalendář publikovaných příspěvků"
"Calendar","Kalendář"
"Arbitrary text or HTML","Běžný text nebo HTML (nikoliv PHP kód)"
"Automatically add paragraphs","Automaticky vytvářet odstavce"
"A list or dropdown of categories","Seznam nebo rozbalovací menu s rubrikami"
"Select Category","Vybrat rubriku"
"Show hierarchy","Zobrazit strukturu"
"The most recent posts on your site","Přehled nejnovějších příspěvků"
"Recent Posts","Nejnovější příspěvky"
"Number of posts to show:","Počet zobrazených příspěvků:"
"Display post date?","Zobrazit datum publikování?"
"The most recent comments","Přehled nejnovějších komentářů"
"Recent Comments","Nejnovější komentáře"
"%s on %s","%s u %s"
"Number of comments to show:","Počet zobrazených komentářů:"
"Entries from any RSS or Atom feed","Příspěvky z libovolného RSS/Atom zdroje"
"Unknown Feed","Neznámý RSS zdroj"
"Syndicate this content","Sledovat aktuální obsah tohoto webu pomocí RSS"
"<strong>RSS Error</strong>: %s","<strong>Chyba RSS zdroje</strong>: %s"
"An error has occurred, which probably means the feed is down. Try again later.","Objevila se nečekaná chyba, což pravděpodobně znamená, že je RSS zdroj mimo provoz. Zkuste to prosím později."
"Untitled","Bez názvu"
"RSS Error: %s","Chyba RSS zdroje: %s"
"Enter the RSS feed URL here:","Zadejte URL adresu RSS zdroje:"
"Give the feed a title (optional):","Název RSS zdroje (volitelné):"
"How many items would you like to display?","Kolik položek chcete zobrazit?"
"Display item content?","Zobrazit obsah?"
"Display item author if available?","Zobrazit autora (je-li k dispozici)?"
"Display item date?","Zobrazit datum?"
"Your most used tags in cloud format","Přehled nejpoužívanějších štítků zobrazený ve formě shluku"
"Tag Cloud","Shluk štítků"
"Taxonomy:","Taxonomie:"
"Use this widget to add one of your custom menus as a widget.","Použitím tohoto widgetu můžete zobrazit vytvořené menu na příslušném místě vašeho webu."
"Custom Menu","Menu"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","Zatím nebylo vytvořeno žádné menu. <a href=\"%s\">Vytvořit menu</a>."
"Select Menu:","Vyberte menu:"
"new WordPress Loop","nový WordPress Loop"
"None","Žádné"
"Last updated","Poslední aktualizace"
"Missing Attachment","Chybějící příloha"
"First Post","První příspěvek"
"Last Post","Poslední příspěvek"
"Are you sure you want to do this?","Opravdu to chcete udělat?"
"File &#8220;%s&#8221; doesn&#8217;t exist?","Soubor &#8222;%s&#8220; patrně neexistuje?"
"The GD image library is not installed.","PHP knihovna GD není nainstalována."
"File &#8220;%s&#8221; is not an image.","Soubor &#8222;%s&#8220; není obrázek."
"Comments on %s","Komentáře k příspěvku %s"
"Comments for %s searching on %s","Komentáře k %s, vyhledané na %s"
"Comments for %s","Komentáře k %s"
"Comment on %s by %s","Komentář k příspěvku %s od %s"
"By: %s","Od: %s"
"Comments on: %s","Komentáře k příspěvku: %s"
"Protected Comments: Please enter your password to view comments.","Chráněné komentáře: Pokud je chcete zobrazit, zadejte svoje heslo."
"&#8220;","&#8222;"
"&#8221;","&#8220;"
"&#8216;","&#8218;"
"&#8217;","&#8216;"
"%s min","%s minutou"
"%s mins","%s minutami"
"%s hour","%s hodinou"
"%s hours","%s hodinami"
"%s day","%s dnem"
"%s days","%s dny"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","Zadaná emailová adresa patrně není platná. Zadejte prosím správnou emailovou adresu."
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","Zadaná URL adresa instalace WordPressu patrně není platná. Zadejte prosím správnou URL adresu."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","Zadaná URL adresa webu patrně není platná. Zadejte prosím správnou URL adresu."
