"New password","Nova lozinka"
"Front page displays","Naslovna stranica prikazuje"
"Your latest posts","Vaše najnovije postove"
"A static page","Statična stranica"
"Front page","Početna stranica"
"Posts page","Stranica postova"
"Text","Tekst"
"Visual","Vizualno"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","Engleski=en,Danski=da,Nizozemski=nl,Finski=fi,Francuski=fr,Njemački=de,Talijanski=it,Poljski=pl,Portugalski=pt,Španjolski=es,Švedski=sv"
"Update","Ažuriraj"
"Save","Snimi"
"Exit fullscreen","Zatvori cijeli zaslon"
"Bold (Ctrl + B)","Podebljano (Ctrl + B)"
"Italic (Ctrl + I)","Kurziv (Ctrl + I)"
"Unordered list (Alt + Shift + U)","Nebrojčani popis (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","Brojčani popis (Alt + Shift + O)"
"Blockquote (Alt + Shift + Q)","Citat odlomak (Alt + Shift + Q)"
"Insert/edit image (Alt + Shift + M)","Unesi/uredi sliku (Alt + Shift + M)"
"Insert/edit link (Alt + Shift + A)","Unesi/uredi poveznicu (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","Ukloni poveznicu (Alt + Shift + S)"
"Help (Alt + Shift + H)","Pomoć (Alt + Shift + H)"
"Updated.","Ažurirano."
"Saved.","Snimljeno."
"Enter title here","Ovdje unesi naslov"
"Word count: %s","Broj riječi: %s"
"Just write.","Samo piši."
"Y/m/d","d.m.Y"
"Enter the destination URL","Unesi odredišni URL"
"Title","Naslov"
"Open link in a new window/tab","Otvori poveznicu u novom prozoru/kartici"
"Or link to existing content","Ili poveznica do postojećeg sadržaja"
"No search term specified. Showing recent items.","Nije naveden nijedan pojam za pretraživanje. Prikazujem nedavne stavke."
"Add Link","Dodaj Poveznicu"
"Cancel","Odustani"
"File doesn&#8217;t exist?","Datoteka ne postoji?"
"File is not an image.","Datoteka nije slika."
"Could not read image size.","Nije moguće očitati veličinu slike."
"Image resize failed.","Neuspjelo redimenzioniranje slike."
"Could not calculate resized image dimensions","Nije moguće izračunati promijenjene dimenzije slike"
"Image crop failed.","Neuspjelo izrezivanje slike."
"Image rotate failed.","Neuspjelo okretanje slike."
"Image flip failed.","Neuspjelo flip slike."
"Image Editor Save Failed","Neuspjelo Snimanje Uređivača Slike"
"Could not read image size","Nije moguće očitati veličinu slike."
"The theme directory does not exist.","Direktorij teme ne postoji."
"Stylesheet is missing.","Nedostaje stylesheet."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","POGREŠKA: Direktorij tema je prazan ili ne postoji. Molim provjerite vašu instalaciju."
"Stylesheet is not readable.","Stylesheet nije čitljiv."
"Template is missing.","Nedostaje predložak."
"The parent theme is missing. Please install the \"%s\" parent theme.","Matična tema nedostaje. Molim instalirajte \"%s\" matičnu temu."
"The \"%s\" theme is not a valid parent theme.","\"%s\" tema nije valjana matična tema."
"Visit author homepage","Posjeti stranicu autora"
"Anonymous","Anonimno"
",",", "
"XML-RPC services are disabled on this site.","XML-RPC servisi su onesposobljeni na ovoj web stranici."
"Incorrect username or password.","Neispravna korisničko ime ili lozinka."
"Software Name","Naziv softvera"
"Software Version","Inačica softvera"
"Site URL","URL Web stranice"
"Home URL","Početni URL"
"Image default link type","Zadana vrsta poveznice slike"
"Image default size","Zadana veličina slike"
"Image default align","Zadano poravnavanje slike"
"Template","Predložak"
"Post Thumbnail","Mini-prikaz"
"Time Zone","Vremenska zona"
"Site Tagline","Slogan Web Stranice"
"Date Format","Oblik datuma"
"Time Format","Oblik vremena"
"Allow new users to sign up","Dozvoli novim korisnicima da se pretplate"
"Thumbnail Width","Širina minijature"
"Thumbnail Height","Visina minijature"
"Crop thumbnail to exact dimensions","Izreži minijaturu na točne dimenzije"
"Medium size image width","Širina slike srednje veličine"
"Medium size image height","Visina slike srednje veličine"
"Large size image width","Širina slike najveće veličine"
"Large size image height","Visina slike najveće veličine"
"Allow people to post comments on new articles","Dopusti drugima da objavljuju komentare na nove članke"
"Allow link notifications from other blogs (pingbacks and trackbacks)","Dopusti obavijesti o poveznicama s drugih blogova (povratni ping, povratna veza)"
"Insufficient arguments passed to this XML-RPC method.","Prosljeđeni su nedostatni argumenti ovom XML-RPC metodom."
"Invalid post type","Neispravan tip posta."
"Invalid post ID.","Neispravan ID posta."
"Sorry, you are not allowed to edit this post.","Žalim, nemate dopuštenje za uređivanje ovog posta."
"The post type may not be changed.","Vrsta posta možda se nije promijenila."
"Sorry, you are not allowed to post on this site.","Žalim, nemate dopuštenje za postanje na ovoj web stranici."
"Sorry, you are not allowed to create private posts in this post type","Žalim, nemate dopuštenje za kreiranje privatnih postova za ovu vrstu posta."
"Sorry, you are not allowed to publish posts in this post type","Žalim, nemate dopuštenje za objavu postova za ovu vrstu posta."
"Sorry, you are not allowed to create password protected posts in this post type","Žalim, nemate dopuštenje za kreiranje postova zaštićenih lozinkom za ovu vrstu posta."
"You are not allowed to create posts as this user.","Nemate dopuštenje kreirati postove kao ovaj korisnik."
"Invalid author ID.","Neispravan ID autora."
"Sorry, you cannot stick a private post.","Žalim, ne možete zalijepiti privatni post."
"Sorry, you are not allowed to stick this post.","Žalim, nemate dopuštenje lijepljenje ovog posta."
"Invalid attachment ID.","Neispravan ID privitka."
"Sorry, one of the given taxonomies is not supported by the post type.","Žalim, jedna od navedenih taksonomija nije podržana od strane vrste posta."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","Žalim, nemate dopuštenje za dodijelivanje pojma jednoj od navedenih taksonomija."
"Invalid term ID","Neispravan ID izraza"
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","Korišten je nejasan pojam u hijerarhiskoj taksonomiji. Molim umjesto toga upotrijebite ID pojma."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","Žalim, nemate dopuštenje za dodavanje pojma jednoj od navedenih taksonomija."
"Sorry, your entry could not be posted. Something wrong happened.","Žalim, ovaj unos ne možemo objaviti. Nešto je pošlo krivo."
"There is a revision of this post that is more recent.","Postoji revizija ovog posta koja je svježija."
"Sorry, you are not allowed to delete this post.","Žalim, nemate dopuštenje za brisanje ovog posta."
"The post cannot be deleted.","Post se ne može obrisati."
"Sorry, you cannot edit this post.","Žalim, nemate ovlasti za uređivanje ovog posta."
"The post type specified is not valid","Navedena vrsta posta nije ispravna."
"Sorry, you are not allowed to edit posts in this post type","Žalim, nemate dopuštenje za uređivanje postova ove vrste posta."
"Invalid taxonomy","Neispravna taksonomija."
"You are not allowed to create terms in this taxonomy.","Nemate dopuštenje za kreiranje pojmova u ovoj taksonomiji."
"The term name cannot be empty.","Naziv pojma ne može biti prazan."
"This taxonomy is not hierarchical.","Taksonomija nije hijerarhijalna."
"Parent term does not exist.","Matični pojam ne postoji."
"Sorry, your term could not be created. Something wrong happened.","Žalim, vaš pojam nije moguće kreirati. Nešto je pošlo krivo."
"You are not allowed to edit terms in this taxonomy.","Žalim, nemate dopuštenje za uređivanje pojmova u ovoj taksonomiji."
"This taxonomy is not hierarchical so you can't set a parent.","Taksonomija nije hijerarhijalna tako da ne možete kreirati matičnu."
"Sorry, editing the term failed.","Žalim, uređivanje pojma nije uspjelo."
"You are not allowed to delete terms in this taxonomy.","Nemate dopuštenje za brisanje pojmova u ovoj taksonomiji."
"Sorry, deleting the term failed.","Žalim, brisanje pojma nije uspjelo."
"You are not allowed to assign terms in this taxonomy.","Žalim, nemate dopuštenje za dodijelivanje pojmova ovoj taksonomiji."
"Sorry, you cannot edit users.","Žalim, ne možete uređivati korisnike."
"Invalid user ID","Neispravan ID korisnika"
"Sorry, you cannot list users.","Žalim, ne možete izlistati korisnike."
"The role specified is not valid","Navedena uloga nije valjana."
"Sorry, you cannot edit your profile.","Žalim, ne možete urediti svoj profil."
"Sorry, the user cannot be updated.","Žalim, korisnik ne može biti ažuriran."
"Sorry, you cannot edit this page.","Žalim, ne možete urediti ovu stranicu."
"Sorry, no such page.","Žalim, nema takve stranice."
"Sorry, you cannot edit pages.","Žalim, ne možete uređivati stranice."
"Sorry, you do not have the right to delete this page.","Žalim, nemate ovlasti za brisanje ove stranice."
"Failed to delete the page.","Brisanje stranice nije uspjelo."
"Sorry, you do not have the right to edit this page.","Žalim, nemate ovlasti za uređivanje ove stranice."
"Sorry, you cannot edit posts on this site.","Žalim, ne možete uređivati postove na ovoj web stranici."
"Sorry, you must be able to edit posts on this site in order to view tags.","Žalim, da biste pregledali oznake, morate imati dopuštenje za uređivanje postova na ovoj web stranici."
"Sorry, you do not have the right to add a category.","Žalim, nemate ovlasti za dodavanje kategorije."
"Sorry, the new category failed.","Žalim, dodavanje kategorije nije uspjelo."
"Sorry, you do not have the right to delete a category.","Žalim, nemate ovlasti za brisanje kategorije."
"Sorry, you must be able to edit posts to this site in order to view categories.","Žalim, da biste pregledali kategorije, morate imati dopuštenje za uređivanje postova na ovoj web stranici."
"You are not allowed to moderate comments on this site.","Nemate dopuštenje za moderiranje komentara ovoj web stranici."
"Invalid comment ID.","Neispravan ID komentara."
"Sorry, you cannot edit comments.","Žalim, ne možete uređivati komentare."
"Invalid comment status.","Neispravan status komentara."
"Sorry, the comment could not be edited. Something wrong happened.","Žalim, ovaj komentar ne možete urediti. Nešto je pošlo krivo."
"You must be registered to comment","Morate biti registrirani za objavu komentara"
"Comment author name and email are required","Autor komentara mora popuniti ime i e-poštu"
"A valid email address is required","Upišite valjanu adresu e-pošte"
"You are not allowed access to details about this site.","Nemate dopuštenje za pristup podacima o ovoj web stranici."
"You are not allowed access to details about comments.","Nemate dopuštenje za pristup podacima o komentarima."
"You are not allowed to update options.","Nemate dopuštenje za ažuriranje opcija."
"You do not have permission to upload files.","Nemate dopuštenje za prijenos datoteka."
"Sorry, you are not allowed to edit this post type.","Žalim, nemate dopuštenje za uređivanje ove vrste posta."
"Invalid post ID","Neispravan ID posta"
"Sorry, you are not allowed to edit posts.","Žalim, nemate dopuštenje za uređivanje postova."
"Sorry, revisions are disabled.","Žalim, revizije su onesposobljene."
"Sorry, you do not have access to user data on this site.","Žalim, nemate pristup korisničkim podacima ove web stranice."
"Either there are no posts, or something went wrong.","Ili trenutno nema nijedan post, ili je nešto pošlo krivo."
"Sorry, that file cannot be edited.","Žalim, ovu datoteku nije moguće uređivati."
"Sorry, no such post.","Žalim, nema takvog posta."
"Sorry, you do not have the right to edit this post.","Žalim, nemate ovlasti za uređivanje ovog posta."
"Sorry, you do not have the right to publish this post.","Žalim, nemate ovlasti za objavu ovog posta."
"For some strange yet very annoying reason, this post could not be edited.","Iz nekog nepoznatog, ali krajnje iritantnog razloga, ovaj post nije moguće uređivati."
"Sorry, you do not have the right to delete this post.","Žalim, nemate ovlasti za brisanje ovog posta."
"For some strange yet very annoying reason, this post could not be deleted.","Iz nekog nepoznatog, no krajnje iritantnog razloga, ovaj post nije moguće izbrisati."
"Sorry, you are not allowed to publish pages on this site.","Žalim, nemate dopuštenje za objavu stranica na ovoj web stranici."
"Sorry, you are not allowed to publish posts on this site.","Žalim, nemate dopuštenje za objavu postova na ovoj web stranici."
"Invalid post format","Neispravan tip posta"
"You are not allowed to create pages as this user.","Nemate dopuštenje kreiranja stranica kao ovaj korisnik."
"You are not allowed to change the post author as this user.","Nemate dopuštenje mijenjati autora posta u ulozi ovog korisnika."
"You are not allowed to change the page author as this user.","Nemate dopuštenje mijenjati autora stranice u ulozi ovog korisnika."
"Sorry, you do not have the right to publish this page.","Žalim, nemate ovlasti za objavu ove stranice."
"Sorry, your entry could not be edited. Something wrong happened.","Žalim, vaš unos nije mogao biti izmijenjen. Nešto je pošlo krivo."
"Sorry, you must be able to edit posts on this site in order to view categories.","Žalim, da biste pregledali kategorije, morate imati dopuštenje za uređivanje postova na ovoj web stranici."
"Could not write file %s (%s)","Ne mogu upisati datoteku %s (%s)"
"Sorry, you can not edit this post.","Žalim, nemate ovlasti za uređivanje ovog posta."
"Sorry, you cannot publish this post.","Žalim, nemate ovlasti za objavu ovog posta."
"Is there no link to us?","Čini li nam se, ili to na nas ne vodi niti jedna poveznica?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","Naznačeni ciljni URL ne može biti upotrijebljen kao meta - ili ne postoji, ili na tom mjestu nije omogućen povratni ping."
"The source URL and the target URL cannot both point to the same resource.","URL izvora i URL odredišta ne mogu upućivati na isti resurs."
"The pingback has already been registered.","Povratni ping je već registriran."
"The source URL does not exist.","URL izvora ne postoji."
"We cannot find a title on that page.","Ne mogu pronaći naslov na toj stranici."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","URL izvora ne sadrži poveznicu prema URL-u odredišta, i stoga ne može biti prihvaćen kao izvor."
"Pingback from %s to %s registered. Keep the web talking! :-)","Registriran je povratni ping od %s prema %s. Neka web bruji! :-)"
"The specified target URL does not exist.","Naznačeni URL odredišta ne postoji."
"%s Comments","%s Komentara"
"No Comments","Nema komentara"
"1 Comment","1 Komentar"
"Comment","Komentar"
"Trackback","Povratna veza"
"Pingback","Povratni ping"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","Upotrijebite <code>get_trackback_url()</code> ako ne želite da vrijednost bude vidljiva."
"Comments Off","Isključi komentare"
"Enter your password to view comments.","Za pregled komentara unesite svoju lozinku."
"Comment on %s","Komentar na %s"
"Reply","Odgovori"
"Log in to Reply","Prijavi se za odgovor"
"Leave a Comment","Napiši Komentar"
"Log in to leave a Comment","Prijavi se za komentiranje"
"Click here to cancel reply.","Kliknite ovdje ako želite odustati od odgovora."
"Leave a Reply","Odgovori"
"Leave a Reply to %s","Odgovori na %s"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">kaže:</span>"
"Your comment is awaiting moderation.","Vaš komentar čeka moderiranje."
"%s at %s","%s u %s"
"(Edit)","(Uredi)"
"Email","E-pošta"
"Website","Web stranica"
"Required fields are marked %s","Nužna polja su označena s %s"
"You must be <a href=\"%s\">logged in</a> to post a comment.","Ukoliko želite ostaviti komentar, morate se <a href=\"%s\">prijaviti</a>."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","Prijavljeni kao <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Odjavite se sa ovog računa\">Odjava?</a>"
"Your email address will not be published.","Vaša adresa e-pošte neće biti objavljena."
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","Možete koristiti ove <abbr title=\"HyperText Markup Language\">HTML</abbr> oznake i atribute: %s"
"Cancel reply","Otkaži odgovor"
"Post Comment","Objavi Komentar"
"Unapproved","Neodobreno"
"Approved","Odobreno"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","Uočena dva jednaka komentara; čini se da ste to već jednom rekli!"
"You are posting comments too quickly. Slow down.","Prebrzo objavljujete komentare. Usporite malo."
"Could not update comment status","Ažuriranje statusa komentara nije moguće"
"This argument has changed to an array to match the behavior of the other cron functions.","Ovaj argument je promijenjen u polje kako bi se prilagodio ponašanju ostalih cron funkcija."
"Once Hourly","Jednom u satu"
"Twice Daily","Dva puta dnevno"
"Once Daily","Jednom dnevno"
"Your site&#8217;s WordPress Pages","WordPress stranice vaše Web stranice"
"Sort by:","Sortiraj po:"
"Page title","Naslov stranice"
"Page order","Redoslijed stranica"
"Page ID","ID stranice"
"Exclude:","Izostavi:"
"Page IDs, separated by commas.","ID-ovi stranica, odvojeni zarezima."
"Your blogroll","Vaša blogoteka"
"Links","Poveznice"
"Select Link Category:","Odaberi Kategoriju Poveznice:"
"All Links","Sve Poveznice"
"Link title","Naslov Poveznice"
"Link rating","Ocjena Poveznice"
"Link ID","ID poveznice"
"Random","Nasumice"
"Show Link Image","Prikaži Sliku Poveznice"
"Show Link Name","Prikaži Naziv Poveznice"
"Show Link Description","Prikaži Opis Poveznice"
"Show Link Rating","Prikaži Ocjenu Poveznice"
"Number of links to show:","Prikazati ukupno poveznica:"
"A search form for your site","Obrazac za pretraživanje vaše web stranice"
"A monthly archive of your site&#8217;s posts","Mjesečna arhiva postova vaše web stranice"
"Archives","Arhiva"
"Select Month","Odaberi mjesec"
"Display as dropdown","Prikaži kao padajući popis"
"Show post counts","Pokaži broj postova"
"Log in/out, admin, feed and WordPress links","Prijava/odjava, admin, kanali i WordPress poveznice"
"Syndicate this site using RSS 2.0","Sindiciraj ovu web stranicu koristeći RSS 2.0"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","<abbr title=\"Really Simple Syndication\">RSS</abbr> unosa"
"The latest comments to all posts in RSS","Najnoviji komentari na sve postove u RSS"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","<abbr title=\"Really Simple Syndication\">RSS</abbr> komentara"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","Napravljeno u WordPressu, najsavršenijoj osobnoj semantičkoj izdavačkoj platformi."
"A calendar of your site&#8217;s posts","Kalendar postova na vašoj web stranici"
"Calendar","Kalendar"
"Arbitrary text or HTML","Proizvoljni tekst ili HTML"
"Automatically add paragraphs","Automatski dodaj paragrafe"
"A list or dropdown of categories","Lista ili padajuće kategorije"
"Select Category","Odaberi Kategoriju"
"Show hierarchy","Pokaži hijerarhiju"
"The most recent posts on your site","Najnoviji postovi na vašoj web stranici"
"Recent Posts","Novi Postovi"
"Number of posts to show:","Broj prikazanih postova:"
"Display post date?","Prikazati datuma posta?"
"The most recent comments","Najnoviji komentari"
"Recent Comments","Najnoviji Komentari"
"%s on %s","%s o %s"
"Number of comments to show:","Broj komentara za prikazati:"
"Entries from any RSS or Atom feed","Unosi posredstvom bilo kojeg RSS ili Atom kanala"
"Unknown Feed","Nepoznati kanal"
"Syndicate this content","Sindiciraj ovaj sadržaj"
"<strong>RSS Error</strong>: %s","<strong>RSS Pogreška</strong>: %s"
"An error has occurred, which probably means the feed is down. Try again later.","Došlo je do greške, što vjerojatno znači da je kanal onesposobljen. Pokušajte kasnije."
"Untitled","Bez naslova"
"RSS Error: %s","RSS Pogreška: %s"
"Enter the RSS feed URL here:","Ovdje unesi URL RSS kanala:"
"Give the feed a title (optional):","Imenuj kanal, nekako (nije obavezno):"
"How many items would you like to display?","Koliko stavki želite prikazati?"
"Display item content?","Prikazati sadržaj stavke?"
"Display item author if available?","Prikazati autora stavke ukoliko je podatak dostupan?"
"Display item date?","Prikazati datuma stavke?"
"Your most used tags in cloud format","Vaše najčešće korištene oznake, prikazane u oblaku"
"Tag Cloud","Oblak Oznaka"
"Taxonomy:","Taksonomija:"
"Use this widget to add one of your custom menus as a widget.","Koristite ovaj widget kako bi dodali jedan od vaših prilagodljivih izbornika kao widget."
"Custom Menu","Prilagodljivi Izbornik"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","Nijedan izbornik još nije kreiran. <a href=\"%s\">Kreiraj izbornik</a>."
"Select Menu:","Odaberi Izbornik:"
"new WordPress Loop","nova WordPress petlja"
"None","Nijedno"
"Last updated","Zadnje ažurirano"
"Missing Attachment","Nedostaje Privitak"
"First Post","Prvi Post"
"Last Post","Zadnji Post"
"Are you sure you want to do this?","Želite li zaista to učiniti?"
"File &#8220;%s&#8221; doesn&#8217;t exist?","Datoteka &#8220;%s&#8221; ne postoji?"
"The GD image library is not installed.","GD image library nije instalirana."
"File &#8220;%s&#8221; is not an image.","Datoteka &#8220;%s&#8221; nije slika."
"Comments on %s","Komentari na %s"
"Comments for %s searching on %s","Komentari za %s pretraživanje za %s"
"Comments for %s","Komentari za %s"
"Comment on %s by %s","Komentar na %s, komentirao/la %s"
"By: %s","Autor: %s"
"Comments on: %s","Komentari na: %s"
"Protected Comments: Please enter your password to view comments.","Zaštićeni Komentari: za pristup komentarima, molim unesite lozinku."
"%s min","%s minuta"
"%s mins","%s minute"
"%s hour","%s sat"
"%s hours","%s sata"
"%s day","%s dan"
"%s days","%s dana"
"words","riječi"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","Upisana adresa e-pošte ne izgleda kao valjana adresa e-pošte. Molim upišite valjanu adresu e-pošte."
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","WordPress adresa koju ste unijeli ne izgleda kao valjani URL. Molim unesite valjani URL."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","Upisana adresa web stranice ne izgleda kao valjani URL. Molim unesite valjani URL."
"The timezone you have entered is not valid. Please select a valid timezone.","Vremenska zona koju ste unijeli nije ispravna. Molim izaberite valjanu vremensku zonu."
", and",", i "
"and"," i"
"ERROR: %s is not a valid feed template.","POGREŠKA: %s nije valjani predložak kanala"
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","Jedna ili više tablica baze podataka nisu dostupne. Bazu podataka možda treba <a href=\"%s\">popraviti</a>."
"Unable to create directory %s. Is its parent directory writable by the server?","Nije moguće napraviti novi direktorij %s. Ima li matični direktorij odobreno upisivanje putem poslužitelja?"
"Empty filename","Prazno ime datoteke"
"Invalid file type","Neispravan tip datoteke"
"Could not write file %s","Nije moguće upisati datoteku %s"
"WordPress Failure Notice","Poruka o pogrešci u WordPressu"
"You are attempting to log out of %s","Pokušavate se odjaviti sa %s"
"Do you really want to <a href='%s'>log out</a>?","Želite li se zaista <a href='%s'>odjaviti</a>?"
"Please try again.","Molim pokušajte ponovo."
"&laquo; Back","&laquo; Natrag"
"WordPress &rsaquo; Error","Pogreška WordPressa &rsaquo;"
"Database Error","Pogreška Baze Podataka"
"Error establishing a database connection","Pogreška pri uspostavi veza sa bazom podataka"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","%s je <strong>uklonjen</strong> od inačice %s! Umjesto toga, koristite %s."
"%s is <strong>deprecated</strong> since version %s with no alternative available.","%s je <strong>uklonjen</strong> od inačice %s, nadomjestak nije predviđen."
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","%s je pozvan sa argumentom <strong>zastarjelo</strong> od inačice %s! %s"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","%s je pozvan sa argumentom <strong>zastarjelo</strong> od inačice %s bez moguće dostupne alternative."
"(This message was added in version %s.)","(Ova poruka je dodana u inačici %s.)"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","Molim pogledajte <a href=\"http://codex.wordpress.org/hr:Ispitivanje_kvarova_u_WordPressu\">Ispitivanje kvarova u WordPressu</a> za više informacija."
"%s was called <strong>incorrectly</strong>. %s %s","%s je <strong>neispravno pozvan</strong>. %s %s"
"Select a city","Odaberi grad"
"Manual Offsets","Ručni Razmak"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","Skripte i stilovi ne bi trebali biti registrirani ili upotrebljavani do %s, %s, ili %s kuka (hooks)."
"Search for:","Pretraži:"
"Log in","Prijavi se"
"Log out","Odjavi se"
"Username","Korisničko ime"
"Password","Lozinka"
"Remember Me","Zapamti me"
"Log In","Prijavi se"
"Register","Registriraj se"
"Site Admin","Admin Stranice"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","<code>%s</code> opcija nije dopuštena za vrstu <code>bloginfo()</code> funkcija."
"Use the <code>%s</code> option instead.","Upotrijebite opciju <code>%s</code> umjesto."
"Search Results %s %s","Rezultati pretrage %s %s"
"Page not found","Stranica nije pronađena."
"View posts for %s %s","Pokaži postove za %s %s"
"%s %s Feed","%s %s Kanal"
"%s %s Comments Feed","%s %s Kanal Komentara"
"%s %s %s Comments Feed","%s %s %s Kanal Komentara"
"%s %s %s Category Feed","%s %s %s Kanal Kategorija"
"%s %s %s Tag Feed","%s %s %s Kanal Oznaka"
"%s %s Posts by %s Feed","%s %s Kanal postova od %s"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s Kanal rezultata pretrage za &#8220;%s&#8221; "
"%s %s %s Feed","%s %s %s Kanal"
"&laquo; Previous","&laquo; Prethodno"
"Next &raquo;","Sljedeće &raquo;"
"Blue","Plava"
"Gray","Siva"
"Do you want to use the WYSIWYG mode for this textarea?","Želite li koristiti Što-vidiš-to-i-dobiješ način (WYSIWYG) rada za ovo područje teksta?"
"Apply","Primjeni"
"Insert","Unesi"
"Close","Zatvori"
"Browse","Pretraži"
"Class","Klasa"
"-- Not set --","-- Nije postavljeno --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","Kopiraj/Izreži/Zalijepi nije dostupno u Mozilli i Firefoxu."
"Currently not supported by your browser, use keyboard shortcuts instead.","Trenutno nije podržano u vašem pregledniku, umjesto toga koristite tipke prečaca."
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","Žalim, primijetili smo da je blokada skočnih prozora onemogućila prozor važan za funkcioniranje ove aplikacije. Ukoliko želite u potpunosti iskoristiti mogućnosti ovog alata, molim isključite blokadu skočnih prozora za ovu web stranicu."
"ERROR: Invalid values entered, these are marked in red.","POGREŠKA: Unesene su neispravne vrijednosti, one su označene crveno."
"{#field} must be a number","{#field} mora biti broj"
"{#field} must be a number greater than {#min}","{#field} mora biti broj veći od {#min}"
"{#field} must be a number or percentage","{#field} mora biti broj ili postotak"
"More colors","Više boja"
"Black","Crna"
"Burnt orange","Izgorena naranča"
"Dark olive","Tamno maslinasta"
"Dark green","Tamno zelena"
"Dark azure","Tamno azurna"
"Navy Blue","Mornarski plava"
"Very dark gray","Vrlo tamno siva"
"Maroon","Kestenjasta"
"Orange","Narančasta"
"Olive","Maslinasta"
"Green","Zelena"
"Teal","Plavo zelena"
"Grayish blue","Sivo plava"
"Red","Crvena"
"Amber","Jantar"
"Yellow green","Žuto zelena"
"Sea green","Morski zelena"
"Turquoise","Tirkizna"
"Royal blue","Kraljevski plava"
"Purple","Ljubičasta"
"Medium gray","Umjereno siva"
"Magenta","Crveno ljubičasta"
"Gold","Zlatna"
"Yellow","Žuta"
"Lime","Limeta"
"Sky blue","Nebeski plava"
"Brown","Smeđa"
"Silver","Srebrna"
"Pink","Ružičasta"
"Peach","Breskva"
"Light yellow","Svijetlo žuta"
"Pale green","Svijetlo zelena"
"Pale cyan","Plavo zelena"
"Light sky blue","Svijetlo nebeski plava"
"Plum","Šljiva"
"White","Bijela"
"Alignment","Poravnanje"
"Full","Puni"
"%sY-%sm-%d","%d.%sm.%sY"
"Insert date","Unesi datum"
"Insert time","Unesi vrijeme"
"January","Siječanj"
"February","Veljača"
"March","Ožujak"
"April","Travanj"
"May","Svibanj"
"June","Lipanj"
"July","Srpanj"
"August","Kolovoz"
"September","Rujan"
"October","Listopad"
"November","Studeni"
"December","Prosinac"
"Jan_January_abbreviation","Sij"
"Feb_February_abbreviation","Velj"
"Mar_March_abbreviation","Ožu"
"Apr_April_abbreviation","Tra"
"May_May_abbreviation","Svi"
"Jun_June_abbreviation","Lip"
"Jul_July_abbreviation","Srp"
"Aug_August_abbreviation","Kol"
"Sep_September_abbreviation","Ruj"
"Oct_October_abbreviation","Lis"
"Nov_November_abbreviation","Stu"
"Dec_December_abbreviation","Pro"
"Sunday","Nedjelja"
"Monday","Ponedjeljak"
"Tuesday","Utorak"
"Wednesday","Srijeda"
"Thursday","Četvrtak"
"Friday","Petak"
"Saturday","Subota"
"Sun","Ned"
"Mon","Pon"
"Tue","Uto"
"Wed","Sri"
"Thu","Čet"
"Fri","Pet"
"Sat","Sub"
"Print","Ispiši"
"Preview","Predpregled"
"Direction left to right","U pravcu slijeva na desno"
"Direction right to left","U pravcu zdesna na lijevo"
"Insert new layer","Unesi novi sloj (layer)"
"Move forward","Premjesti prema naprijed"
"Move backward","Premjesti unatrag"
"Toggle absolute positioning","Prikaži/sakrij apsolutno pozicioniranje"
"New layer...","Novi sloj..."
"Cancel all changes","Poništi sve promjene"
