"Activation Key Required","要求激活密钥"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>无法选择数据库</h1>\n<p>我们可以和数据库服务器建立连接（说明您提供的用户名和密码正确），但无法选择（select） <code>%s</code> 数据库。</p>\n<ul>\n<li>您确认数据库存在？</li>\n<li>您确认用户 <code>%s</code> 拥有使用 <code>%s</code> 数据库的权限？</li>\n<li>在某些系统上您的数据库名可能还包含了您用户名的前缀，例如 <code>username_%s</code>，问题会不会出在这里？</li>\n</ul>\n<p>如果您不知道如何设置一个数据库，您应该<strong>联系您的主机管理员</strong>。如果所有办法还没有解决您的问题，您可以在 <a href=\"http://zh-cn.forums.wordpress.org/\">WordPress 中文论坛</a>上寻求帮助。</p>"
"WordPress database error %s for query %s made by %s","WordPress 数据库查询 %s 时发生 %s 错误，这是由 %s 查询的。"
"WordPress database error %s for query %s","查询 %s 时，WordPress 数据库发生 %s 错误"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>数据库连接错误</h1>\n<p>您在 <code>wp-config.php</code> 文件中提供的数据库用户名和密码可能不正确，或者无法连接到 <code>%s</code> 上的数据库服务器，这意味着您的主机数据库服务器已停止工作。</p>\n<ul>\n\t<li>您确认您提供的用户名和密码正确么？</li>\n\t<li>您确认您提供的主机名正确么？</li>\n\t<li>您确认数据库服务器运行正常么？</li>\n</ul>\n<p>若您不理解上述术语，请联系您的服务提供商。如果您仍需帮助，可访问 <a href='http://zh-cn.forums.wordpress.org/'>WordPress 中文论坛</a>，或 <a href='http://wordpress.org/support/'>WordPress 支持论坛</a>（英文）。</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>错误</strong>：WordPress %s 需要 MySQL %s 以上版本"
"Links for %s","%s 的链接"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","似乎 <code>wp-config.php</code> 文件不存在。WordPress 需要这个文件方可正常工作。"
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","需要帮助？<a href='http://codex.wordpress.org/zh-cn:%sE7%sBC%s96%sE8%sBE%s91_wp-config.php'>没问题！</a>"
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","您可以通过我们提供的 web 向导来创建 <code>wp-config.php</code> 文件，但并非所有服务器都支持我们的配置向导。最安全、传统的办法是手动创建该文件。"
"Create a Configuration File","创建配置文件"
"Powered by WordPress","基于 WordPress"
"Are you lost?","不知道自己在哪？"
"&larr; Back to %s","&larr; 回到 %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>错误</strong>：请输入用户名或电子邮件地址。"
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>错误</strong>：未能通过电子邮件地址找到用户。"
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>错误</strong>：用户名或电子邮件地址无效。"
"Password reset is not allowed for this user","不能重设该用户的密码"
"Someone requested that the password be reset for the following account:","有人要求重设如下帐号的密码："
"If this was a mistake, just ignore this email and nothing will happen.","若这不是您本人要求的，请忽略本邮件，一切如常。"
"To reset your password, visit the following address:","要重置您的密码，请打开下面的链接："
"[%s] Password Reset","[%s] 密码重设"
"The e-mail could not be sent.","无法发送电子邮件。"
"Possible reason: your host may have disabled the mail() function...","可能原因：您的主机禁用了 mail() 函数..."
"Invalid key","无效 key"
"<strong>ERROR</strong>: Please enter a username.","<strong>错误</strong>：请填写用户名。"
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>错误</strong>：此用户名包含无效字符，请输入有效的用户名。"
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>错误</strong>：该用户名已被注册，请再选择一个。"
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>错误</strong>：请填写电子邮件地址。"
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>错误</strong>：电子邮件地址不正确。"
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>错误</strong>：该电子邮件地址已经被注册，请换一个。"
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>错误</strong>：无法完成您的注册请求... 请联系<a href=\"mailto:%s\">管理员</a>！"
"Sorry, that key does not appear to be valid.","抱歉，该 key 似乎无效。"
"Lost Password","忘记密码"
"Please enter your username or email address. You will receive a link to create a new password via email.","请输入您的用户名或电子邮箱地址。您会收到一封包含创建新密码链接的电子邮件。"
"Username or E-mail:","用户名或电子邮件地址："
"Get New Password","获取新密码"
"The passwords do not match.","您两次输入的密码不符。"
"Password Reset","密码重置"
"Your password has been reset.","您的密码已被重置。"
"Reset Password","重置密码"
"Enter your new password below.","请在下方输入您的新密码。"
"New password","新密码"
"Confirm new password","确认新密码"
"Hint: The password should be at least seven characters long. To make it stronger, use upper and lower case letters, numbers and symbols like ! \" ? $ %s ^ &amp; ).","提示：您的密码最好至少包含 7 个字符。为了保证密码强度，使用大小写字母，数字和符号，例如 ! \" ? $ %s ^ &amp; )。"
"Registration Form","注册表单"
"Register For This Site","在这个站点注册"
"A password will be e-mailed to you.","密码将通过电子邮件发送给您。"
"Password Lost and Found","找回密码"
"Lost your password?","忘记密码？"
"You have logged in successfully.","登录成功。"
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href='http://www.google.com/cookies.html'>enable cookies</a> to use WordPress.","<strong>错误</strong>：Cookies 被阻止或者您的浏览器不支持。要使用 WordPress，您必须<a href='http://www.google.com/cookies.html'>启用 cookies</a>。"
"You are now logged out.","您已登出。"
"User registration is currently not allowed.","新用户注册暂时关闭。"
"Check your e-mail for the confirmation link.","请检查您的邮件，内有确认激活链接。"
"Check your e-mail for your new password.","请查收您邮件中的新密码。"
"Registration complete. Please check your e-mail.","注册完成。请查收我们给您发的邮件。"
"Your session has expired. Please log-in again.","登录会话已过期，请重新登录。"
"<strong>You have successfully updated WordPress!</strong> Please log back in to experience the awesomeness.","<strong>WordPress 升级成功！</strong>请重新登录。"
"This action has been disabled by the administrator.","此操作已被管理员禁用。"
"Slow down cowboy, no need to check for new mails so often!","慢点伙计，不需要这么频繁地检查新邮件的！"
"There doesn&#8217;t seem to be any new mail.","没有发现新邮件。"
"Author is %s","作者为 %s"
"<strong>Author:</strong> %s","<strong>作者：</strong>%s"
"<strong>Posted title:</strong> %s","<strong>最终发表的标题：</strong>%s"
"Oops: %s","出错了：%s"
"Mission complete. Message <strong>%s</strong> deleted.","任务完成。消息 <strong>%s</strong> 已删除。"
"Site Name:","站点名称："
"Site Domain:","站点域名："
"sitename","站点名"
"domain","您的域名"
"Your address will be %s.","您的地址将是 %s。"
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","至少 4 个字符。只能使用数字和字母。一旦确定不可更改。"
"Site Title:","站点标题："
"Privacy:","私密性："
"Allow search engines to index this site.","允许搜索引擎对本站点进行索引。"
"Yes","是"
"No","否"
"(Must be at least 4 characters, letters and numbers only.)","(至少 4 个字符。只能使用数字和字母。)"
"Email&nbsp;Address:","电子邮件地址："
"We send your registration email to this address. (Double-check your email address before continuing.)","我们会向这个电子邮件地址发送确认邮件。请仔细核对。"
"Get <em>another</em> %s site in seconds","在几秒钟内即可<strong>再注册</strong>一个 %s 站点"
"There was a problem, please correct the form below and try again.","表单中有错误，请修正后再试。"
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","%s，欢迎您回来！您可以<strong>再向您的帐户中添加站点</strong>。我们不限制用户可拥有的站点总数，因此只要您有足够的写作灵感，我们欢迎您创建新站点！"
"Sites you are already a member of:","您加入的站点："
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","快选个好名字吧，不要让别人抢了。"
"Create Site","创建站点"
"The site %s is yours.","站点 %s 属于您了。"
"<a href=\"http://%s\">http://%s</a> is your new site. <a href=\"%s\">Log in</a> as &#8220;%s&#8221; using your existing password.","<a href=\"http://%s\">http://%s</a> 是您新站点的地址。请使用您这个帐户的密码进行<a href=\"%s\">登录</a>。"
"Get your own %s account in seconds","在几秒中内即可注册一个 %s 帐户"
"Gimme a site!","我同时要创建一个站点！"
"Just a username, please.","不要站点了，光帐户就好。"
"Next","继续"
"%s is your new username","%s 是您的新用户名"
"But, before you can start using your new username, <strong>you must activate it</strong>.","但是，帐户在启用前<strong>需要激活</strong>。"
"Check your inbox at <strong>%s</strong> and click the link given.","请登录您的 <strong>%s</strong> 邮箱，打开我们发送给您的邮件，并点击其中链接。"
"If you do not activate your username within two days, you will have to sign up again.","如果您在两天之内不进行帐户激活，则需要重新注册。"
"Signup","注册"
"Congratulations! Your new site, %s, is almost ready.","恭喜！您的新站点 %s 很快就可以使用了。"
"But, before you can start using your site, <strong>you must activate it</strong>.","但是，在站点启用之前<strong>必须激活</strong>。"
"If you do not activate your site within two days, you will have to sign up again.","如果您在两天之内不进行站点激活，则需要重新注册。"
"Still waiting for your email?","找不到激活邮件？"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","如果您在收件箱无法收到激活邮件，您可以尝试："
"Wait a little longer. Sometimes delivery of email can be delayed by processes outside of our control.","多等一会儿。出于各种网络因素，邮件的发送可能会有延迟。"
"Check the junk or spam folder of your email client. Sometime emails wind up there by mistake.","在垃圾邮件箱中找。有时我们的邮件会被误判。"
"Have you entered your email correctly?  You have entered %s, if it&#8217;s incorrect, you will not receive your email.","核对您是否输入了正确的电子邮件地址。您输入的是 %s。如果不是，则您大概无法收到验证邮件。"
"all","全部"
"none","无"
"blog","博客"
"user","用户"
"Greetings Site Administrator! You are currently allowing &#8220;%s&#8221; registrations. To change or disable registration go to your <a href=\"%s\">Options page</a>.","站点管理员您好！您目前允许&#8220;%s&#8221;的注册。要进行权限修改，请前往<a href=\"%s\">“选项”页面</a>。"
"Registration has been disabled.","不开放注册。"
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","创建站点需要<a href=\"%s\">登录</a>。"
"User registration has been disabled.","不开放用户注册。"
"Site registration has been disabled.","不开放站点注册。"
"Sorry, new registrations are not allowed at this time.","抱歉，暂不开放注册。"
"You are logged in already. No need to register again!","您已登录，无需重新注册。"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p>您正在找的站点（<strong>%s</strong>）不存在。您可以用这个名字创建您自己的博客！</p>"
"This is somewhat embarrassing, isn&rsquo;t it?","有点尴尬诶。"
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","我们可能无法找到您需要的内容。或许搜索功能可以帮到您。"
"Daily Archives: %s","日度归档：%s"
"Monthly Archives: %s","月度归档：%s"
"F Y","Y 年F"
"Yearly Archives: %s","年度归档：%s"
"Y","Y 年"
"Author Archives: %s","作者归档：%s"
"About %s","关于 %s"
"Category Archives: %s","分类目录归档：%s"
"Comment navigation","评论导航"
"&larr; Older Comments","&larr; 早期评论"
"Newer Comments &rarr;","较新评论 &rarr;"
"Permalink to %s","链向 %s 的固定链接"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","继续阅读 <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","发表回复"
"1 Reply","1 条回复"
"%s Replies","%s 条回复"
"Nothing Found","未找到"
"Apologies, but no results were found. Perhaps searching will help find a related post.","抱歉，无结果。也许搜索能帮到您。"
"Featured post","特色文章"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","查看所有由 %s 发表的文章 <span class=\"meta-nav\">&rarr;</span>"
"Semantic Personal Publishing Platform","优雅的个人发布平台"
"Proudly powered by %s","自豪地采用 %s"
"Primary Menu","主菜单"
"on","开"
"Page %s","第 %s 页"
"Main Sidebar","主边栏"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","显示在所有文章和页面。一个例外是可选的“首页”模板，该模板使用独立的一套小工具"
"First Front Page Widget Area","第一首页小工具区域"
"Appears when using the optional Front Page template with a page set as Static Front Page","当您将静态页面设置成首页，并将“首页”模板设为该页面的模板时显示"
"Second Front Page Widget Area","第二首页小工具区域"
"Post navigation","文章导航"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> 早期文章"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","较新文章 <span class=\"meta-nav\">&rarr;</span>"
"Pingback:","Pingback 引用通告："
"Post author","文章作者"
"View all posts by %s","查看所有由 %s 发布的文章"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","本条目发布于 %s。属于 %s 分类，被贴了 %s 标签。<span class=\"by-author\">作者是 %s。</span>"
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","本条目发布于 %s。属于 %s 分类。<span class=\"by-author\">作者是 %s。</span>"
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","本条目发布于 %s。<span class=\"by-author\">作者是 %s。</span>"
"Menu","菜单"
"Skip to content","跳至内容"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">发表于 </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span>，尺寸为 <a href=\"%s\" title=\"到全尺寸图像的链接\">%s &times; %s</a>，属于 <a href=\"%s\" title=\"回到 %s\" rel=\"gallery\">%s</a>。"
"&larr; Previous","&larr; 上一个"
"Next &rarr;","下一个 &rarr;"
"No posts to display","没有可显示的文章"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","准备好发布第一篇文章了？<a href=\"%s\">从这里开始</a>。"
"Search Results for: %s","%s 的搜索结果"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","抱歉，没有符合您搜索条件的结果。请换其它关键词再试。"
"Tag Archives: %s","标签归档：%s"
"The 2012 theme for WordPress is a fully responsive theme that looks great on any device. Features include a front page template with its own widgets, an optional display font, styling for post formats on both index and single views, and an optional no-sidebar page template. Make it yours with a custom menu, header image, and background.","WordPress 的 2012 年主题处处采用了自适应网页设计的理念进行设计，在任何设备上都显示得完美无缺。本主题还提供一个特殊的首页模板，该模板包含一组独立的小工具。其它特点还有：可选字体、自定义不同文章形式的样式、无边栏页面模板。主题支持自定义菜单、自定义顶部图像和自定义背景。"
"the WordPress team","WordPress 团队"
"Front Page Template","首页模板"
