"New password","סיסמה חדשה"
"Image crop failed.","חיתוך התמונה נכשל."
"Image rotate failed.","סיבוב התמונה נכשל."
"Image flip failed.","סיבוב התמונה נכשל."
"Image Editor Save Failed","שמירה נכשלה"
"Could not read image size","לא ניתן לזהות את מידות התמונה"
"The theme directory does not exist.","ספריית ערכות העיצוב לא קיימת."
"Stylesheet is missing.","חסר קובץ CSS."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","שגיאה: ספריית ערכות העיצוב ריקה או שהיא אינה קיימת. יש לבדוק את ההתקנה."
"Stylesheet is not readable.","גיליון הסגנון אינו קריא."
"Template is missing.","התבנית מקולקלת או חסרה."
"The parent theme is missing. Please install the \"%s\" parent theme.","ערכת העיצוב שבחרת היא ערכת בת, אבל ערכת האם לא מותקנת. צריך להתקין את הערכה \"%s\" כדי להשתמש בערכת העיצוב שבחרת."
"The \"%s\" theme is not a valid parent theme.","ערכת העיצוב \"%s\" אינה ערכת-אב תקינה."
"Visit author homepage","עמוד הבית של המפתחים"
"Anonymous","משתמש אנונימי (לא מזוהה)"
",",", "
"XML-RPC services are disabled on this site.","שירותי XML-RPC באתר זה מנותקים."
"Incorrect username or password.","שם משתמש או סיסמה לא נכונים."
"Software Name","שם התוכנה"
"Software Version","גרסת התוכנה"
"Site URL","כתובת האתר"
"Home URL","כתובת של האתר"
"Image default link type","קישור תמונת ברירת מחדל"
"Image default size","מימדי תמונת ברירת מחדל"
"Image default align","יישור תמונת ברירת מחדל"
"Template","ערכת עיצוב"
"Stylesheet","גיליון סגנון"
"Post Thumbnail","תמונה ראשית"
"Time Zone","אזור זמן"
"Site Tagline","תיאור האתר"
"Date Format","תבנית תאריך"
"Time Format","תבנית שעה"
"Allow new users to sign up","אפשר למשתמש חדשים להירשם לאתר"
"Thumbnail Width","רוחב לתמונה מוקטנת"
"Thumbnail Height","גובה לתמונה מוקטנת"
"Crop thumbnail to exact dimensions","לחתוך לממדים מדויקים"
"Medium size image width","רוחב תמונה בינונית"
"Medium size image height","גובה תמונה בינונית"
"Large size image width","רוחב תמונה גדולה"
"Large size image height","גובה תמונה גדולה"
"Allow people to post comments on new articles","להרשות לקוראים להגיב לפוסטים חדשים"
"Allow link notifications from other blogs (pingbacks and trackbacks)","אפשר הצגה של קישורים לפוסטים מאתרים אחרים (פינגים וטראקבאקים)"
"Insufficient arguments passed to this XML-RPC method.","לא הועברו מספיק פרמטרים לשיטת XML-RPC זו."
"Invalid post type","סוג תוכן לא תקני."
"Invalid post ID.","מספר פוסט לא תקני."
"Sorry, you are not allowed to edit this post.","אין לך הרשאות לערוך פוסט זה."
"The post type may not be changed.","לא ניתן לשנות את סוג הפוסט."
"Sorry, you are not allowed to post on this site.","אין לך הרשאות לכתוב פוסטים."
"Sorry, you are not allowed to create private posts in this post type","אין לך הרשאות ליצור תכנים פרטיים."
"Sorry, you are not allowed to publish posts in this post type","אין לך הרשאות לפרסם תכנים."
"Sorry, you are not allowed to create password protected posts in this post type","אין לך הרשאות ליצור תכנים מוגנים בסיסמה."
"You are not allowed to create posts as this user.","אין לך הרשאות ליצור פוסטים."
"Invalid author ID.","מספר משתמש לא תקני."
"Sorry, you cannot stick a private post.","לא ניתן להדביק פוסט פרטי."
"Sorry, you are not allowed to stick this post.","אין לך הרשאות להדביק פוסט זה לעמוד ראשי."
"Invalid attachment ID.","מספר קובץ לא תקני."
"Sorry, one of the given taxonomies is not supported by the post type.","אחת מהטקסונומיות לא נתמכת על ידי סוג התוכן."
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","אין לך הרשאות להוסיף שדות לטקסונומיות זו."
"Invalid term ID","מזהה לא תקני"
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","נעשה שימוש במונח מעורפל בטקסונומיה היררכית. נא להשתמש במספר ID של הפריט."
"Sorry, you are not allowed to add a term to one of the given taxonomies.","אין לך הרשאות להוסיף שדות טקסונומיות זו."
"Sorry, your entry could not be posted. Something wrong happened.","פרסום הפוסט נכשל."
"There is a revision of this post that is more recent.","קיימת גרסה עדכנית יותר של הפוסט."
"Sorry, you are not allowed to delete this post.","אין לך הרשאות למחוק פוסט זה."
"The post cannot be deleted.","לא ניתן למחוק את הפוסט."
"Sorry, you cannot edit this post.","אין לך הרשאות לערוך פוסט זה."
"The post type specified is not valid","סוג הפוסט שנבחר לא תקין"
"Sorry, you are not allowed to edit posts in this post type","אין לך הרשאות לערוך תכנים מסוג זה."
"Invalid taxonomy","מונח לא תקני"
"You are not allowed to create terms in this taxonomy.","אין לך הרשאות ליצור פריטים בטקסונומיה זו."
"The term name cannot be empty.","יש להזין כותרת לפריט."
"This taxonomy is not hierarchical.","הטקסונומיה איננה היררכית."
"Parent term does not exist.","לא קיים פריט אב."
"Sorry, your term could not be created. Something wrong happened.","לא ניתן ליצור את הפריט."
"You are not allowed to edit terms in this taxonomy.","אין לך הרשאות לערוך פריטים בטקסונומיה זו."
"This taxonomy is not hierarchical so you can't set a parent.","הטקסונומיה אינה בעלת מבנה היררכי, לכן לא ניתן להגדיר לה אב."
"Sorry, editing the term failed.","עריכת הפריט נכשלה."
"You are not allowed to delete terms in this taxonomy.","אין לך הרשאות למחוק פריטים בטקסונומיה זו."
"Sorry, deleting the term failed.","מחיקת הפריט נכשלה."
"You are not allowed to assign terms in this taxonomy.","אין לך הרשאות לשייך פריטים לטקסונומיה זו."
"Sorry, you cannot edit users.","אינך יכול לערוך משתמשים."
"Invalid user ID","מזהה משתמש לא תקני"
"Sorry, you cannot list users.","אינך רשאי להציג משתמשים."
"The role specified is not valid","התפקיד שהוגדר אינו חוקי"
"Sorry, you cannot edit your profile.","אינך יכול לערוך את הפרופיל שלך."
"Sorry, the user cannot be updated.","לא ניתן לעדכן את פרטי המשתמש."
"Sorry, you cannot edit this page.","אין לך הרשאות לערוך עמוד זה."
"Sorry, no such page.","העמוד לא קיים."
"Sorry, you cannot edit pages.","אין לך הרשאות לערוך עמודים."
"Sorry, you do not have the right to delete this page.","אין לך הרשאות למחוק עמוד זה."
"Failed to delete the page.","מחיקת הדף נכשלה."
"Sorry, you do not have the right to edit this page.","אין לך הרשאות למחוק עמוד זה."
"Sorry, you cannot edit posts on this site.","אין לך הרשאות לערוך פוסטים."
"Sorry, you must be able to edit posts on this site in order to view tags.","אין לך הרשאות לערוך פוסטים, ולכן גם רשימת התגיות חסומה."
"Sorry, you do not have the right to add a category.","אין לך הרשאות להוסיף קטגוריות."
"Sorry, the new category failed.","יצירת הקטגוריה נכשלה."
"Sorry, you do not have the right to delete a category.","אין לך הרשאות למחוק קטגוריות."
"Sorry, you must be able to edit posts to this site in order to view categories.","אין לך הרשאות לערוך פוסטים, ולכן גם רשימת הקטגוריות חסומה."
"You are not allowed to moderate comments on this site.","אין לך הרשאות לנהל תגובות."
"Invalid comment ID.","מספר תגובה לא תקני."
"Sorry, you cannot edit comments.","אין לך הרשאות לערוך תגובות."
"Invalid comment status.","סטאטוס תגובה לא תקני."
"Sorry, the comment could not be edited. Something wrong happened.","עריכת התגובה נכשלה."
"You must be registered to comment","צריך להתחבר למערכת כדי להשתתף בדיון"
"Comment author name and email are required","יש להזין שם וכתובת אימייל כדי להגיב"
"A valid email address is required","לא הוזנה כתובת אימייל תקינה"
"You are not allowed access to details about this site.","אין לך הרשאות להציג פרטים על אתר זה."
"You are not allowed access to details about comments.","אין לך הרשאות להציג פרטי תגובות."
"You are not allowed to update options.","אין לך הרשאות לשנות הגדרות."
"You do not have permission to upload files.","אין לך הרשאות להעלות קבצים."
"Sorry, you are not allowed to edit this post type.","אין לך הרשאות לערוך תכנים מסוג זה."
"Invalid post ID","מספר פוסט לא תקני."
"Sorry, you are not allowed to edit posts.","אין לך הרשאות לערוך פוסטים."
"Sorry, revisions are disabled.","ניהול גרסאות לא פעיל."
"Sorry, you do not have access to user data on this site.","אין לך הרשאות לגשת לנתוני משתמשים."
"Either there are no posts, or something went wrong.","בעיה: או שאין פוסטים, או שמשהו השתבש."
"Sorry, that file cannot be edited.","סליחה, לא ניתן לערוך קובץ זה."
"Sorry, no such post.","הפוסט לא קיים."
"Sorry, you do not have the right to edit this post.","אין לך הרשאות לערוך פוסט זה."
"Sorry, you do not have the right to publish this post.","אין לך הרשאות לפרסם פוסט זה."
"For some strange yet very annoying reason, this post could not be edited.","מסיבה כלשהי, לא ניתן לשמור שינויים בפוסט זה."
"Sorry, you do not have the right to delete this post.","אין לך הרשאות למחוק פוסט זה."
"For some strange yet very annoying reason, this post could not be deleted.","מסיבה כלשהי, מחיקת הפוסט נכשלה."
"Sorry, you are not allowed to publish pages on this site.","אין לך הרשאות לפרסום עמודים."
"Sorry, you are not allowed to publish posts on this site.","אין לך הרשאות לפרסום פוסטים."
"Invalid post format","סוג תוכן לא תקני"
"You are not allowed to create pages as this user.","אינך רשאי ליצור עמודים בשם משתמש זה."
"You are not allowed to change the post author as this user.","אין לך הרשאות לשנות את המחבר בפוסט זה."
"You are not allowed to change the page author as this user.","אין לך הרשאות לשנות את המחבר בעמוד זה."
"Sorry, you do not have the right to publish this page.","אין לך הרשאות לפרסם עמוד זה."
"Sorry, your entry could not be edited. Something wrong happened.","לא ניתן לערוך את פוסט. ארעה תקלה."
"Sorry, you must be able to edit posts on this site in order to view categories.","אין לך הרשאות לעריכת פוסטים, ולכן גם רשימת הקטגוריות חסומה."
"Could not write file %s (%s)","לא ניתן לכתוב לקובץ %s (%s)"
"Sorry, you can not edit this post.","אין לך הרשאות לערוך פוסט זה."
"Sorry, you cannot publish this post.","אין לך הרשאות לפרסום פוסט זה."
"Is there no link to us?","אין קישור אלינו?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","לא ניתן לשלוח פינגבאק לכתובת שנבחרה. הכתובת לא קיימת או שהיא לא תומכת בפינגבאקים."
"The source URL and the target URL cannot both point to the same resource.","בעיה: כתובות המקור והיעד לא יכולות להיות זהות."
"The pingback has already been registered.","בעיה: הפינגבאק הזה נרשם כבר."
"The source URL does not exist.","בעיה: כתובת המקור לא קיימת."
"We cannot find a title on that page.","לא נמצאה כותרת בעמוד זה."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","בעיה: כתובת המקור לא מכילה קישור ליעד, ולכן אי אפשר להשתמש בה."
"Pingback from %s to %s registered. Keep the web talking! :-)","בעיה: נשלח פינגבאק מ-%s אל-%s."
"The specified target URL does not exist.","כתובת היעד שנבחרה לא קיימת."
"%s Comments","%s תגובות"
"No Comments","אין תגובות"
"1 Comment","תגובה אחת"
"Comment","התגובה שלך"
"Trackback","טראקבאק"
"Pingback","פינגבאק"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","השתמש ב-<code>get_trackback_url()</code> כדי לשלוף את הערך מבלי להציג אותו."
"Comments Off","סגור לתגובות"
"Enter your password to view comments.","יש להזין סיסמה כדי לראות את התגובות."
"Comment on %s","תגובה לפוסט: &quot;%s&quot;&rlm;"
"Reply","תגובה"
"Log in to Reply","התחבר למערכת כדי להשתתף בדיון"
"Leave a Comment","להגיב"
"Log in to leave a Comment","להגיב"
"Click here to cancel reply.","ביטול"
"Leave a Reply","כתיבת תגובה"
"Leave a Reply to %s","להגיב על %s"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<span class=\"says\">מאת</span> <cite class=\"fn\">%s</cite>:"
"Your comment is awaiting moderation.","תגובתך ממתינה לאישור."
"%s at %s","%s בשעה %s"
"(Edit)","(עריכה)"
"Email","אימייל"
"Website","אתר"
"Required fields are marked %s","(%s) שדות חובה מסומנים"
"You must be <a href=\"%s\">logged in</a> to post a comment.","יש <a href=\"%s\">להתחבר למערכת</a> כדי לכתוב תגובה."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","שלום <a href=\"%s\">%s</a>. זה לא אני! <a href=\"%s\" title=\"לצאת ולהתחבר בשם אחר\">להתחבר בשם אחר</a>"
"Your email address will not be published.","האימייל לא יוצג באתר."
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","תגי <abbr title=\"HyperText Markup Language\">HTML</abbr> מותרים: %s"
"Cancel reply","לבטל"
"Post Comment","להגיב"
"Unapproved","תגובה לא מאושרת"
"Approved","תגובות מאושרות"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","התגובה הזאת קיימת; נראה שכבר אמרת את זה."
"You are posting comments too quickly. Slow down.","שלחת יותר מדי תגובות בבת אחת. לאט לך."
"Could not update comment status","לא ניתן לעדכן את מצב התגובה"
"Once Hourly","פעם בשעה"
"Twice Daily","פעמיים ביום"
"Once Daily","פעם ביום"
"Your site&#8217;s WordPress Pages","רשימת העמודים באתר"
"Sort by:","איך למיין את הרשימה?"
"Page title","לפי כותרות העמודים"
"Page order","לפי סדר העמודים"
"Page ID","לפי מספרי העמודים"
"Exclude:","לא להציג:"
"Page IDs, separated by commas.","מספרי עמודים, עם פסיקים ביניהם"
"Your blogroll","הקישורים שלך"
"Links","קישורים"
"Select Link Category:","קטגוריית קישור:"
"All Links","כל הקישורים"
"Link title","כותרת קישור"
"Link rating","דרוג הקישור"
"Link ID","מספר הקישור"
"Random","אקראי"
"Show Link Image","הצג את תמונת הקישור"
"Show Link Name","הצגאת את שם הקישור"
"Show Link Description","הצג את תיאור הקישור"
"Show Link Rating","הצג דירוג לינקים"
"Number of links to show:","מספר קישורים להצגה:"
"A search form for your site","שדה חיפוש לתכני האתר"
"A monthly archive of your site&#8217;s posts","ארכיון חודשי של הפוסטים באתר"
"Archives","ארכיון"
"Select Month","בחר חודש"
"Display as dropdown","הצג כרשימה נפתחת"
"Show post counts","להציג את כמות הפוסטים בכל קטגוריה?"
"Log in/out, admin, feed and WordPress links","התחברות/יציאה מהמערכת, קישור לממשק הניהול, קישורים לפידים וקישור לוורדפרס"
"Meta","כלים"
"Syndicate this site using RSS 2.0","פיד RSS עם הפוסטים האחרונים באתר הזה"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","פיד <abbr title=\"Really Simple Syndication\">RSS</abbr> לפוסטים"
"The latest comments to all posts in RSS","התגובות האחרונות של כל הפוסטים, ב־RSS"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","הזנת <abbr title=\"Really Simple Syndication\">RSS</abbr> לתגובות"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","פועל על וורדפרס, מערכת אישית פתוחה לניהול אתרים עצמאיים"
"A calendar of your site&#8217;s posts","ארכיון יומי של הפוסטים באתר, מוצג כלוח שנה"
"Calendar","לוח שנה"
"Arbitrary text or HTML","טקסט חופשי (או HTML)"
"Automatically add paragraphs","לחלק אוטומטית לפסקאות"
"A list or dropdown of categories","רשימה רגילה או רשימה נגללת (dropdown) של קטגוריות"
"Select Category","בחר קטגוריה"
"Show hierarchy","הצג היררכיה"
"The most recent posts on your site","הפוסטים האחרונים באתר"
"Recent Posts","פוסטים אחרונים"
"Number of posts to show:","כמות הפוסטים שיוצגו:"
"Display post date?","הצגת תאריך?"
"The most recent comments","תגובות אחרונות"
"Recent Comments","תגובות אחרונות"
"%s on %s","%s על %s"
"Number of comments to show:","כמות התגובות שיוצגו:"
"Entries from any RSS or Atom feed","תוכן חופשי מכל פיד RSS או Atom"
"Unknown Feed","פיד לא מוכר"
"Syndicate this content","פיד RSS"
"<strong>RSS Error</strong>: %s","<strong>שגיאה בפיד RSS</strong>:&rlm; %s"
"An error has occurred, which probably means the feed is down. Try again later.","לא ניתן להגיע לפיד, השרת כנראה לא פעיל. יש לנסות שנית מאוחר יותר."
"Untitled","ללא כותרת"
"RSS Error: %s","בעיה ב-RSS: %s"
"Enter the RSS feed URL here:","כתובת URL לפיד:"
"Give the feed a title (optional):","כותרת לפיד (לא חובה):"
"How many items would you like to display?","כמה פריטים להציג?"
"Display item content?","להציג את התוכן?"
"Display item author if available?","להציג את המחבר, במידת האפשר?"
"Display item date?","להציג את התאריך?"
"Your most used tags in cloud format","התגיות הנפוצות ביותר בצורת ענן"
"Tag Cloud","ענן תגיות"
"Taxonomy:","טקסונומיה:"
"Use this widget to add one of your custom menus as a widget.","הווידג'ט הזה מאפשר להציג את התפריטים שיצרת בסרגל הצדדי"
"Custom Menu","תפריט"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","אין כאן <a href=\"%s\">תפריטים</a> שאפשר להשתמש בהם."
"Select Menu:","תפריט:"
"new WordPress Loop","לולאת וורדפרס חדשה"
"None","ללא"
"Last updated","עודכן לאחרונה"
"Missing Attachment","חסר קובץ מצורף"
"First Post","הפוסט הראשון"
"Last Post","הפוסט האחרון"
"Are you sure you want to do this?","האם אתה בטוח שאתה רוצה לעשות זאת?"
"File &#8220;%s&#8221; doesn&#8217;t exist?","הקובץ &quot;%s&quot; לא קיים?"
"The GD image library is not installed.","ספריית עיבוד התמונות GD לא מותקנת."
"File &#8220;%s&#8221; is not an image.","הקובץ &quot;%s&quot; הוא לא תמונה."
"Comments on %s","תגובות לפוסט: &quot;%s&quot;&rlm;"
"Comments for %s searching on %s","תגובות על %s לפי החיפוש %s"
"Comments for %s","תגובות לפוסט: &quot;%s&quot;"
"Comment on %s by %s","תגובה לפוסט: &quot;%s&quot; מאת &quot;%s&quot;"
"By: %s","מאת: %s"
"Comments on: %s","תגובות לפוסט: &quot;%s&quot;"
"Protected Comments: Please enter your password to view comments.","פוסט זה מוגן בסיסמה. צריך להזין את הסיסמה כדי לראות את התגובות."
"&#8220;","&quot;"
"&#8221;","&quot;"
"&#8217;","'"
"&#8242;","'"
"&#8243;","&quot;"
"&#8216;","'"
"%s min","דקה אחת"
"%s mins","%s דקות"
"%s hour","שעה אחת"
"%s hours","%s שעות"
"%s day","יום אחד"
"%s days","%s ימים"
"words","מילים"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","כתובת האימייל שהוזנה איננה כתובת אימייל תקינה. יש לנסות שנית."
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","כתובת וורדפרס שהוזנה איננה כתובת תקינה. יש לנסות שנית."
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","כתובת האתר שהוזנה איננה כתובת תקינה. יש לנסות שנית."
"The timezone you have entered is not valid. Please select a valid timezone.","אזור הזמן שנבחר אינו קיים. יש לבחור אזור זמן תקין."
", and",", ו"
"and"," ו"
"ERROR: %s is not a valid feed template.","שגיאה: %s היא לא תבנית פיד תקנית."
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","אחת או יותר מהטבלאות בבסיס הנתונים אינן פועלות כהלכה. ייתכן שצריך <a href=\"%s\">לתקן</a> את בסיס הנתונים."
"Unable to create directory %s. Is its parent directory writable by the server?","לא ניתן ליצור את התיקייה %s. יש לבדוק שתיקיית האב שלה ניתנת לכתיבה."
"Empty filename","שם הקובץ ריק"
"Invalid file type","סוג קובץ לא תקני"
"Could not write file %s","לא ניתן לשמור את הקובץ %s"
"WordPress Failure Notice","וורדפרס &raquo; בעיה"
"You are attempting to log out of %s","ניסית לצאת מהמערכת באתר %s"
"Do you really want to <a href='%s'>log out</a>?","באמת רצית <a href='%s'>לצאת מהמערכת</a>?"
"Please try again.","יש לנסות שנית."
"&laquo; Back","&laquo; לחזור אחורה"
"WordPress &rsaquo; Error","וורדפרס &rsaquo;שגיאה"
"Database Error","שגיאה במסד הנתונים"
"Error establishing a database connection","שגיאת התחברות למסד הנתונים"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","%s <strong>לא קיים</strong> מאז גרסה %s! השתמשו ב %s במקום."
"%s is <strong>deprecated</strong> since version %s with no alternative available.","%s <strong>לא קיים</strong> מאז גרסה %s ואין תחליף חלופי."
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","%s was called with an argument that is <strong>deprecated</strong> since version %s. %s"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","%s הופעל עם ארגומנט אשר <strong>אינו קיים</strong> החל מגרסה %s וללא תחליף זמין."
"(This message was added in version %s.)","(הודעה זו נוספה בגרסה %s.)"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","כנסו ל-<a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> למידע נוסך."
"%s was called <strong>incorrectly</strong>. %s %s","%s נקרא <strong>בצורה לא תקינה</strong>. %s %s"
"Select a city","בחירת עיר"
"Manual Offsets","התאמות ידניות"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","סקריפטים וסגנונות לא צריכים להרשם או להיטען לפני ווים %s,%s, או %s."
"Search for:","חיפוש: "
"Log in","התחבר"
"Log out","לצאת"
"Username","שם משתמש"
"Password","סיסמה"
"Remember Me","זכור אותי"
"Log In","התחבר"
"Register","הרשמה"
"Site Admin","ניהול"
"Search Results %s %s","תוצאות חיפוש %s %s"
"Page not found","העמוד לא נמצא"
"View posts for %s %s","הפוסטים מהחודש  %s %s"
"%s %s Feed","%s %s פיד‏"
"%s %s Comments Feed","%s %s פיד תגובות‏"
"%s %s %s Comments Feed","%s %s תגובות על הפוסט &quot;%s&quot;&rlm;"
"%s %s %s Category Feed","%s %s פוסטים מהקטגוריה &quot;%s&quot;&rlm;"
"%s %s %s Tag Feed","%s %s פוסטים עם התג &quot;%s&quot;&rlm;"
"%s %s Posts by %s Feed","%s %s פוסטים מאת %s&rlm;"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s תוצאות החיפוש &quot;%s&quot; (פיד עדכונים)&rlm;"
"%s %s %s Feed","הזנת %s %s %s"
"&laquo; Previous","&laquo; אחורה"
"Next &raquo;","הבא &raquo;"
"Blue","כחול"
"Gray","אפור"
"Do you want to use the WYSIWYG mode for this textarea?","רוצה להשתמש בעורך הוויזואלי (WYSIWYG) לעריכת טקסטים באתר?"
"Apply","החל"
"Insert","להכניס"
"Close","סגור"
"Browse","לעיין"
"-- Not set --","-- לא מוגדר --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","אי אפשר להשתמש בהעתקה/גזירה/הדבקה במוזילה ופיירפוקס."
"Currently not supported by your browser, use keyboard shortcuts instead.","הדפדפן שלך לא תומך באפשרויות האלו כרגע, אפשר להשתמש במקום בקיצורי המקלדת הרגילים."
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","חוסם הפופ-אפים חסם חלון של המערכת. יש לנטרל את חוסם הפופ-אפים עבור אתר זה כדי שהמערכת תוכל לפעול כהלכה."
"ERROR: Invalid values entered, these are marked in red.","שגיאה: הוזנו ערכים לא תקינים."
"{#field} must be a number","{#field} צריך להיות מספר"
"{#field} must be a number greater than {#min}","{#field} צריך להיות מספר גדול יותר מ-{#min}"
"{#field} must be a number or percentage","{#field} צריך להיות מספר או אחוז"
"More colors","עוד צבעים"
"Black","שחור"
"Burnt orange","כתום שרוף"
"Dark olive","זית כהה"
"Dark green","ירוק כהה"
"Dark azure","תכלת כהה"
"Navy Blue","כחול כהה"
"Indigo","כחול אינדיגו"
"Very dark gray","אפור כהה מאוד"
"Maroon","חום אדום"
"Orange","כתום"
"Olive","זית"
"Green","ירוק"
"Teal","טורקיז מלוכלך"
"Grayish blue","כחול אפרפר"
"Red","אדום"
"Amber","כתום צהוב"
"Yellow green","צהוב ירוק"
"Sea green","ירוק ים"
"Turquoise","טורקיז"
"Royal blue","כחול מלכותי"
"Purple","סגול"
"Medium gray","אפור בינוני"
"Magenta","מג'נטה"
"Gold","זהב"
"Yellow","צהוב"
"Lime","ליים"
"Aqua","מים"
"Sky blue","כחול שמיים"
"Brown","חום"
"Silver","כסף"
"Pink","ורוד"
"Peach","אפרסק"
"Light yellow","צהוב בהיר"
"Pale green","ירוק חיוור"
"Pale cyan","ציאן חיוור"
"Light sky blue","שמיים בהירים"
"Plum","שזיף"
"White","לבן"
"Alignment","יישור"
"Full","מלא"
"Insert date","להכניס תאריך"
"Insert time","להכניס זמן"
"January","ינואר"
"February","פברואר"
"March","מרץ"
"April","אפריל"
"May","מאי"
"June","יוני"
"July","יולי"
"August","אוגוסט"
"September","ספטמבר"
"October","אוקטובר"
"November","נובמבר"
"December","דצמבר"
"Jan_January_abbreviation","ינואר"
"Feb_February_abbreviation","פברואר"
"Mar_March_abbreviation","מרץ"
"Apr_April_abbreviation","אפריל"
"May_May_abbreviation","מאי"
"Jun_June_abbreviation","יוני"
"Jul_July_abbreviation","יולי"
"Aug_August_abbreviation","אוגוסט"
"Sep_September_abbreviation","ספטמבר"
"Oct_October_abbreviation","אוקטובר"
"Nov_November_abbreviation","נובמבר"
"Dec_December_abbreviation","דצמבר"
"Sunday","יום ראשון"
"Monday","יום שני"
"Tuesday","יום שלישי"
"Wednesday","יום רביעי"
"Thursday","יום חמישי"
"Friday","יום שישי"
"Saturday","יום שבת"
"Sun","א"
"Mon","ב"
"Tue","ג"
"Wed","ד"
"Thu","ה"
"Fri","ו"
"Sat","ש"
"Print","להדפיס"
"Preview","תצוגה מקדימה"
"Direction left to right","כיווניות משמאל לימין"
"Direction right to left","כיווניות מימין לשמאל"
"Insert new layer","להוסיף שכבה חדשה"
"Move forward","להעביר קדימה"
"Move backward","להעביר אחורה"
"Toggle absolute positioning","להפעיל/לבטל מיקום אבסולוטי"
"New layer...","שכבה חדשה&#8230;"
"Cancel all changes","לבטל את כל השינויים"
"Insert non-breaking space character","להוסיף תו non-breaking space"
"Run spell checking","בדיקת איות"
"ieSpell not detected. Do you want to install it now?","ה-ieSpell לא נמצא. להתקין אותו עכשיו?"
"Horizontal rule","סרגל אופקי"
"Emotions","אמוטיקונים"
"Find","חיפוש"
"Find/Replace","חיפוש/החלפה"
"Insert/edit image","הוסף/ערוך תמונה"
"Insert/edit link","הוסף/ערוך קישור"
"Citation","ציטטה"
"Abbreviation","קיצור"
"Acronym","ראשי תיבות"
"Deletion","מחיקה"
"Insertion","תוספת"
"Insert/Edit Attributes","הוסף/ערוך מאפיינים"
"Edit CSS Style","עריכת CSS"
"Paste as Plain Text","להדביק כטקסט רגיל (בלי עיצוב)"
"Paste from Word","להדביק מ-Word"
"Select All","בחר הכל"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","ההדבקה פועלת במצב טקסט ללא עיצוב. לחיצה נוספת תחזיר למצב הדבקה רגיל. בכל מקרה, ההדבקה תחזור למצב הרגיל אחרי ההדבקה הבאה."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","ההדבקה מופעלת במצב טקסט ללא עיצוב. לחיצה נוספת תחזיר למצב הדבקה רגיל."
"Use CTRL+V on your keyboard to paste the text into the window.","הדבק את הטקסט בחלון זה עם קיצור המקלדת Ctrl+V."
"Keep linebreaks","לשמר את שבירת השורות בטקסט"
"Inserts a new table","להוסיף טבלה חדשה"
"Insert row before","להוסיף שורה לפני"
"Insert row after","להוסיף שורה אחרי"
"Delete row","מחק שורה"
"Insert column before","להוסיף טור לפני"
"Insert column after","להוסיף טור אחרי"
"Remove column","להסיר תאים"
"Split merged table cells","לפצל תאים"
"Merge table cells","למזג תאי טבלה"
"Table row properties","מאפייני שורת טבלה"
"Table cell properties","מאפייני תא טבלה"
"Table properties","מאפייני טבלה"
"Paste table row before","להדביק שורת טבלה לפני השורה הנוכחית"
"Paste table row after","להדביק שורת טבלה אחרי השורה הנוכחית"
"Cut table row","לחתוך שורת טבלה"
"Copy table row","להעתיק שורת טבלה"
"Delete table","מחק טבלה"
"Row","שורה"
"Column","טור בטבלה"
"Cell","תא בטבלה"
"The changes you made will be lost if you navigate away from this page.","ניסית לעבור לעמוד אחר אבל עדיין לא שמרת את השינויים שעשית בעמוד הזה."
"Toggle fullscreen mode (Alt + Shift + G)","מסך מלא (Alt + Shift + G)"
