"New password","新規パスワード"
"For some strange yet very annoying reason, this post could not be deleted.","なにか面妖でとてもうっとうしい理由のため、この投稿は削除できませんでした。"
"Sorry, you are not allowed to publish pages on this site.","このサイトでページを公開する権限がありません。"
"Sorry, you are not allowed to publish posts on this site.","このサイトで投稿を公開する権限がありません。"
"Invalid post format","無効な投稿フォーマットです"
"You are not allowed to create pages as this user.","固定ページを作成する権限がありません。"
"You are not allowed to change the post author as this user.","投稿作成者を変更する権限がありません。"
"You are not allowed to change the page author as this user.","ページ作成者を変更する権限がありません。"
"Sorry, you do not have the right to publish this page.","このページを公開する権限がありません。"
"Sorry, your entry could not be edited. Something wrong happened.","投稿を編集できませんでした。何か問題が起こりました。"
"Sorry, you must be able to edit posts on this site in order to view categories.","カテゴリーを表示するにはこのサイトの投稿を編集する権限が必要です。"
"Could not write file %s (%s)","ファイル %s (%s) に書き込めませんでした"
"Sorry, you can not edit this post.","この投稿の編集はできません。"
"Sorry, you cannot publish this post.","この投稿を公開することはできません。"
"Is there no link to us?","私たちへのリンクはないのですか ?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","指定されたターゲット URL はターゲットとして使用できません。この URL は存在しないかピンバックが有効になっていません。"
"The source URL and the target URL cannot both point to the same resource.","ソース URL とターゲット URL に同一のリソースを指定することはできません。"
"The pingback has already been registered.","そのピンバックはすでに登録済みです。"
"The source URL does not exist.","元のURLが存在しません。"
"We cannot find a title on that page.","そのページのタイトルが見つかりません。"
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","ソース URL にターゲット URL へのリンクが含まれていないので、ソースとして使用することができません。"
"Pingback from %s to %s registered. Keep the web talking! :-)","%s より %s へのピンバックが登録されました。ウェブでの会話を続けてください ! :-)"
"The specified target URL does not exist.","指定したターゲット URL が存在しません。"
"%s Comments","%s件のコメント"
"No Comments","コメントはまだありません"
"1 Comment","1件のコメント"
"Comment","コメント"
"Trackback","トラックバック"
"Pingback","ピンバック"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","値を表示したくない場合は代わりに <code>get_trackback_url()</code> を使ってください。"
"Comments Off","コメントは受け付けていません。"
"Enter your password to view comments.","コメントを読むにはパスワードを入力してください。"
"Comment on %s","%s へのコメント"
"Reply","返信"
"Log in to Reply","ログインして返信する"
"Leave a Comment","コメントする"
"Log in to leave a Comment","ログインしてコメントする"
"Click here to cancel reply.","返信をキャンセルする。"
"Leave a Reply","コメントを残す"
"Leave a Reply to %s","%s にコメントする"
"<cite class=\"fn\">%s</cite> <span class=\"says\">says:</span>","<cite class=\"fn\">%s</cite> <span class=\"says\">より:</span>"
"Your comment is awaiting moderation.","あなたのコメントは承認待ちです。"
"%s at %s","%s %s"
"(Edit)","(編集)"
"Name","名前"
"Email","メールアドレス"
"Website","ウェブサイト"
"Required fields are marked %s","%s が付いている欄は必須項目です"
"You must be <a href=\"%s\">logged in</a> to post a comment.","コメントを投稿するには<a href=\"%s\">ログイン</a>してください。"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","<a href=\"%s\">%s</a> としてログインしています。<a href=\"%s\" title=\"このアカウントからログアウトする\">ログアウトしますか ?</a>"
"Your email address will not be published.","メールアドレスが公開されることはありません。"
"You may use these <abbr title=\"HyperText Markup Language\">HTML</abbr> tags and attributes: %s","次の<abbr title=\"HyperText Markup Language\">HTML</abbr> タグと属性が使えます: %s"
"Cancel reply","コメントをキャンセル"
"Post Comment","コメントを送信"
"Unapproved","非承認"
"Approved","承認済み"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","重複しているコメントが見つかりました。同じコメントをすでに投稿しているようです。"
"You are posting comments too quickly. Slow down.","コメントを急いで投稿し過ぎているようです。もう少しゆっくりお願いします。"
"Could not update comment status","コメントの状態を更新できませんでした"
"This argument has changed to an array to match the behavior of the other cron functions.","この変数は他の cron 関数の動作と統一させるため配列に変更されました。"
"Once Hourly","1時間に1回"
"Twice Daily","1日2回"
"Once Daily","1日1回"
"Your site&#8217;s WordPress Pages","サイト内の固定ページ"
"Sort by:","並び順:"
"Page title","ページタイトル"
"Page order","ページ順序"
"Page ID","ページ ID"
"Exclude:","除外ページ:"
"Page IDs, separated by commas.","ページ ID を入力。複数の場合はコンマで区切る。"
"Your blogroll","リンクを表示"
"Links","リンク"
"Select Link Category:","リンクカテゴリーの選択:"
"All Links","すべてのリンク"
"Link title","リンクタイトル"
"Link rating","リンク評価"
"Link ID","リンク ID"
"Random","ランダム"
"Show Link Image","リンクの画像を表示"
"Show Link Name","リンクの名前を表示"
"Show Link Description","リンクの説明を表示"
"Show Link Rating","リンクの評価を表示"
"Number of links to show:"," 表示するリンクの数:"
"A search form for your site","サイトの検索フォーム"
"A monthly archive of your site&#8217;s posts","サイトの投稿の月別アーカイブ"
"Archives","アーカイブ"
"Select Month","月を選択"
"Display as dropdown","ドロップダウン表示"
"Show post counts","投稿数を表示"
"Log in/out, admin, feed and WordPress links","ログイン/ログアウト、管理、フィードと WordPress のリンク"
"Meta","メタ情報"
"Syndicate this site using RSS 2.0","このサイトを RSS2.0 で購読"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","投稿の <abbr title=\"Really Simple Syndication\">RSS</abbr>"
"The latest comments to all posts in RSS","すべての投稿への最新コメントを RSS で購読"
"Comments <abbr title=\"Really Simple Syndication\">RSS</abbr>","コメントの <abbr title=\"Really Simple Syndication\">RSS</abbr>"
"A calendar of your site&#8217;s posts","サイトの投稿のカレンダー"
"Calendar","カレンダー"
"Arbitrary text or HTML","任意のテキストと HTML"
"Automatically add paragraphs","自動的に段落追加する"
"A list or dropdown of categories","カテゴリーのリストまたはドロップダウン表示"
"Select Category","カテゴリーを選択"
"Show hierarchy","階層を表示"
"The most recent posts on your site","サイトの最新の投稿"
"Recent Posts","最近の投稿"
"Number of posts to show:","表示する投稿数:"
"Display post date?","投稿日を表示しますか ?"
"The most recent comments","最近のコメント"
"Recent Comments","最近のコメント"
"%s on %s","%s に %s より"
"Number of comments to show:","表示するコメント数:"
"Entries from any RSS or Atom feed","RSS/Atom フィードから投稿を表示"
"Unknown Feed","不明なフィード"
"Syndicate this content","このサイトを RSS で購読"
"<strong>RSS Error</strong>: %s","<strong>RSS エラー</strong>: %s"
"An error has occurred, which probably means the feed is down. Try again later.","エラーが発生しました。ご指定のフィードは現在利用できないようです。後ほど再度お試しください。"
"Untitled","名称未設定"
"RSS Error: %s","RSS エラー: %s"
"Enter the RSS feed URL here:","RSS フィードの URL:"
"Give the feed a title (optional):","このフィードにタイトルをつける (オプション):"
"How many items would you like to display?","フィード内の項目をいくつ表示しますか ?"
"Display item content?","項目の内容を表示しますか ?"
"Display item author if available?","もしあれば項目の作成者を表示しますか ?"
"Display item date?","項目の日付を表示しますか ?"
"Your most used tags in cloud format","タグクラウド形式のよく使われるタグ一覧"
"Tag Cloud","タグクラウド"
"Taxonomy:","分類:"
"Use this widget to add one of your custom menus as a widget.","カスタムメニューをウィジェットとして追加"
"Custom Menu","カスタムメニュー"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","メニューはまだ作成されていません。<a href=\"%s\">作成する</a>。"
"Select Menu:","メニューを選択:"
"new WordPress Loop","新しい WordPress ループ"
"None","なし"
"Last updated","最終更新日時"
"Missing Attachment","添付ファイルが見つかりません"
"First Post","最初の投稿"
"Last Post","最新の投稿"
"Are you sure you want to do this?","本当に実行していいですか ?"
"File &#8220;%s&#8221; doesn&#8217;t exist?","ファイル &#8220;%s&#8221; は存在しますか ?"
"The GD image library is not installed.","GD イメージライブラリがインストールされていません。"
"File &#8220;%s&#8221; is not an image.","&#8220;%s&#8221; は画像ファイルではありません。"
"Comments on %s","%s へのコメント"
"Comments for %s searching on %s","%s へのコメント: %s 上の検索"
"Comments for %s","%s へのコメント"
"Comment on %s by %s","%s より %s へのコメント"
"By: %s","%s より"
"Comments on: %s","%s へのコメント"
"Protected Comments: Please enter your password to view comments.","コメント保護中: 表示するにはパスワードを入力してください。"
"words","characters"
"The email address entered did not appear to be a valid email address. Please enter a valid email address.","入力されたメールアドレスの形式が間違っているようです。正しいアドレスを記入してください。"
"The WordPress address you entered did not appear to be a valid URL. Please enter a valid URL.","入力された WordPress のアドレスは正しい URL の形式ではないようです。正しい URL を記入してください。"
"The Site address you entered did not appear to be a valid URL. Please enter a valid URL.","入力されたサイトのアドレスは正しい URL の形式ではないようです。正しい URL を記入してください。"
"The timezone you have entered is not valid. Please select a valid timezone.","入力されたタイムゾーンは有効ではありません。有効なタイムゾーンを選択してください。"
", and",", "
"and"," と "
"ERROR: %s is not a valid feed template.","エラー: %s は正しいフィードテンプレートではありません。"
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","使用できないテーブルがあります。データベースの<a href=\"%s\">修復</a>が必要かもしれません。"
"Unable to create directory %s. Is its parent directory writable by the server?","ディレクトリ %s を作成できませんでした。この親ディレクトリのアクセス権はサーバーによる書き込みを許可していますか ?"
"Empty filename","ファイル名が空です"
"Invalid file type","無効なファイル形式"
"Could not write file %s","ファイル %s に書き込めませんでした"
"WordPress Failure Notice","WordPress エラー通知"
"You are attempting to log out of %s","%s からログアウトしようとしています"
"Do you really want to <a href='%s'>log out</a>?","本当に<a href='%s'>ログアウト</a>しますか ?"
"Please try again.","もう一度お試しください。"
"&laquo; Back","&laquo; 戻る"
"WordPress &rsaquo; Error","WordPress &rsaquo; エラー"
"Database Error","データベースエラー"
"Error establishing a database connection","データベース接続確立エラー"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","%s の使用はバージョン %s から<strong>非推奨</strong>になっています! 代わりに %s を使ってください。"
"%s is <strong>deprecated</strong> since version %s with no alternative available.","%s の使用はバージョン %s から<strong>非推奨</strong>になりました。代替は用意されておりません。"
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","%s の使用はバージョン %s から<strong>非推奨</strong>になりました ! 代わりに %s を使ってください。"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","%s の使用はバージョン %s から<strong>非推奨</strong>になりました。代替は用意されていません。"
"(This message was added in version %s.)","(このメッセージはバージョン %s で追加されました)"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","詳細は <a href=\"http://wpdocs.sourceforge.jp/Debugging_in_WordPress\">WordPress のデバッグ</a>をご覧ください。"
"%s was called <strong>incorrectly</strong>. %s %s","%s が<strong>誤って</strong>呼び出されました。%s %s"
"Select a city","町を選択してください"
"Manual Offsets","マニュアルオフセット"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","スクリプトおよびスタイルは %s、%s、%s フック以降のみに登録・キュー追加できます。"
"Search for:","検索:"
"Log in","ログイン"
"Log out","ログアウト"
"Username","ユーザー名"
"Password","パスワード"
"Remember Me","ログイン状態を保存する"
"Log In","ログイン"
"Register","登録"
"Site Admin","サイト管理"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","<code>bloginfo()</code> 関数群内の <code>%s</code> オプションは非推奨になりました。"
"Use the <code>%s</code> option instead.","かわりに <code>%s</code> オプションを使ってください。"
"Search Results %s %s","検索結果: %s %s"
"Page not found","ページが見つかりませんでした"
"%s %s2$d","%s2$d年%s"
"View posts for %s %s","%s年%sの投稿を表示"
"%s %s Feed","%s %s フィード"
"%s %s Comments Feed","%s %s コメントフィード"
"%s %s %s Comments Feed","%s %s %s のコメントのフィード"
"%s %s %s Category Feed","%s %s %s カテゴリーのフィード"
"%s %s %s Tag Feed","%s %s %s タグのフィード"
"%s %s Posts by %s Feed","%s %s %s による投稿のフィード"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s 検索結果: &#8220;%s&#8221; フィード"
"%s %s %s Feed","%s %s %s フィード"
"&laquo; Previous","&laquo; 前へ"
"Next &raquo;","次へ &raquo;"
"Blue","青"
"Gray","グレー"
"Do you want to use the WYSIWYG mode for this textarea?","WYSIWYG モードに切り替えますか ?"
"Apply","適用"
"Insert","挿入"
"Close","閉じる"
"Browse","参照"
"Class","クラス"
"-- Not set --","-- 未設定 --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","コピー/カット/ペースト は Mozilla および Firefox では使用できません。"
"Currently not supported by your browser, use keyboard shortcuts instead.","クリップボード操作はお使いのブラウザには対応しておりません。代わりにキーボードのショートカットキーをお使いください。"
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","ポップアップがブロックされました。すべての機能をご利用になるにはポップアップを許可してください。"
"ERROR: Invalid values entered, these are marked in red.","エラー: 入力に誤りがあります （赤字の項目）。"
"{#field} must be a number","{#field} は、数値を指定してください。"
"{#field} must be a number greater than {#min}","{#field} は、{#min} より大きい数値を指定してください。"
"{#field} must be a number or percentage","{#field} は、数値または比率を指定してください。"
"More colors","その他の色"
"Black","黒"
"Burnt orange","バーントオレンジ"
"Dark olive","ダークオリーブ"
"Dark green","ダークグリーン"
"Dark azure","ダークスカイブルー"
"Navy Blue","ネイビーブルー"
"Indigo","インディゴ"
"Very dark gray","濃灰"
"Maroon","栗色"
"Orange","オレンジ"
"Olive","オリーブ"
"Green","緑"
"Teal","ティール"
"Grayish blue","灰青"
"Red","赤"
"Amber","アンバー"
"Yellow green","黄緑"
"Sea green","シーグリーン"
"Turquoise","ターコイズ"
"Royal blue","ロイヤルブルー"
"Purple","紫"
"Medium gray","ミディアムグレー"
"Magenta","マジェンタ"
"Gold","金色"
"Yellow","黄"
"Lime","ライム"
"Aqua","アクア"
"Sky blue","スカイブルー"
"Brown","茶"
"Silver","シルバー"
"Pink","ピンク"
"Peach","桃色"
"Light yellow","ライトイエロー"
"Pale green","薄緑"
"Pale cyan","薄シアン"
"Light sky blue","ライトスカイブルー"
"Plum","プラム"
"White","白"
"Alignment","配置"
"Full","均等割付"
"Insert date","日付の挿入"
"Insert time","時刻の挿入"
"January","1月"
"February","2月"
"March","3月"
"April","4月"
"May","5月"
"June","6月"
"July","7月"
"August","8月"
"September","9月"
"October","10月"
"November","11月"
"December","12月"
"Jan_January_abbreviation","1月_January_abbreviation"
"Feb_February_abbreviation","2月_February_abbreviation"
"Mar_March_abbreviation","3月_March_abbreviation"
"Apr_April_abbreviation","4月_April_abbreviation"
"May_May_abbreviation","5月_May_abbreviation"
"Jun_June_abbreviation","6月_June_abbreviation"
"Jul_July_abbreviation","7月_July_abbreviation"
"Aug_August_abbreviation","8月_August_abbreviation"
"Sep_September_abbreviation","9月_September_abbreviation"
"Oct_October_abbreviation","10月_October_abbreviation"
"Nov_November_abbreviation","11月_November_abbreviation"
"Dec_December_abbreviation","12月_December_abbreviation"
"Sunday","日曜日"
"Monday","月曜日"
"Tuesday","火曜日"
"Wednesday","水曜日"
"Thursday","木曜日"
"Friday","金曜日"
"Saturday","土曜日"
"Sun","日"
"Mon","月"
"Tue","火"
"Wed","水"
"Thu","木"
"Fri","金"
"Sat","土"
"Print","印刷"
"Preview","プレビュー"
"Direction left to right","左から右"
"Direction right to left","右から左"
"Insert new layer","新規レイヤーの挿入"
"Move forward","前面へ移動"
"Move backward","背面へ移動"
"Toggle absolute positioning","絶対位置指定の切替"
"New layer...","新規レイヤー"
"Cancel all changes","すべての変更を破棄"
"Insert non-breaking space character","改行なしスペースの挿入"
"Run spell checking","スペルチェック"
"ieSpell not detected. Do you want to install it now?","ieSpell が見つかりません。今すぐインストールしますか ?"
"Horizontal rule","水平線"
"Emotions","表情アイコン"
"Find","検索"
"Find/Replace","検索/置換"
"Insert/edit image","画像の挿入/編集"
"Insert/edit link","リンクの挿入/編集"
"Citation","引用"
"Abbreviation","略語"
"Acronym","頭字語"
"Deletion","削除"
"Insertion","挿入"
"Insert/Edit Attributes","属性の挿入/削除"
"Edit CSS Style","CSS 編集"
"Paste as Plain Text","テキストとして貼り付け"
"Paste from Word","Word から貼り付け"
"Select All","すべて選択"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","現在プレーンテキスト貼り付けモードです。通常の貼り付けモードに切り替えるにはもう一度クリックしてください。貼り付け後には通常のモードに戻ります。"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","現在プレーンテキスト貼り付けモードです。通常の貼り付けモードに切り替えるにはもう一度クリックしてください。"
"Use CTRL+V on your keyboard to paste the text into the window.","キーボードで CTRL+V と入力しテキストを貼り付けてください。"
"Keep linebreaks","改行を保持する"
"Inserts a new table","表を挿入"
"Insert row before","行を上に挿入"
"Insert row after","行を下に挿入"
"Delete row","行を削除"
"Insert column before","列を左に挿入"
"Insert column after","列を右に挿入"
"Remove column","列を削除"
"Split merged table cells","セルの結合を解除"
"Merge table cells","セルの結合"
"Table row properties","行のプロパティ"
"Table cell properties","セルのプロパティ"
"Table properties","表のプロパティ"
"Paste table row before","行を上に貼り付け"
"Paste table row after","行を下に貼り付け"
"Cut table row","行の切り取り"
"Copy table row","行のコピー"
"Delete table","表を削除"
"Row","行"
"Column","列"
"Cell","セル"
"The changes you made will be lost if you navigate away from this page.","他のページへ移動すると編集データはすべて破棄されます。"
"Toggle fullscreen mode (Alt + Shift + G)","全画面表示を切り替える (Alt + Shift + G)"
"Insert / edit embedded media","埋め込みメディアの挿入/編集"
"Edit embedded media","埋め込みメディアの編集"
"Document properties","ページ設定"
"Insert predefined template content","テンプレートの挿入"
"Visual control characters on/off.","制御文字の表示"
"Toggle spellchecker (Alt + Shift + N)","スペルチェッカーを切り替える (Alt + Shift + N)"
"Spellchecker settings","スペルチェック設定"
"Ignore word","この単語を無視"
"Ignore all","すべて無視"
"Languages","言語"
"Please wait...","しばらくお待ちください..."
"Suggestions","候補"
"No suggestions","候補はありません"
"This is somewhat embarrassing, isn&rsquo;t it?","おっと、失礼しました。"
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","お探しのコンテンツを見つけられませんでした。検索をお試しください。"
"Daily Archives: %s","日別アーカイブ: %s"
"Monthly Archives: %s","月別アーカイブ: %s"
"F Y","Y年n月"
"Yearly Archives: %s","年別アーカイブ: %s"
"Y","Y年"
"Author Archives: %s","作成者別アーカイブ: %s"
"About %s","%s について"
"Category Archives: %s","カテゴリー別アーカイブ: %s"
"Comment navigation","コメントナビゲーション"
"&larr; Older Comments","&larr; 過去のコメント"
"Newer Comments &rarr;","新しいコメント &rarr;"
"Permalink to %s","%s へのパーマリンク"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","続きを読む <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","コメントをどうぞ"
"1 Reply","1件のフィードバック "
"%s Replies","%s件の返信"
"Nothing Found","見つかりません"
"Apologies, but no results were found. Perhaps searching will help find a related post.","一致する結果がありませんでした。検索してみると、関連投稿が見つかるかもしれません。"
"Featured post","おすすめ投稿"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","%s の投稿をすべて表示 <span class=\"meta-nav\">&rarr;</span>"
"Semantic Personal Publishing Platform","セマンティックなパブリッシングツール"
"Primary Menu","メインメニュー"
"on","off"
"Page %s","ページ %s"
"Main Sidebar","メインサイドバー"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","独自ウィジェットを持つオプションフロントページテンプレートの投稿と固定ページに表示されます。"
"First Front Page Widget Area","フロントページウィジェットエリア 1"
"Appears when using the optional Front Page template with a page set as Static Front Page","オプションフロントページテンプレートを固定フロントとして使う際に表示されます。"
"Second Front Page Widget Area","フロントページウィジェットエリア 2"
"Post navigation","投稿ナビゲーション"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> 過去の投稿"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","新しい投稿 <span class=\"meta-nav\">&rarr;</span>"
"Pingback:","ピンバック:"
"Post author","投稿作成者"
"View all posts by %s","%s の投稿をすべて表示"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","カテゴリー: %s | タグ: %s | 投稿日: %s | <span class=\"by-author\">投稿者: %s</span>"
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","カテゴリー: %s | 投稿日: %s | <span class=\"by-author\">投稿者: %s</span>"
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","この投稿は%s<span class=\"by-author\">に%sが公開しました</span>。"
"Menu","メニュー"
"Skip to content","コンテンツへ移動"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">公開日時:</span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span><a href=\"%s\" title=\"フルサイズ画像へのリンク\">%s &times; %s</a> (<a href=\"%s\" title=\"%s へ戻る\" rel=\"gallery\">%s</a>)"
"&larr; Previous","&larr; 前へ"
"Next &rarr;","次へ &rarr;"
"No posts to display","表示する投稿がありません"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","最初の投稿をする準備ができましたか ? <a href=\"%s\">ここからスタート</a>してください。"
"Search Results for: %s","検索結果: %s"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","ご指定の検索条件に合う投稿がありませんでした。他のキーワードでもう一度検索してみてください。"
"Tag Archives: %s","タグ別アーカイブ: %s"
"The 2012 theme for WordPress is a fully responsive theme that looks great on any device. Features include a front page template with its own widgets, an optional display font, styling for post formats on both index and single views, and an optional no-sidebar page template. Make it yours with a custom menu, header image, and background.","2012年の WordPress デフォルトテーマはレスポンシブデザインに対応しており、さまざまなデバイス上で美しく表示できます。独自ウィジェットを持つフロントページテンプレート、オプションの表示フォント、インデックス・シングルページ両方での投稿フォーマット、サイドバーなしテンプレートオプションなどの機能を含んでいます。カスタムメニュー、ヘッダー画像、背景を使ってカスタマイズしてください。"
"the WordPress team","WordPress チーム"
"Front Page Template","フロントページテンプレート"
